,Date,Stringency_index
0,27Feb2020,0.1110999999999999
1,28Feb2020,0.1110999999999999
2,29Feb2020,0.1110999999999999
3,01Mar2020,0.1110999999999999
4,02Mar2020,0.1110999999999999
5,03Mar2020,0.1110999999999999
6,04Mar2020,0.1110999999999999
7,05Mar2020,0.1110999999999999
8,06Mar2020,0.1110999999999999
9,07Mar2020,0.1110999999999999
10,08Mar2020,0.1110999999999999
11,09Mar2020,0.1944
12,10Mar2020,0.1944
13,11Mar2020,0.3056
14,12Mar2020,0.3425999999999999
15,13Mar2020,0.4815
16,14Mar2020,0.4815
17,15Mar2020,0.4815
18,16Mar2020,0.8148000000000001
19,17Mar2020,0.8148000000000001
20,18Mar2020,0.8148000000000001
21,19Mar2020,0.8148000000000001
22,20Mar2020,0.8148000000000001
23,21Mar2020,0.8148000000000001
24,22Mar2020,0.8148000000000001
25,23Mar2020,0.8148000000000001
26,24Mar2020,0.8148000000000001
27,25Mar2020,0.8148000000000001
28,26Mar2020,0.8148000000000001
29,27Mar2020,0.8148000000000001
30,28Mar2020,0.8148000000000001
31,29Mar2020,0.8148000000000001
32,30Mar2020,0.8148000000000001
33,31Mar2020,0.8148000000000001
34,01Apr2020,0.8148000000000001
35,02Apr2020,0.8148000000000001
36,03Apr2020,0.8148000000000001
37,04Apr2020,0.8148000000000001
38,05Apr2020,0.8148000000000001
39,06Apr2020,0.8148000000000001
40,07Apr2020,0.8148000000000001
41,08Apr2020,0.8148000000000001
42,09Apr2020,0.8148000000000001
43,10Apr2020,0.8148000000000001
44,11Apr2020,0.8148000000000001
45,12Apr2020,0.8148000000000001
46,13Apr2020,0.8148000000000001
47,14Apr2020,0.7778
48,15Apr2020,0.7778
49,16Apr2020,0.7778
50,17Apr2020,0.7778
51,18Apr2020,0.7778
52,19Apr2020,0.7778
53,20Apr2020,0.7778
54,21Apr2020,0.7778
55,22Apr2020,0.7778
56,23Apr2020,0.75
57,24Apr2020,0.75
58,25Apr2020,0.75
59,26Apr2020,0.75
60,27Apr2020,0.75
61,28Apr2020,0.75
62,29Apr2020,0.75
63,30Apr2020,0.75
64,01May2020,0.6759000000000001
65,02May2020,0.6481
66,03May2020,0.6481
67,04May2020,0.6481
68,05May2020,0.6481
69,06May2020,0.6481
70,07May2020,0.6481
71,08May2020,0.6481
72,09May2020,0.6481
73,10May2020,0.6481
