,Date,Stringency_index
0,11-Mar-20,0.1944
1,12-Mar-20,0.1944
2,13-Mar-20,0.2315
3,14-Mar-20,0.5093
4,15-Mar-20,0.5093
5,16-Mar-20,0.5093
6,17-Mar-20,0.5093
7,18-Mar-20,0.7315
8,19-Mar-20,0.7315
9,20-Mar-20,0.8148
10,21-Mar-20,0.8148
11,22-Mar-20,0.8148
12,23-Mar-20,0.8148
13,24-Mar-20,0.8148
14,25-Mar-20,0.8148
15,26-Mar-20,0.8148
16,27-Mar-20,0.8148
17,28-Mar-20,0.8148
18,29-Mar-20,0.8148
19,30-Mar-20,0.8148
20,31-Mar-20,0.8148
21,1-Apr-20,0.8148
22,2-Apr-20,0.8148
23,3-Apr-20,0.8148
24,4-Apr-20,0.8148
25,5-Apr-20,0.8148
26,6-Apr-20,0.8148
27,7-Apr-20,0.8148
28,8-Apr-20,0.8148
29,9-Apr-20,0.8148
30,10-Apr-20,0.8148
31,11-Apr-20,0.8148
32,12-Apr-20,0.8148
33,13-Apr-20,0.8148
34,14-Apr-20,0.8148
35,15-Apr-20,0.8148
36,16-Apr-20,0.8148
37,17-Apr-20,0.8148
38,18-Apr-20,0.8148
39,19-Apr-20,0.8148
40,20-Apr-20,0.8148
41,21-Apr-20,0.8148
42,22-Apr-20,0.8148
43,23-Apr-20,0.8148
44,24-Apr-20,0.8148
45,25-Apr-20,0.8148
46,26-Apr-20,0.8148
47,27-Apr-20,0.8148
48,28-Apr-20,0.8148
49,29-Apr-20,0.8148
50,30-Apr-20,0.8148
51,1-May-20,0.8148
52,2-May-20,0.8148
53,3-May-20,0.8148
54,4-May-20,0.8148
55,5-May-20,0.787
56,6-May-20,0.787
57,7-May-20,0.787
58,8-May-20,0.787
59,9-May-20,0.787
60,10-May-20,0.787
61,11-May-20,0.75
62,12-May-20,0.75
63,13-May-20,0.75
64,14-May-20,0.75
65,15-May-20,0.75
66,16-May-20,0.75
67,17-May-20,0.75
68,18-May-20,0.75
69,19-May-20,0.75
70,20-May-20,0.75
71,21-May-20,0.75
72,22-May-20,0.75
73,23-May-20,0.75
74,24-May-20,0.75
75,25-May-20,0.75
76,26-May-20,0.75
77,27-May-20,0.75
78,28-May-20,0.75
79,29-May-20,0.75
80,30-May-20,0.75
81,31-May-20,0.75
82,1-Jun-20,0.75
83,2-Jun-20,0.75
84,3-Jun-20,0.75
85,4-Jun-20,0.75
86,5-Jun-20,0.7315
87,6-Jun-20,0.7315
88,7-Jun-20,0.7315
89,8-Jun-20,0.5185
90,9-Jun-20,0.5185
91,10-Jun-20,0.5185
92,11-Jun-20,0.5185
93,12-Jun-20,0.5185
94,13-Jun-20,0.5185
95,14-Jun-20,0.5185
96,15-Jun-20,0.5185
97,16-Jun-20,0.5185
98,17-Jun-20,0.5185
99,18-Jun-20,0.5185
100,19-Jun-20,0.5185
101,20-Jun-20,0.5185
102,21-Jun-20,0.5185
103,22-Jun-20,0.5185
104,23-Jun-20,0.5185
105,24-Jun-20,0.5185
106,25-Jun-20,0.5185
107,26-Jun-20,0.5185
108,27-Jun-20,0.5185
109,28-Jun-20,0.5185
110,29-Jun-20,0.5185
111,30-Jun-20,0.5185
112,1-Jul-20,0.5
113,2-Jul-20,0.5
114,3-Jul-20,0.5
115,4-Jul-20,0.5
116,5-Jul-20,0.5
117,6-Jul-20,0.5
118,7-Jul-20,0.5
119,8-Jul-20,0.5
120,9-Jul-20,0.5
121,10-Jul-20,0.5
122,11-Jul-20,0.5
123,12-Jul-20,0.5
124,13-Jul-20,0.5
125,14-Jul-20,0.5
126,15-Jul-20,0.5
127,16-Jul-20,0.5
128,17-Jul-20,0.5
129,18-Jul-20,0.5
130,19-Jul-20,0.5
131,20-Jul-20,0.5
132,21-Jul-20,0.5
133,22-Jul-20,0.5
134,23-Jul-20,0.5
135,24-Jul-20,0.5
136,25-Jul-20,0.5
137,26-Jul-20,0.5
138,27-Jul-20,0.5
139,28-Jul-20,0.5278
140,29-Jul-20,0.6111
141,30-Jul-20,0.6111
142,31-Jul-20,0.6111
143,1-Aug-20,0.6111
144,2-Aug-20,0.6111
145,3-Aug-20,0.6111
146,4-Aug-20,0.6111
147,5-Aug-20,0.6111
148,6-Aug-20,0.6111
149,7-Aug-20,0.5741
150,8-Aug-20,0.5741
151,9-Aug-20,0.6296
152,10-Aug-20,0.6296
153,11-Aug-20,0.6296
154,12-Aug-20,0.5833
155,13-Aug-20,0.5833
156,14-Aug-20,0.5833
157,15-Aug-20,0.5833
158,16-Aug-20,0.5833
159,17-Aug-20,0.5833
160,18-Aug-20,0.5833
161,19-Aug-20,0.5833
162,20-Aug-20,0.5833
163,21-Aug-20,0.5833
164,22-Aug-20,0.5833
165,23-Aug-20,0.5833
166,24-Aug-20,0.5833
167,25-Aug-20,0.5833
168,26-Aug-20,0.5833
169,27-Aug-20,0.5278
170,28-Aug-20,0.5278
171,29-Aug-20,0.5278
172,30-Aug-20,0.5278
173,31-Aug-20,0.5278
174,1-Sep-20,0.5278
175,2-Sep-20,0.5278
176,3-Sep-20,0.5278
177,4-Sep-20,0.5278
178,5-Sep-20,0.5278
179,6-Sep-20,0.5278
180,7-Sep-20,0.5278
181,8-Sep-20,0.5278
182,9-Sep-20,0.5278
183,10-Sep-20,0.5278
184,11-Sep-20,0.5278
185,12-Sep-20,0.5278
186,13-Sep-20,0.5278
187,14-Sep-20,0.5278
188,15-Sep-20,0.5278
189,16-Sep-20,0.5278
190,17-Sep-20,0.5278
191,18-Sep-20,0.5278
192,19-Sep-20,0.5278
193,20-Sep-20,0.5278
194,21-Sep-20,0.5278
195,22-Sep-20,0.5278
196,23-Sep-20,0.5278
197,24-Sep-20,0.5278
198,25-Sep-20,0.5278
199,26-Sep-20,0.5278
200,27-Sep-20,0.5278
201,28-Sep-20,0.5278
202,29-Sep-20,0.5278
203,30-Sep-20,0.4722
204,1-Oct-20,0.4722
205,2-Oct-20,0.4722
206,3-Oct-20,0.4722
207,4-Oct-20,0.4722
208,5-Oct-20,0.4722
209,6-Oct-20,0.4722
210,7-Oct-20,0.4722
211,8-Oct-20,0.4722
212,9-Oct-20,0.4722
213,10-Oct-20,0.4722
214,11-Oct-20,0.4722
215,12-Oct-20,0.4722
216,13-Oct-20,0.4722
217,14-Oct-20,0.4722
218,15-Oct-20,0.4722
219,16-Oct-20,0.4722
220,17-Oct-20,0.4722
221,18-Oct-20,0.4722
222,19-Oct-20,0.5463
223,20-Oct-20,0.5463
224,21-Oct-20,0.5463
225,22-Oct-20,0.5463
226,23-Oct-20,0.5463
227,24-Oct-20,0.5463
228,25-Oct-20,0.5463
229,26-Oct-20,0.5463
230,27-Oct-20,0.5463
231,28-Oct-20,0.5463
232,29-Oct-20,0.5648
233,30-Oct-20,0.5648
234,31-Oct-20,0.5648
235,1-Nov-20,0.5648
236,2-Nov-20,0.6574
237,3-Nov-20,0.6574
238,4-Nov-20,0.6574
239,5-Nov-20,0.6574
240,6-Nov-20,0.6574
241,7-Nov-20,0.6574
242,8-Nov-20,0.6574
243,9-Nov-20,0.6574
244,10-Nov-20,0.6574
245,11-Nov-20,0.6574
246,12-Nov-20,0.6574
247,13-Nov-20,0.6574
248,14-Nov-20,0.6574
249,15-Nov-20,0.6574
250,16-Nov-20,0.6389
251,17-Nov-20,0.6389
252,18-Nov-20,0.6389
253,19-Nov-20,0.6389
254,20-Nov-20,0.6389
255,21-Nov-20,0.6389
256,22-Nov-20,0.6389
257,23-Nov-20,0.6389
258,24-Nov-20,0.6389
259,25-Nov-20,0.6389
260,26-Nov-20,0.6389
261,27-Nov-20,0.6389
262,28-Nov-20,0.6389
263,29-Nov-20,0.6389
264,30-Nov-20,0.6389
265,1-Dec-20,0.6019
266,2-Dec-20,0.6019
267,3-Dec-20,0.6019
268,4-Dec-20,0.6019
269,5-Dec-20,0.6019
270,6-Dec-20,0.6019
