,Date,Stringency_index
0,04Mar2020,0.0
1,05Mar2020,0.0
2,06Mar2020,0.0
3,07Mar2020,0.0
4,08Mar2020,0.0
5,09Mar2020,0.0
6,10Mar2020,0.1805999999999999
7,11Mar2020,0.2917
8,12Mar2020,0.2917
9,13Mar2020,0.2917
10,14Mar2020,0.2917
11,15Mar2020,0.2917
12,16Mar2020,0.3472
13,17Mar2020,0.6528
14,18Mar2020,0.7222
15,19Mar2020,0.7222
16,20Mar2020,0.8426
17,21Mar2020,0.8426
18,22Mar2020,0.8426
19,23Mar2020,0.8426
20,24Mar2020,0.8426
21,25Mar2020,0.8426
22,26Mar2020,0.8426
23,27Mar2020,0.8426
24,28Mar2020,0.8426
25,29Mar2020,0.8981
26,30Mar2020,0.8981
27,31Mar2020,0.8981
28,01Apr2020,0.8981
29,02Apr2020,0.8981
30,03Apr2020,0.8981
31,04Apr2020,0.8981
32,05Apr2020,0.8981
33,06Apr2020,0.8981
34,07Apr2020,0.8981
35,08Apr2020,0.8981
36,09Apr2020,0.8981
37,10Apr2020,0.9259
38,11Apr2020,0.9259
39,12Apr2020,0.9259
40,13Apr2020,0.9259
41,14Apr2020,0.9259
42,15Apr2020,0.9259
43,16Apr2020,0.9259
44,17Apr2020,0.9259
45,18Apr2020,0.9259
46,19Apr2020,0.9259
47,20Apr2020,0.9259
48,21Apr2020,0.9259
49,22Apr2020,0.9259
50,23Apr2020,0.9259
51,24Apr2020,0.9074
52,25Apr2020,0.9074
53,26Apr2020,0.9074
54,27Apr2020,0.9074
55,28Apr2020,0.9074
56,29Apr2020,0.9074
57,30Apr2020,0.9074
58,01May2020,0.9074
59,02May2020,0.9074
60,03May2020,0.9074
61,04May2020,0.9074
62,05May2020,0.9074
63,06May2020,0.9074
64,07May2020,0.9074
65,08May2020,0.9074
66,09May2020,0.9074
67,10May2020,0.9074
68,11May2020,0.8148000000000001
69,12May2020,0.8148000000000001
70,13May2020,0.8148000000000001
71,14May2020,0.7963
72,15May2020,0.7685
73,16May2020,0.7685
74,17May2020,0.7685
75,18May2020,0.7685
76,19May2020,0.7685
77,20May2020,0.7685
78,21May2020,0.713
79,22May2020,0.713
80,23May2020,0.713
81,24May2020,0.713
82,25May2020,0.713
83,26May2020,0.713
84,27May2020,0.713
85,28May2020,0.713
86,29May2020,0.6574
87,30May2020,0.6574
88,31May2020,0.6574
89,01Jun2020,0.5463
90,02Jun2020,0.5463
91,03Jun2020,0.5463
92,04Jun2020,0.5463
93,05Jun2020,0.5463
94,06Jun2020,0.5463
95,07Jun2020,0.5463
96,08Jun2020,0.5463
97,09Jun2020,0.5463
98,10Jun2020,0.5463
99,11Jun2020,0.5463
100,12Jun2020,0.5463
101,13Jun2020,0.5185
102,14Jun2020,0.5185
103,15Jun2020,0.5185
104,16Jun2020,0.5185
105,17Jun2020,0.5185
106,18Jun2020,0.5185
107,19Jun2020,0.5185
108,20Jun2020,0.5185
109,21Jun2020,0.5185
110,22Jun2020,0.5185
111,23Jun2020,0.5185
112,24Jun2020,0.5185
113,25Jun2020,0.5185
114,26Jun2020,0.5185
115,27Jun2020,0.5185
116,28Jun2020,0.5185
117,29Jun2020,0.5185
118,30Jun2020,0.5185
119,01Jul2020,0.5185
120,02Jul2020,0.5185
121,03Jul2020,0.5185
122,04Jul2020,0.5185
123,05Jul2020,0.5648
124,06Jul2020,0.5648
125,07Jul2020,0.5648
126,08Jul2020,0.5648
127,09Jul2020,0.5648
128,10Jul2020,0.5648
129,11Jul2020,0.5648
130,12Jul2020,0.5648
131,13Jul2020,0.5648
