,Date,Stringency_index
0,9-Mar-20,0.1389
1,10-Mar-20,0.2222
2,11-Mar-20,0.2222
3,12-Mar-20,0.2222
4,13-Mar-20,0.3148
5,14-Mar-20,0.3704
6,15-Mar-20,0.3981
7,16-Mar-20,0.4167
8,17-Mar-20,0.4167
9,18-Mar-20,0.4444
10,19-Mar-20,0.5
11,20-Mar-20,0.6667
12,21-Mar-20,0.7778
13,22-Mar-20,0.7778
14,23-Mar-20,0.963
15,24-Mar-20,0.963
16,25-Mar-20,0.963
17,26-Mar-20,0.963
18,27-Mar-20,0.963
19,28-Mar-20,0.963
20,29-Mar-20,0.963
21,30-Mar-20,0.963
22,31-Mar-20,0.963
23,1-Apr-20,0.963
24,2-Apr-20,0.963
25,3-Apr-20,0.963
26,4-Apr-20,0.963
27,5-Apr-20,0.963
28,6-Apr-20,0.963
29,7-Apr-20,0.963
30,8-Apr-20,0.963
31,9-Apr-20,0.963
32,10-Apr-20,0.963
33,11-Apr-20,0.963
34,12-Apr-20,0.963
35,13-Apr-20,0.963
36,14-Apr-20,0.963
37,15-Apr-20,0.963
38,16-Apr-20,0.963
39,17-Apr-20,0.963
40,18-Apr-20,0.963
41,19-Apr-20,0.963
42,20-Apr-20,0.963
43,21-Apr-20,0.963
44,22-Apr-20,0.963
45,23-Apr-20,0.963
46,24-Apr-20,0.963
47,25-Apr-20,0.963
48,26-Apr-20,0.963
49,27-Apr-20,0.8981
50,28-Apr-20,0.8981
51,29-Apr-20,0.8981
52,30-Apr-20,0.8981
53,1-May-20,0.8981
54,2-May-20,0.8981
55,3-May-20,0.8981
56,4-May-20,0.8981
57,5-May-20,0.8981
58,6-May-20,0.8981
59,7-May-20,0.8981
60,8-May-20,0.8981
61,9-May-20,0.8981
62,10-May-20,0.8981
63,11-May-20,0.7037
64,12-May-20,0.7037
65,13-May-20,0.7037
66,14-May-20,0.7037
67,15-May-20,0.7037
68,16-May-20,0.7037
69,17-May-20,0.7037
70,18-May-20,0.7037
71,19-May-20,0.7037
72,20-May-20,0.7037
73,21-May-20,0.7037
74,22-May-20,0.7037
75,23-May-20,0.7037
76,24-May-20,0.7037
77,25-May-20,0.6204
78,26-May-20,0.537
79,27-May-20,0.537
80,28-May-20,0.5093
81,29-May-20,0.5093
82,30-May-20,0.5093
83,31-May-20,0.5093
84,1-Jun-20,0.5093
85,2-Jun-20,0.5093
86,3-Jun-20,0.5093
87,4-Jun-20,0.5093
88,5-Jun-20,0.5093
89,6-Jun-20,0.5093
90,7-Jun-20,0.5093
91,8-Jun-20,0.5093
92,9-Jun-20,0.5093
93,10-Jun-20,0.5093
94,11-Jun-20,0.5093
95,12-Jun-20,0.5463
96,13-Jun-20,0.5463
