,Date,Stringency_index
0,29Feb2020,0.0556
1,01Mar2020,0.0556
2,02Mar2020,0.0556
3,03Mar2020,0.0556
4,04Mar2020,0.0556
5,05Mar2020,0.0556
6,06Mar2020,0.1110999999999999
7,07Mar2020,0.1110999999999999
8,08Mar2020,0.1110999999999999
9,09Mar2020,0.1110999999999999
10,10Mar2020,0.2082999999999999
11,11Mar2020,0.2082999999999999
12,12Mar2020,0.4537
13,13Mar2020,0.537
14,14Mar2020,0.537
15,15Mar2020,0.537
16,16Mar2020,0.6111
17,17Mar2020,0.6111
18,18Mar2020,0.6111
19,19Mar2020,0.6111
20,20Mar2020,0.6111
21,21Mar2020,0.6111
22,22Mar2020,0.6111
23,23Mar2020,0.787
24,24Mar2020,0.787
25,25Mar2020,0.787
26,26Mar2020,0.787
27,27Mar2020,0.787
28,28Mar2020,0.787
29,29Mar2020,0.787
30,30Mar2020,0.787
31,31Mar2020,0.787
32,01Apr2020,0.787
33,02Apr2020,0.787
34,03Apr2020,0.787
35,04Apr2020,0.787
36,05Apr2020,0.787
37,06Apr2020,0.787
38,07Apr2020,0.787
39,08Apr2020,0.787
40,09Apr2020,0.787
41,10Apr2020,0.787
42,11Apr2020,0.787
43,12Apr2020,0.787
44,13Apr2020,0.787
45,14Apr2020,0.787
46,15Apr2020,0.787
47,16Apr2020,0.787
48,17Apr2020,0.787
49,18Apr2020,0.787
50,19Apr2020,0.787
51,20Apr2020,0.787
52,21Apr2020,0.787
53,22Apr2020,0.787
54,23Apr2020,0.787
55,24Apr2020,0.787
56,25Apr2020,0.787
57,26Apr2020,0.787
58,27Apr2020,0.787
59,28Apr2020,0.787
60,29Apr2020,0.787
61,30Apr2020,0.787
62,01May2020,0.787
63,02May2020,0.787
64,03May2020,0.787
65,04May2020,0.787
66,05May2020,0.787
67,06May2020,0.787
68,07May2020,0.787
69,08May2020,0.787
70,09May2020,0.787
71,10May2020,0.787
72,11May2020,0.713
73,12May2020,0.713
74,13May2020,0.713
75,14May2020,0.713
76,15May2020,0.713
77,16May2020,0.713
78,17May2020,0.713
79,18May2020,0.713
80,19May2020,0.713
81,20May2020,0.713
82,21May2020,0.713
83,22May2020,0.713
84,23May2020,0.713
85,24May2020,0.713
86,25May2020,0.713
87,26May2020,0.713
88,27May2020,0.713
89,28May2020,0.713
90,29May2020,0.713
91,30May2020,0.713
92,31May2020,0.713
93,01Jun2020,0.6296
94,02Jun2020,0.6296
95,03Jun2020,0.6296
96,04Jun2020,0.6296
97,05Jun2020,0.6296
98,06Jun2020,0.6296
99,07Jun2020,0.6296
100,08Jun2020,0.6296
101,09Jun2020,0.6296
102,10Jun2020,0.6296
103,11Jun2020,0.6296
104,12Jun2020,0.6296
105,13Jun2020,0.6296
106,14Jun2020,0.6296
107,15Jun2020,0.5926
108,16Jun2020,0.5926
109,17Jun2020,0.5926
110,18Jun2020,0.5926
111,19Jun2020,0.5926
112,20Jun2020,0.5926
113,21Jun2020,0.5926
114,22Jun2020,0.5926
115,23Jun2020,0.5926
116,24Jun2020,0.5926
117,25Jun2020,0.5926
118,26Jun2020,0.5926
119,27Jun2020,0.5926
120,28Jun2020,0.5926
121,29Jun2020,0.5926
122,30Jun2020,0.5926
123,01Jul2020,0.3981
124,02Jul2020,0.3981
125,03Jul2020,0.3981
126,04Jul2020,0.3981
127,05Jul2020,0.3981
128,06Jul2020,0.3981
