,Date,Stringency_index
0,26Feb2020,0.0556
1,27Feb2020,0.0556
2,28Feb2020,0.0556
3,29Feb2020,0.0556
4,01Mar2020,0.0556
5,02Mar2020,0.0556
6,03Mar2020,0.0556
7,04Mar2020,0.0556
8,05Mar2020,0.0556
9,06Mar2020,0.0556
10,07Mar2020,0.0556
11,08Mar2020,0.0556
12,09Mar2020,0.2731
13,10Mar2020,0.3565
14,11Mar2020,0.3565
15,12Mar2020,0.4306
16,13Mar2020,0.4306
17,14Mar2020,0.4306
18,15Mar2020,0.537
19,16Mar2020,0.5556
20,17Mar2020,0.5556
21,18Mar2020,0.6111
22,19Mar2020,0.8240999999999999
23,20Mar2020,0.8240999999999999
24,21Mar2020,0.8240999999999999
25,22Mar2020,0.8240999999999999
26,23Mar2020,0.8240999999999999
27,24Mar2020,0.8240999999999999
28,25Mar2020,0.8240999999999999
29,26Mar2020,0.8240999999999999
30,27Mar2020,0.8240999999999999
31,28Mar2020,0.8240999999999999
32,29Mar2020,0.8240999999999999
33,30Mar2020,0.8240999999999999
34,31Mar2020,0.8240999999999999
35,01Apr2020,0.8240999999999999
36,02Apr2020,0.8240999999999999
37,03Apr2020,0.8240999999999999
38,04Apr2020,0.8240999999999999
39,05Apr2020,0.8240999999999999
40,06Apr2020,0.8240999999999999
41,07Apr2020,0.8240999999999999
42,08Apr2020,0.8240999999999999
43,09Apr2020,0.8795999999999999
44,10Apr2020,0.8795999999999999
45,11Apr2020,0.8795999999999999
46,12Apr2020,0.8795999999999999
47,13Apr2020,0.8795999999999999
48,14Apr2020,0.8240999999999999
49,15Apr2020,0.8240999999999999
50,16Apr2020,0.8240999999999999
51,17Apr2020,0.8240999999999999
52,18Apr2020,0.8240999999999999
53,19Apr2020,0.8240999999999999
54,20Apr2020,0.8240999999999999
55,21Apr2020,0.8240999999999999
56,22Apr2020,0.8240999999999999
57,23Apr2020,0.8240999999999999
58,24Apr2020,0.8240999999999999
59,25Apr2020,0.8240999999999999
60,26Apr2020,0.8240999999999999
61,27Apr2020,0.8240999999999999
62,28Apr2020,0.8240999999999999
63,29Apr2020,0.8240999999999999
64,30Apr2020,0.8240999999999999
65,01May2020,0.8795999999999999
66,02May2020,0.8795999999999999
67,03May2020,0.8795999999999999
68,04May2020,0.6944
69,05May2020,0.6944
70,06May2020,0.6944
71,07May2020,0.6944
72,08May2020,0.6944
73,09May2020,0.6944
74,10May2020,0.6944
75,11May2020,0.6944
76,12May2020,0.6944
77,13May2020,0.6944
78,14May2020,0.6944
79,15May2020,0.6944
80,16May2020,0.6944
81,17May2020,0.6944
82,18May2020,0.6574
83,19May2020,0.6574
84,20May2020,0.6574
85,21May2020,0.6574
86,22May2020,0.6574
87,23May2020,0.6574
88,24May2020,0.6574
89,25May2020,0.6574
90,26May2020,0.6574
91,27May2020,0.6574
92,28May2020,0.6574
93,29May2020,0.6574
94,30May2020,0.6574
95,31May2020,0.6574
96,01Jun2020,0.6065
97,02Jun2020,0.6065
98,03Jun2020,0.6065
99,04Jun2020,0.6065
100,05Jun2020,0.6065
101,06Jun2020,0.6065
102,07Jun2020,0.6065
103,08Jun2020,0.6065
104,09Jun2020,0.6065
105,10Jun2020,0.6065
106,11Jun2020,0.6065
107,12Jun2020,0.6065
108,13Jun2020,0.6065
109,14Jun2020,0.6065
110,15Jun2020,0.5926
111,16Jun2020,0.5926
112,17Jun2020,0.5926
113,18Jun2020,0.5926
114,19Jun2020,0.5926
115,20Jun2020,0.5926
116,21Jun2020,0.5926
117,22Jun2020,0.5926
118,23Jun2020,0.6065
119,24Jun2020,0.6065
120,25Jun2020,0.6065
121,26Jun2020,0.6065
122,27Jun2020,0.6065
123,28Jun2020,0.6065
124,29Jun2020,0.6065
125,30Jun2020,0.6065
126,01Jul2020,0.625
127,02Jul2020,0.625
128,03Jul2020,0.625
129,04Jul2020,0.625
130,05Jul2020,0.625
131,06Jul2020,0.625
132,07Jul2020,0.625
133,08Jul2020,0.625
134,09Jul2020,0.625
135,10Jul2020,0.625
136,11Jul2020,0.625
137,12Jul2020,0.625
138,13Jul2020,0.625
139,14Jul2020,0.625
140,15Jul2020,0.625
141,16Jul2020,0.625
142,17Jul2020,0.625
143,18Jul2020,0.625
144,19Jul2020,0.625
145,20Jul2020,0.625
146,21Jul2020,0.625
147,22Jul2020,0.625
148,23Jul2020,0.625
149,24Jul2020,0.625
150,25Jul2020,0.625
151,26Jul2020,0.625
152,27Jul2020,0.625
153,28Jul2020,0.625
154,29Jul2020,0.625
155,30Jul2020,0.625
156,31Jul2020,0.625
157,01Aug2020,0.6065
158,02Aug2020,0.6065
159,03Aug2020,0.6065
160,04Aug2020,0.6065
161,05Aug2020,0.6065
162,06Aug2020,0.6065
163,07Aug2020,0.6065
164,08Aug2020,0.6065
165,09Aug2020,0.6065
166,10Aug2020,0.6065
167,11Aug2020,0.6065
168,12Aug2020,0.6065
169,13Aug2020,0.6065
170,14Aug2020,0.6065
171,15Aug2020,0.6065
172,16Aug2020,0.6065
173,17Aug2020,0.6065
174,18Aug2020,0.6065
175,19Aug2020,0.6065
176,20Aug2020,0.6065
177,21Aug2020,0.6065
178,22Aug2020,0.6065
179,23Aug2020,0.6065
180,24Aug2020,0.6065
181,25Aug2020,0.6065
182,26Aug2020,0.6065
183,27Aug2020,0.6065
184,28Aug2020,0.6065
185,29Aug2020,0.6065
186,30Aug2020,0.6065
187,31Aug2020,0.6065
188,01Sep2020,0.6065
189,02Sep2020,0.6065
190,03Sep2020,0.6065
191,04Sep2020,0.6065
192,05Sep2020,0.6065
193,06Sep2020,0.6065
194,07Sep2020,0.6065
195,08Sep2020,0.6065
196,09Sep2020,0.6065
197,10Sep2020,0.6065
198,11Sep2020,0.6065
199,12Sep2020,0.6065
200,13Sep2020,0.6065
201,14Sep2020,0.6065
202,15Sep2020,0.6204
203,16Sep2020,0.6204
204,17Sep2020,0.6204
205,18Sep2020,0.5832999999999999
206,19Sep2020,0.5832999999999999
207,20Sep2020,0.5832999999999999
208,21Sep2020,0.5832999999999999
209,22Sep2020,0.5832999999999999
210,23Sep2020,0.5832999999999999
211,24Sep2020,0.5832999999999999
212,25Sep2020,0.5832999999999999
213,26Sep2020,0.5832999999999999
214,27Sep2020,0.5832999999999999
215,28Sep2020,0.5832999999999999
216,29Sep2020,0.5832999999999999
217,30Sep2020,0.5832999999999999
218,01Oct2020,0.5832999999999999
219,02Oct2020,0.5832999999999999
220,03Oct2020,0.5832999999999999
221,04Oct2020,0.5832999999999999
222,05Oct2020,0.5832999999999999
223,06Oct2020,0.5832999999999999
224,07Oct2020,0.5832999999999999
225,08Oct2020,0.5832999999999999
226,09Oct2020,0.5832999999999999
227,10Oct2020,0.5832999999999999
228,11Oct2020,0.5832999999999999
229,12Oct2020,0.5832999999999999
230,13Oct2020,0.5832999999999999
231,14Oct2020,0.5832999999999999
232,15Oct2020,0.5832999999999999
233,16Oct2020,0.5832999999999999
234,17Oct2020,0.5832999999999999
235,18Oct2020,0.5832999999999999
236,19Oct2020,0.5832999999999999
237,20Oct2020,0.5832999999999999
238,21Oct2020,0.5832999999999999
239,22Oct2020,0.5832999999999999
240,23Oct2020,0.6389
241,24Oct2020,0.6944
242,25Oct2020,0.6944
243,26Oct2020,0.6944
244,27Oct2020,0.6944
245,28Oct2020,0.6944
246,29Oct2020,0.6944
247,30Oct2020,0.8056
248,31Oct2020,0.8056
249,01Nov2020,0.8056
250,02Nov2020,0.8056
