,Date,Stringency_index
0,15-Mar-20,0.5833
1,16-Mar-20,0.5833
2,17-Mar-20,0.5833
3,18-Mar-20,0.5833
4,19-Mar-20,0.6111
5,20-Mar-20,0.6111
6,21-Mar-20,0.6944
7,22-Mar-20,0.75
8,23-Mar-20,0.75
9,24-Mar-20,0.75
10,25-Mar-20,0.787
11,26-Mar-20,0.787
12,27-Mar-20,0.787
13,28-Mar-20,0.787
14,29-Mar-20,0.787
15,30-Mar-20,0.8148
16,31-Mar-20,0.8704
17,1-Apr-20,0.8704
18,2-Apr-20,0.8704
19,3-Apr-20,0.8704
20,4-Apr-20,0.8704
21,5-Apr-20,0.8704
22,6-Apr-20,0.8704
23,7-Apr-20,0.8704
24,8-Apr-20,0.8704
25,9-Apr-20,0.8704
26,10-Apr-20,0.8704
27,11-Apr-20,0.8704
28,12-Apr-20,0.8704
29,13-Apr-20,0.8704
30,14-Apr-20,0.8704
31,15-Apr-20,0.8704
32,16-Apr-20,0.8704
33,17-Apr-20,0.8704
34,18-Apr-20,0.8704
35,19-Apr-20,0.8704
36,20-Apr-20,0.8704
37,21-Apr-20,0.8704
38,22-Apr-20,0.8704
39,23-Apr-20,0.8704
40,24-Apr-20,0.8704
41,25-Apr-20,0.8704
42,26-Apr-20,0.8704
43,27-Apr-20,0.8704
44,28-Apr-20,0.8704
45,29-Apr-20,0.8704
46,30-Apr-20,0.8704
47,1-May-20,0.8704
48,2-May-20,0.8704
49,3-May-20,0.8704
50,4-May-20,0.8704
51,5-May-20,0.8704
52,6-May-20,0.8704
53,7-May-20,0.8704
54,8-May-20,0.8704
55,9-May-20,0.8704
56,10-May-20,0.8704
57,11-May-20,0.787
58,12-May-20,0.787
59,13-May-20,0.787
60,14-May-20,0.787
61,15-May-20,0.787
62,16-May-20,0.75
63,17-May-20,0.75
64,18-May-20,0.75
65,19-May-20,0.75
66,20-May-20,0.75
67,21-May-20,0.75
68,22-May-20,0.75
69,23-May-20,0.75
70,24-May-20,0.75
71,25-May-20,0.75
72,26-May-20,0.75
73,27-May-20,0.75
74,28-May-20,0.75
75,29-May-20,0.75
76,30-May-20,0.75
77,31-May-20,0.75
78,1-Jun-20,0.5741
79,2-Jun-20,0.537
