,Date,Stringency_index
0,15-Mar-20,0.4907
1,16-Mar-20,0.6667
2,17-Mar-20,0.6667
3,18-Mar-20,0.8148
4,19-Mar-20,0.8148
5,20-Mar-20,0.8148
6,21-Mar-20,1
7,22-Mar-20,1
8,23-Mar-20,1
9,24-Mar-20,1
10,25-Mar-20,1
11,26-Mar-20,1
12,27-Mar-20,1
13,28-Mar-20,1
14,29-Mar-20,1
15,30-Mar-20,1
16,31-Mar-20,1
17,1-Apr-20,1
18,2-Apr-20,1
19,3-Apr-20,1
20,4-Apr-20,1
21,5-Apr-20,1
22,6-Apr-20,1
23,7-Apr-20,1
24,8-Apr-20,1
25,9-Apr-20,1
26,10-Apr-20,1
27,11-Apr-20,1
28,12-Apr-20,1
29,13-Apr-20,1
30,14-Apr-20,1
31,15-Apr-20,1
32,16-Apr-20,1
33,17-Apr-20,1
34,18-Apr-20,1
35,19-Apr-20,1
36,20-Apr-20,1
37,21-Apr-20,0.963
38,22-Apr-20,0.963
39,23-Apr-20,0.963
40,24-Apr-20,0.963
41,25-Apr-20,0.963
42,26-Apr-20,0.963
43,27-Apr-20,0.9352
44,28-Apr-20,0.9352
45,29-Apr-20,0.9352
46,30-Apr-20,0.963
47,1-May-20,0.963
48,2-May-20,0.963
49,3-May-20,0.963
50,4-May-20,0.963
51,5-May-20,0.9352
52,6-May-20,0.9352
53,7-May-20,0.8611
54,8-May-20,0.8611
55,9-May-20,0.8611
56,10-May-20,0.8611
57,11-May-20,0.8611
58,12-May-20,0.8611
59,13-May-20,0.8611
60,14-May-20,0.8611
61,15-May-20,0.8611
62,16-May-20,0.8611
63,17-May-20,0.5185
64,18-May-20,0.5185
65,19-May-20,0.5185
66,20-May-20,0.5185
67,21-May-20,0.5185
68,22-May-20,0.4907
69,23-May-20,0.4907
70,24-May-20,0.4907
71,25-May-20,0.4907
72,26-May-20,0.4907
73,27-May-20,0.4907
74,28-May-20,0.4907
75,29-May-20,0.4907
76,30-May-20,0.4907
77,31-May-20,0.4907
78,1-Jun-20,0.4352
79,2-Jun-20,0.4352
80,3-Jun-20,0.4352
81,4-Jun-20,0.4352
82,5-Jun-20,0.4352
83,6-Jun-20,0.2778
84,7-Jun-20,0.2778
85,8-Jun-20,0.2778
86,9-Jun-20,0.2778
87,10-Jun-20,0.2778
88,11-Jun-20,0.2778
89,12-Jun-20,0.2778
90,13-Jun-20,0.2778
91,14-Jun-20,0.2778
92,15-Jun-20,0.2778
93,16-Jun-20,0.2778
94,17-Jun-20,0.2778
95,18-Jun-20,0.2778
96,19-Jun-20,0.2778
97,20-Jun-20,0.2778
98,21-Jun-20,0.2778
99,22-Jun-20,0.2778
100,23-Jun-20,0.2778
101,24-Jun-20,0.2778
102,25-Jun-20,0.2778
103,26-Jun-20,0.2778
104,27-Jun-20,0.2778
105,28-Jun-20,0.2778
106,29-Jun-20,0.2593
107,30-Jun-20,0.2593
108,1-Jul-20,0.3889
109,2-Jul-20,0.3889
110,3-Jul-20,0.3889
111,4-Jul-20,0.3889
112,5-Jul-20,0.3889
113,6-Jul-20,0.3889
114,7-Jul-20,0.3889
115,8-Jul-20,0.3889
116,9-Jul-20,0.3889
117,10-Jul-20,0.4444
118,11-Jul-20,0.4444
119,12-Jul-20,0.4444
120,13-Jul-20,0.4444
121,14-Jul-20,0.4444
122,15-Jul-20,0.4444
123,16-Jul-20,0.4444
124,17-Jul-20,0.5556
125,18-Jul-20,0.5556
126,19-Jul-20,0.5556
127,20-Jul-20,0.5556
128,21-Jul-20,0.5556
129,22-Jul-20,0.5556
130,23-Jul-20,0.5556
131,24-Jul-20,0.5556
132,25-Jul-20,0.5556
133,26-Jul-20,0.5556
134,27-Jul-20,0.5556
135,28-Jul-20,0.5556
136,29-Jul-20,0.5556
137,30-Jul-20,0.5556
138,31-Jul-20,0.5556
139,1-Aug-20,0.5556
140,2-Aug-20,0.5556
141,3-Aug-20,0.5556
142,4-Aug-20,0.5556
143,5-Aug-20,0.5556
144,6-Aug-20,0.5556
145,7-Aug-20,0.5556
146,8-Aug-20,0.5556
147,9-Aug-20,0.5556
148,10-Aug-20,0.5556
149,11-Aug-20,0.5556
150,12-Aug-20,0.5556
151,13-Aug-20,0.5556
152,14-Aug-20,0.5556
153,15-Aug-20,0.5833
154,16-Aug-20,0.5833
155,17-Aug-20,0.5833
156,18-Aug-20,0.5833
157,19-Aug-20,0.5833
158,20-Aug-20,0.5833
159,21-Aug-20,0.5833
160,22-Aug-20,0.5833
161,23-Aug-20,0.5833
162,24-Aug-20,0.5833
163,25-Aug-20,0.5833
164,26-Aug-20,0.5833
165,27-Aug-20,0.5833
166,28-Aug-20,0.5833
167,29-Aug-20,0.5833
168,30-Aug-20,0.5833
