,Date,Stringency_index
0,9-Mar-20,0.1111
1,10-Mar-20,0.1111
2,11-Mar-20,0.1111
3,12-Mar-20,0.1111
4,13-Mar-20,0.1296
5,14-Mar-20,0.1296
6,15-Mar-20,0.1296
7,16-Mar-20,0.1667
8,17-Mar-20,0.2222
9,18-Mar-20,0.3148
10,19-Mar-20,0.3148
11,20-Mar-20,0.3704
12,21-Mar-20,0.4722
13,22-Mar-20,0.6204
14,23-Mar-20,0.7824
15,24-Mar-20,0.7963
16,25-Mar-20,0.7963
17,26-Mar-20,0.7963
18,27-Mar-20,0.7963
19,28-Mar-20,0.7963
20,29-Mar-20,0.7963
21,30-Mar-20,0.7963
22,31-Mar-20,0.7963
23,1-Apr-20,0.7963
24,2-Apr-20,0.7963
25,3-Apr-20,0.7963
26,4-Apr-20,0.7963
27,5-Apr-20,0.7963
28,6-Apr-20,0.7963
29,7-Apr-20,0.7963
30,8-Apr-20,0.7963
31,9-Apr-20,0.7963
32,10-Apr-20,0.7963
33,11-Apr-20,0.7963
34,12-Apr-20,0.7963
35,13-Apr-20,0.7963
36,14-Apr-20,0.7963
37,15-Apr-20,0.7963
38,16-Apr-20,0.7963
39,17-Apr-20,0.7963
40,18-Apr-20,0.7963
41,19-Apr-20,0.7963
42,20-Apr-20,0.7963
43,21-Apr-20,0.7963
44,22-Apr-20,0.7963
45,23-Apr-20,0.7963
46,24-Apr-20,0.7963
47,25-Apr-20,0.7963
48,26-Apr-20,0.7963
49,27-Apr-20,0.7963
50,28-Apr-20,0.7963
51,29-Apr-20,0.7963
52,30-Apr-20,0.7963
53,1-May-20,0.7963
54,2-May-20,0.7963
55,3-May-20,0.7963
56,4-May-20,0.7963
57,5-May-20,0.7963
58,6-May-20,0.7963
59,7-May-20,0.7963
60,8-May-20,0.7963
61,9-May-20,0.7963
62,10-May-20,0.7963
63,11-May-20,0.7778
64,12-May-20,0.7778
65,13-May-20,0.713
66,14-May-20,0.713
67,15-May-20,0.713
68,16-May-20,0.713
69,17-May-20,0.713
70,18-May-20,0.713
71,19-May-20,0.713
72,20-May-20,0.713
73,21-May-20,0.713
74,22-May-20,0.713
75,23-May-20,0.713
76,24-May-20,0.713
77,25-May-20,0.713
78,26-May-20,0.713
79,27-May-20,0.713
80,28-May-20,0.713
81,29-May-20,0.6944
82,30-May-20,0.6944
83,31-May-20,0.6944
84,1-Jun-20,0.6759
85,2-Jun-20,0.6759
86,3-Jun-20,0.6759
87,4-Jun-20,0.6759
88,5-Jun-20,0.6759
89,6-Jun-20,0.6759
90,7-Jun-20,0.6759
91,8-Jun-20,0.7315
92,9-Jun-20,0.7315
93,10-Jun-20,0.7315
94,11-Jun-20,0.7315
95,12-Jun-20,0.7315
96,13-Jun-20,0.7315
97,14-Jun-20,0.7315
98,15-Jun-20,0.713
99,16-Jun-20,0.713
100,17-Jun-20,0.713
101,18-Jun-20,0.713
102,19-Jun-20,0.713
103,20-Jun-20,0.713
104,21-Jun-20,0.713
105,22-Jun-20,0.713
106,23-Jun-20,0.713
107,24-Jun-20,0.713
108,25-Jun-20,0.713
109,26-Jun-20,0.713
110,27-Jun-20,0.713
111,28-Jun-20,0.713
112,29-Jun-20,0.713
113,30-Jun-20,0.713
114,1-Jul-20,0.713
115,2-Jul-20,0.713
116,3-Jul-20,0.713
117,4-Jul-20,0.6991
118,5-Jul-20,0.6991
119,6-Jul-20,0.6435
