date,new_cases
2/25/2020,2.22E-07
2/26/2020,0
2/27/2020,1.11E-07
2/28/2020,0
2/29/2020,6.66E-07
3/1/2020,5.55E-07
3/2/2020,4.44E-07
3/3/2020,3.33E-07
3/4/2020,8.88E-07
3/5/2020,1.33E-06
3/6/2020,1.55E-06
3/7/2020,2.66E-06
3/8/2020,2.78E-06
3/9/2020,3.00E-06
3/10/2020,5.66E-06
3/11/2020,7.11E-06
3/12/2020,6.22E-06
3/13/2020,2.24E-05
3/14/2020,1.68E-05
3/15/2020,2.28E-05
3/16/2020,1.75E-05
3/17/2020,3.49E-05
3/18/2020,3.49E-05
3/19/2020,4.07E-05
3/20/2020,4.16E-05
3/21/2020,4.73E-05
3/22/2020,8.53E-05
3/23/2020,9.90E-05
3/24/2020,8.98E-05
3/25/2020,3.39E-05
3/26/2020,0.000146674
3/27/2020,8.31E-05
3/28/2020,6.82E-05
3/29/2020,5.74E-05
3/30/2020,9.22E-05
3/31/2020,6.24E-05
4/1/2020,5.90E-05
4/2/2020,4.64E-05
4/3/2020,4.39E-05
4/4/2020,2.85E-05
4/5/2020,3.00E-05
4/6/2020,2.73E-05
4/7/2020,3.80E-05
4/8/2020,3.36E-05
4/9/2020,3.35E-05
4/10/2020,3.45E-05
4/11/2020,2.79E-05
4/12/2020,1.54E-05
4/13/2020,1.07E-05
4/14/2020,2.05E-05
4/15/2020,1.22E-05
4/16/2020,1.55E-05
4/17/2020,1.32E-05
4/18/2020,8.44E-06
4/19/2020,8.66E-06
4/20/2020,5.11E-06
4/21/2020,8.66E-06
4/22/2020,5.77E-06
4/23/2020,8.55E-06
4/24/2020,7.66E-06
4/25/2020,8.55E-06
4/26/2020,8.55E-06
4/27/2020,5.44E-06
4/28/2020,9.22E-06
4/29/2020,5.00E-06
4/30/2020,5.55E-06
5/1/2020,8.77E-06
5/2/2020,3.00E-06
5/3/2020,4.33E-06
5/4/2020,2.66E-06
5/5/2020,3.22E-06
5/6/2020,3.78E-06
5/7/2020,7.55E-06
5/8/2020,2.44E-06
5/9/2020,6.55E-06
5/10/2020,4.22E-06
5/11/2020,1.22E-06
