,Date,New_cases
0,2020-02-26,0.0
1,2020-02-27,0.0
2,2020-02-28,1.1103217956834685e-07
3,2020-02-29,2.220643591366937e-07
4,2020-03-01,4.441287182733874e-07
5,2020-03-02,1.1103217956834685e-07
6,2020-03-03,4.441287182733874e-07
7,2020-03-04,5.551608978417343e-07
8,2020-03-05,6.661930774100811e-07
9,2020-03-06,1.554450513956856e-06
10,2020-03-07,9.992896161151217e-07
11,2020-03-08,3.219933207482059e-06
12,2020-03-09,2.5537401300719778e-06
13,2020-03-10,3.108901027913712e-06
14,2020-03-11,2.4427079505036307e-06
15,2020-03-12,6.106769876259077e-06
16,2020-03-13,1.199147539338146e-05
17,2020-03-14,1.0659089238561298e-05
18,2020-03-15,2.009682450187078e-05
19,2020-03-16,2.031888886100748e-05
20,2020-03-17,1.8875470526618964e-05
21,2020-03-18,3.88612628489214e-06
22,2020-03-19,4.441287182733874e-06
23,2020-03-20,3.219933207482059e-06
24,2020-03-21,3.7750941053237938e-06
25,2020-03-22,5.884705517122384e-06
26,2020-03-23,9.104638724604445e-06
27,2020-03-24,8.216381288057668e-06
28,2020-03-25,6.140079530129581e-05
29,2020-03-26,7.161575582158372e-05
30,2020-03-27,7.416949595165571e-05
31,2020-03-28,0.0001119204370048
32,2020-03-29,8.704922878158394e-05
33,2020-03-30,6.772962953669158e-05
34,2020-03-31,6.040150568518069e-05
35,2020-04-01,7.372536723338231e-05
36,2020-04-02,6.073460222388573e-05
37,2020-04-03,6.0623570044317385e-05
38,2020-04-04,4.807693375309419e-05
39,2020-04-05,4.5412161443453866e-05
40,2020-04-06,2.753598053295002e-05
41,2020-04-07,2.031888886100748e-05
42,2020-04-08,3.36427504092091e-05
43,2020-04-09,3.197726771568389e-05
44,2020-04-10,3.186623553611555e-05
45,2020-04-11,3.064488156086373e-05
46,2020-04-12,3.963848810589983e-05
47,2020-04-13,2.2539532452374413e-05
48,2020-04-14,1.2324571932086502e-05
49,2020-04-15,9.659799622446175e-06
50,2020-04-16,1.6543794755683682e-05
51,2020-04-17,1.4212118984748395e-05
52,2020-04-18,1.2435604111654847e-05
53,2020-04-19,1.0992185777266338e-05
54,2020-04-20,6.550898594532464e-06
55,2020-04-21,5.218512439712302e-06
56,2020-04-22,7.217091671942546e-06
57,2020-04-23,7.77225256978428e-06
58,2020-04-24,7.77225256978428e-06
59,2020-04-25,6.661930774100811e-06
60,2020-04-26,8.771542185899402e-06
61,2020-04-27,6.883995133237505e-06
62,2020-04-28,3.997158464460487e-06
63,2020-04-29,7.550188210647587e-06
64,2020-04-30,5.440576798848996e-06
65,2020-05-01,6.661930774100811e-06
66,2020-05-02,5.99573769669073e-06
67,2020-05-03,4.108190644028834e-06
68,2020-05-04,3.108901027913712e-06
69,2020-05-05,1.3323861548201622e-06
70,2020-05-06,3.330965387050405e-06
71,2020-05-07,5.99573769669073e-06
72,2020-05-08,5.107480260143956e-06
73,2020-05-09,4.441287182733874e-06
74,2020-05-10,5.440576798848996e-06
75,2020-05-11,3.330965387050405e-06
76,2020-05-12,1.6654826935252028e-06
77,2020-05-13,7.217091671942546e-06
78,2020-05-14,4.219222823597181e-06
79,2020-05-15,5.773673337554036e-06
80,2020-05-16,5.99573769669073e-06
81,2020-05-17,8.327413467626014e-06
82,2020-05-18,1.6654826935252028e-06
83,2020-05-19,2.886836668777018e-06
84,2020-05-20,6.439866414964118e-06
85,2020-05-21,6.772962953669159e-06
86,2020-05-22,3.330965387050405e-06
87,2020-05-23,3.441997566618753e-06
88,2020-05-24,3.108901027913712e-06
89,2020-05-25,2.6647723096403244e-06
90,2020-05-26,3.441997566618753e-06
91,2020-05-27,2.7758044892086715e-06
92,2020-05-28,2.4427079505036307e-06
93,2020-05-29,5.551608978417343e-06
94,2020-05-30,2.1096114117985904e-06
95,2020-05-31,4.663351541870568e-06
96,2020-06-01,3.5530297461870992e-06
97,2020-06-02,5.551608978417343e-07
98,2020-06-03,2.1096114117985904e-06
99,2020-06-04,1.7765148730935496e-06
100,2020-06-05,5.884705517122384e-06
101,2020-06-06,1.8875470526618969e-06
102,2020-06-07,7.328123851510893e-06
103,2020-06-08,3.441997566618753e-06
104,2020-06-09,2.7758044892086715e-06
105,2020-06-10,2.6647723096403244e-06
106,2020-06-11,1.6654826935252028e-06
107,2020-06-12,3.7750941053237938e-06
108,2020-06-13,2.4427079505036307e-06
109,2020-06-14,4.108190644028834e-06
110,2020-06-15,2.4427079505036307e-06
111,2020-06-16,1.9985792322302437e-06
112,2020-06-17,5.884705517122384e-06
113,2020-06-18,2.1096114117985904e-06
114,2020-06-19,3.441997566618753e-06
115,2020-06-20,3.5530297461870992e-06
116,2020-06-21,5.773673337554036e-06
117,2020-06-22,3.5530297461870992e-06
118,2020-06-23,3.219933207482059e-06
119,2020-06-24,3.441997566618753e-06
120,2020-06-25,4.774383721438915e-06
121,2020-06-26,3.88612628489214e-06
122,2020-06-27,4.885415901007261e-06
123,2020-06-28,8.216381288057668e-06
124,2020-06-29,4.996448080575609e-06
125,2020-06-30,6.883995133237505e-06
126,2020-07-01,5.440576798848996e-06
127,2020-07-02,1.1214250136403032e-05
128,2020-07-03,1.0548057058992952e-05
129,2020-07-04,8.771542185899402e-06
130,2020-07-05,1.4878312062158478e-05
131,2020-07-06,1.1769411034244767e-05
132,2020-07-07,8.438445647194362e-06
133,2020-07-08,7.550188210647587e-06
134,2020-07-09,1.0103928340719564e-05
135,2020-07-10,1.3101797189064929e-05
136,2020-07-11,7.994316928920973e-06
