date,new_cases
2/28/2020,1.06E-07
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,5.29E-07
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,3.17E-07
3/11/2020,0
3/12/2020,3.17E-07
3/13/2020,1.59E-06
3/14/2020,0
3/15/2020,0
3/16/2020,9.52E-07
3/17/2020,0
3/18/2020,1.59E-06
3/19/2020,0
3/20/2020,1.90E-06
3/21/2020,7.41E-07
3/22/2020,0
3/23/2020,5.29E-07
3/24/2020,0
3/25/2020,5.29E-07
3/26/2020,0
3/27/2020,8.47E-07
3/28/2020,0
3/29/2020,0
3/30/2020,6.14E-06
3/31/2020,0
4/1/2020,1.16E-06
4/2/2020,1.49E-05
4/3/2020,4.97E-06
4/4/2020,9.42E-06
4/5/2020,1.29E-05
4/6/2020,1.46E-05
4/7/2020,1.70E-05
4/8/2020,2.17E-05
4/9/2020,4.44E-05
4/10/2020,5.24E-05
4/11/2020,2.59E-05
4/12/2020,3.73E-05
4/13/2020,3.61E-05
4/14/2020,3.83E-05
4/15/2020,4.73E-05
4/16/2020,5.04E-05
4/17/2020,6.09E-05
4/18/2020,5.48E-05
4/19/2020,5.40E-05
4/20/2020,4.84E-05
4/21/2020,4.86E-05
4/22/2020,5.91E-05
4/23/2020,7.84E-05
4/24/2020,7.95E-05
4/25/2020,8.65E-05
4/26/2020,9.24E-05
4/27/2020,8.74E-05
4/28/2020,9.73E-05
4/29/2020,0.00010297
4/30/2020,8.95E-05
5/1/2020,9.42E-05
5/2/2020,9.64E-05
5/3/2020,9.28E-05
5/4/2020,8.30E-05
5/5/2020,9.11E-05
5/6/2020,9.58E-05
5/7/2020,9.66E-05
5/8/2020,9.87E-05
5/9/2020,0.000100642
5/10/2020,9.75E-05
5/11/2020,9.87E-05
5/12/2020,0.000102335
5/13/2020,0.000100748
5/14/2020,0.000100219
5/15/2020,0.000101383
5/16/2020,0.000100642
5/17/2020,0.000102547
5/18/2020,9.76E-05
5/19/2020,9.91E-05
5/20/2020,9.71E-05
5/21/2020,0.000100007
5/22/2020,9.86E-05
5/23/2020,9.96E-05
5/24/2020,0.00010096
5/25/2020,0.000100113
5/26/2020,9.68E-05
5/27/2020,9.49E-05
5/28/2020,9.55E-05
5/29/2020,9.59E-05
5/30/2020,9.46E-05
5/31/2020,9.50E-05
6/1/2020,8.96E-05
6/2/2020,9.02E-05
6/3/2020,9.11E-05
6/4/2020,9.15E-05
6/5/2020,9.39E-05
6/6/2020,9.34E-05
6/7/2020,9.30E-05
6/8/2020,8.71E-05
6/9/2020,8.59E-05
6/10/2020,8.48E-05
6/11/2020,7.94E-05
6/12/2020,7.45E-05
6/13/2020,7.63E-05
6/14/2020,7.75E-05
6/15/2020,7.48E-05
6/16/2020,7.29E-05
6/17/2020,7.02E-05
6/18/2020,6.61E-05
6/19/2020,7.15E-05
6/20/2020,6.38E-05
6/21/2020,6.02E-05
6/22/2020,5.48E-05
6/23/2020,4.91E-05
6/24/2020,4.85E-05
6/25/2020,4.62E-05
6/26/2020,3.50E-05
6/27/2020,4.04E-05
6/28/2020,4.02E-05
6/29/2020,3.33E-05
6/30/2020,3.47E-05
7/1/2020,3.24E-05
7/2/2020,2.90E-05
7/3/2020,3.16E-05
7/4/2020,2.89E-05
7/5/2020,3.01E-05
7/6/2020,2.65E-05
7/7/2020,2.11E-05
7/8/2020,2.34E-05
7/9/2020,1.98E-05
7/10/2020,2.04E-05
7/11/2020,1.72E-05
7/12/2020,1.75E-05
7/13/2020,1.93E-05
7/14/2020,1.64E-05
7/15/2020,1.84E-05
7/16/2020,1.90E-05
7/17/2020,1.68E-05
7/18/2020,1.81E-05
7/19/2020,1.50E-05
7/20/2020,1.25E-05
7/21/2020,1.43E-05
7/22/2020,1.83E-05
7/23/2020,1.77E-05
7/24/2020,1.67E-05
7/25/2020,1.65E-05
7/26/2020,1.38E-05
7/27/2020,1.26E-05
7/28/2020,1.22E-05
7/29/2020,1.61E-05
7/30/2020,1.56E-05
7/31/2020,1.51E-05
8/1/2020,1.46E-05
8/2/2020,1.28E-05
8/3/2020,1.05E-05
8/4/2020,8.89E-06
8/5/2020,1.33E-05
8/6/2020,1.34E-05
8/7/2020,1.17E-05
8/8/2020,1.31E-05
8/9/2020,1.19E-05
8/10/2020,1.03E-05
8/11/2020,6.14E-06
8/12/2020,1.03E-05
8/13/2020,1.07E-05
8/14/2020,1.11E-05
8/15/2020,1.66E-05
8/16/2020,2.20E-05
8/17/2020,7.73E-06
8/18/2020,8.89E-06
8/19/2020,1.35E-05
8/20/2020,1.58E-05
8/21/2020,1.70E-05
8/22/2020,1.84E-05
8/23/2020,1.94E-05
8/24/2020,1.87E-05
8/25/2020,8.68E-06
8/26/2020,2.61E-05
8/27/2020,2.02E-05
8/28/2020,1.92E-05
8/29/2020,1.87E-05
8/30/2020,1.74E-05
8/31/2020,1.65E-05
9/1/2020,1.26E-05
9/2/2020,1.89E-05
9/3/2020,1.70E-05
9/4/2020,1.94E-05
9/5/2020,1.88E-05
9/6/2020,2.07E-05
9/7/2020,1.82E-05
9/8/2020,1.87E-05
9/9/2020,2.05E-05
9/10/2020,2.00E-05
9/11/2020,2.04E-05
9/12/2020,2.02E-05
9/13/2020,2.10E-05
9/14/2020,1.98E-05
9/15/2020,2.03E-05
9/16/2020,2.23E-05
9/17/2020,2.37E-05
9/18/2020,2.57E-05
9/19/2020,2.44E-05
9/20/2020,2.25E-05
9/21/2020,2.37E-05
9/22/2020,2.18E-05
9/23/2020,2.68E-05
9/24/2020,3.11E-05
9/25/2020,3.24E-05
9/26/2020,3.51E-05
9/27/2020,3.39E-05
9/28/2020,3.57E-05
9/29/2020,3.32E-05
9/30/2020,3.93E-05
10/1/2020,4.11E-05
10/2/2020,4.25E-05
10/3/2020,4.56E-05
10/4/2020,6.75E-05
10/5/2020,8.93E-05
10/6/2020,4.17E-05
10/7/2020,4.39E-05
10/8/2020,5.05E-05
10/9/2020,5.17E-05
10/10/2020,8.21E-05
10/11/2020,0.000112495
10/12/2020,4.91E-05
10/13/2020,5.57E-05
10/14/2020,6.32E-05
10/15/2020,6.49E-05
10/16/2020,6.96E-05
10/17/2020,7.10E-05
10/18/2020,6.72E-05
10/19/2020,6.26E-05
10/20/2020,6.55E-05
10/21/2020,7.76E-05
10/22/2020,7.81E-05
10/23/2020,8.33E-05
10/24/2020,8.58E-05
10/25/2020,8.94E-05
10/26/2020,9.36E-05
10/27/2020,9.55E-05
10/28/2020,9.91E-05
10/29/2020,0.000104134
10/30/2020,0.000102653
10/31/2020,0.000104029
11/1/2020,0.000103394
11/2/2020,9.96E-05
11/3/2020,9.83E-05
11/4/2020,0.000104134
11/5/2020,0.000103923
11/6/2020,0.000104875
11/7/2020,0.00010551
11/8/2020,0.000105404
11/9/2020,0.000104029
11/10/2020,0.000109849
11/11/2020,0.00011186
11/12/2020,0.000116199
11/13/2020,0.000123501
11/14/2020,0.000132073
11/15/2020,0.000139163
11/16/2020,0.00013366
11/17/2020,0.00013239
11/18/2020,0.000138528
11/19/2020,0.000146254
11/20/2020,0.000154191
11/21/2020,0.000168054
11/22/2020,0.000165515
11/23/2020,0.000156942
11/24/2020,0.000155673
11/25/2020,0.000158318
11/26/2020,0.000165409
11/27/2020,0.000171547
11/28/2020,0.000178955
11/29/2020,0.000178214
11/30/2020,0.000173452
12/1/2020,0.000166361
12/2/2020,0.000178743
12/3/2020,0.000180013
12/4/2020,0.000187738
12/5/2020,0.000200649
12/6/2020,0.000198744
12/7/2020,0.000190067
12/8/2020,0.00017451
12/9/2020,0.000195887
12/10/2020,0.0002052
12/11/2020,0.000208163
12/12/2020,0.00020901
12/13/2020,0.000207528
12/14/2020,0.000196099
12/15/2020,0.000202237
12/16/2020,0.000194511
12/17/2020,0.000194088
12/18/2020,0.000202872
12/19/2020,0.000204353
12/20/2020,0.000205729
12/21/2020,0.000200332
12/22/2020,0.000196628
12/23/2020,0.000203401
12/24/2020,0.000202872
12/25/2020,0.000200332
12/26/2020,0.000202766
12/27/2020,0.000193136
12/28/2020,0.000194829
12/29/2020,0.000192183
12/30/2020,0.000207105
12/31/2020,0.000203507
1/1/2021,0.0002052
1/2/2021,0.000201284
1/3/2021,0.000194405
1/4/2021,0.000197792
1/5/2021,0.000134719
1/6/2021,0.000196205
1/7/2021,0.000194511
1/8/2021,0.000191019
1/9/2021,0.000186998
1/10/2021,0.000193982
1/11/2021,0.000189643
1/12/2021,0.000183188
1/13/2021,0.000208692
1/14/2021,0.000208163
1/15/2021,0.000205412
1/16/2021,0.000204565
1/17/2021,0.000203612
1/18/2021,0.000200967
1/19/2021,0.000143502
1/20/2021,0.000188162
1/21/2021,0.000190913
1/22/2021,0.000191866
1/23/2021,0.000184987
1/24/2021,0.00018541
1/25/2021,0.000108368
1/26/2021,8.96E-05
1/27/2021,0.000174722
1/28/2021,0.000181812
