,Date,New_cases
0,3/25/2020,0
1,3/26/2020,5.29E-07
2,3/27/2020,0
3,3/28/2020,8.47E-07
4,3/29/2020,0
5,3/30/2020,0
6,3/31/2020,6.14E-06
7,4/1/2020,0
8,4/2/2020,1.16E-06
9,4/3/2020,1.49E-05
10,4/4/2020,4.97E-06
11,4/5/2020,9.42E-06
12,4/6/2020,1.29E-05
13,4/7/2020,1.46E-05
14,4/8/2020,1.70E-05
15,4/9/2020,2.17E-05
16,4/10/2020,4.44E-05
17,4/11/2020,5.24E-05
18,4/12/2020,2.59E-05
19,4/13/2020,3.73E-05
20,4/14/2020,3.61E-05
21,4/15/2020,3.83E-05
22,4/16/2020,4.73E-05
23,4/17/2020,5.04E-05
24,4/18/2020,6.09E-05
25,4/19/2020,5.48E-05
26,4/20/2020,5.40E-05
27,4/21/2020,4.84E-05
28,4/22/2020,4.86E-05
29,4/23/2020,5.91E-05
30,4/24/2020,7.84E-05
31,4/25/2020,7.95E-05
32,4/26/2020,8.65E-05
33,4/27/2020,9.24E-05
34,4/28/2020,8.74E-05
35,4/29/2020,9.73E-05
36,4/30/2020,0.00010297
37,5/1/2020,8.95E-05
38,5/2/2020,9.42E-05
39,5/3/2020,9.64E-05
40,5/4/2020,9.28E-05
41,5/5/2020,8.30E-05
42,5/6/2020,9.11E-05
43,5/7/2020,9.58E-05
44,5/8/2020,9.66E-05
45,5/9/2020,9.87E-05
46,5/10/2020,0.000100642
47,5/11/2020,9.75E-05
48,5/12/2020,9.87E-05
49,5/13/2020,0.000102335
50,5/14/2020,0.000100748
51,5/15/2020,0.000100219
52,5/16/2020,0.000101383
53,5/17/2020,0.000100642
54,5/18/2020,0.000102547
55,5/19/2020,9.76E-05
56,5/20/2020,9.91E-05
57,5/21/2020,9.71E-05
58,5/22/2020,0.000100007
59,5/23/2020,9.86E-05
60,5/24/2020,9.96E-05
61,5/25/2020,0.00010096
62,5/26/2020,0.000100113
63,5/27/2020,9.68E-05
64,5/28/2020,9.49E-05
65,5/29/2020,9.55E-05
66,5/30/2020,9.59E-05
67,5/31/2020,9.46E-05
68,6/1/2020,9.50E-05
69,6/2/2020,8.96E-05
70,6/3/2020,9.02E-05
71,6/4/2020,9.11E-05
72,6/5/2020,9.15E-05
73,6/6/2020,9.39E-05
74,6/7/2020,9.34E-05
75,6/8/2020,9.30E-05
76,6/9/2020,8.71E-05
77,6/10/2020,8.59E-05
78,6/11/2020,8.48E-05
79,6/12/2020,7.94E-05
80,6/13/2020,7.45E-05
81,6/14/2020,7.63E-05
82,6/15/2020,7.75E-05
83,6/16/2020,7.48E-05
84,6/17/2020,7.29E-05
85,6/18/2020,7.02E-05
86,6/19/2020,6.61E-05
87,6/20/2020,7.15E-05
88,6/21/2020,6.38E-05
89,6/22/2020,6.02E-05
90,6/23/2020,5.48E-05
91,6/24/2020,4.91E-05
92,6/25/2020,4.85E-05
93,6/26/2020,4.62E-05
94,6/27/2020,3.50E-05
95,6/28/2020,4.04E-05
96,6/29/2020,4.02E-05
97,6/30/2020,3.33E-05
98,7/1/2020,3.47E-05
99,7/2/2020,3.24E-05
100,7/3/2020,2.90E-05
101,7/4/2020,3.16E-05
102,7/5/2020,2.89E-05
103,7/6/2020,3.01E-05
104,7/7/2020,2.65E-05
105,7/8/2020,2.11E-05
106,7/9/2020,2.34E-05
107,7/10/2020,1.98E-05
108,7/11/2020,2.04E-05
109,7/12/2020,1.72E-05
110,7/13/2020,1.75E-05
111,7/14/2020,1.93E-05
112,7/15/2020,1.64E-05
113,7/16/2020,1.84E-05
114,7/17/2020,1.90E-05
115,7/18/2020,1.68E-05
116,7/19/2020,1.81E-05
117,7/20/2020,1.50E-05
118,7/21/2020,1.25E-05
119,7/22/2020,1.43E-05
120,7/23/2020,1.83E-05
121,7/24/2020,1.77E-05
122,7/25/2020,1.67E-05
123,7/26/2020,1.65E-05
124,7/27/2020,1.38E-05
125,7/28/2020,1.26E-05
126,7/29/2020,1.22E-05
