date,new_cases
2/4/2020,8.63E-08
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,8.63E-08
3/2/2020,5.18E-07
3/3/2020,4.31E-07
3/4/2020,8.63E-07
3/5/2020,2.33E-06
3/6/2020,5.09E-06
3/7/2020,5.18E-06
3/8/2020,2.67E-06
3/9/2020,3.37E-06
3/10/2020,2.42E-06
3/11/2020,4.06E-06
3/12/2020,1.26E-05
3/13/2020,2.11E-05
3/14/2020,1.12E-05
3/15/2020,1.70E-05
3/16/2020,1.48E-05
3/17/2020,1.60E-05
3/18/2020,2.10E-05
3/19/2020,2.67E-05
3/20/2020,3.99E-05
3/21/2020,4.81E-05
3/22/2020,5.06E-05
3/23/2020,2.95E-05
3/24/2020,4.54E-05
3/25/2020,5.76E-05
3/26/2020,0.000111997
3/27/2020,9.05E-05
3/28/2020,0.000159626
3/29/2020,0.000146856
3/30/2020,9.17E-05
3/31/2020,7.56E-05
4/1/2020,0.000102592
4/2/2020,0.000119417
4/3/2020,0.000122696
4/4/2020,0.000143318
4/5/2020,0.000108718
4/6/2020,9.69E-05
4/7/2020,0.000119072
4/8/2020,0.000104317
4/9/2020,0.000136329
4/10/2020,0.000145302
4/11/2020,0.00011657
4/12/2020,0.000140557
4/13/2020,8.13E-05
4/14/2020,4.57E-05
4/15/2020,0.000211741
4/16/2020,0.000106647
4/17/2020,0.000114672
4/18/2020,9.02E-05
4/19/2020,0.000113291
4/20/2020,0.000128304
4/21/2020,8.40E-05
4/22/2020,8.05E-05
4/23/2020,7.83E-05
4/24/2020,0.000129081
4/25/2020,8.90E-05
4/26/2020,6.98E-05
4/27/2020,4.77E-05
4/28/2020,5.58E-05
4/29/2020,4.53E-05
4/30/2020,5.69E-05
5/1/2020,4.43E-05
5/2/2020,4.18E-05
5/3/2020,3.36E-05
5/4/2020,3.11E-05
5/5/2020,2.09E-05
5/6/2020,2.35E-05
5/7/2020,5.51E-05
5/8/2020,5.10E-05
5/9/2020,5.05E-05
5/10/2020,4.18E-05
