,Date,New_cases
0,3/9/2020,2.42E-06
1,3/10/2020,4.06E-06
2,3/11/2020,0
3,3/12/2020,2.11E-05
4,3/13/2020,1.12E-05
5,3/14/2020,1.70E-05
6,3/15/2020,1.48E-05
7,3/16/2020,1.60E-05
8,3/17/2020,2.10E-05
9,3/18/2020,2.67E-05
10,3/19/2020,3.99E-05
11,3/20/2020,4.81E-05
12,3/21/2020,5.06E-05
13,3/22/2020,2.95E-05
14,3/23/2020,4.54E-05
15,3/24/2020,5.76E-05
16,3/25/2020,0.000111997
17,3/26/2020,9.05E-05
18,3/27/2020,0.000159626
19,3/28/2020,0.000146856
20,3/29/2020,9.17E-05
21,3/30/2020,7.56E-05
22,3/31/2020,0.000102592
23,4/1/2020,0.000119417
24,4/2/2020,0.000122696
25,4/3/2020,0.000143318
26,4/4/2020,0.000108718
27,4/5/2020,9.69E-05
28,4/6/2020,0.000119072
29,4/7/2020,0.000104317
30,4/8/2020,0.000136329
31,4/9/2020,0.000145302
32,4/10/2020,0.00011657
33,4/11/2020,0.000140557
34,4/12/2020,8.13E-05
35,4/13/2020,4.57E-05
36,4/14/2020,0.000211741
37,4/15/2020,0.000106647
38,4/16/2020,0.000114672
39,4/17/2020,9.02E-05
40,4/18/2020,0.000113291
41,4/19/2020,0.000128304
42,4/20/2020,8.40E-05
43,4/21/2020,8.05E-05
44,4/22/2020,7.83E-05
45,4/23/2020,0.000129081
46,4/24/2020,8.90E-05
47,4/25/2020,6.98E-05
48,4/26/2020,4.77E-05
49,4/27/2020,5.58E-05
50,4/28/2020,4.53E-05
51,4/29/2020,5.69E-05
52,4/30/2020,4.43E-05
53,5/1/2020,4.18E-05
54,5/2/2020,3.36E-05
55,5/3/2020,3.11E-05
56,5/4/2020,2.09E-05
57,5/5/2020,2.35E-05
58,5/6/2020,5.51E-05
59,5/7/2020,5.10E-05
60,5/8/2020,5.05E-05
61,5/9/2020,4.18E-05
62,5/10/2020,3.18E-05
63,5/11/2020,2.85E-05
64,5/12/2020,1.74E-05
65,5/13/2020,2.65E-05
66,5/14/2020,3.07E-05
67,5/15/2020,2.98E-05
68,5/16/2020,2.51E-05
69,5/17/2020,2.41E-05
70,5/18/2020,2.00E-05
71,5/19/2020,1.66E-05
72,5/20/2020,2.17E-05
73,5/21/2020,2.38E-05
74,5/22/2020,2.58E-05
75,5/23/2020,2.43E-05
76,5/24/2020,2.16E-05
77,5/25/2020,9.75E-06
78,5/26/2020,1.18E-05
79,5/27/2020,2.22E-05
80,5/28/2020,1.83E-05
81,5/29/2020,1.08E-05
82,5/30/2020,1.68E-05
83,5/31/2020,1.17E-05
84,6/1/2020,8.46E-06
85,6/2/2020,6.04E-06
86,6/3/2020,7.08E-06
87,6/4/2020,1.21E-05
88,6/5/2020,1.42E-05
89,6/6/2020,1.33E-05
90,6/7/2020,1.05E-05
91,6/8/2020,7.68E-06
92,6/9/2020,1.14E-05
93,6/10/2020,1.23E-05
94,6/11/2020,9.32E-06
95,6/12/2020,8.54E-06
96,6/13/2020,9.58E-06
97,6/14/2020,6.13E-06
98,6/15/2020,4.75E-06
99,6/16/2020,7.68E-06
100,6/17/2020,8.97E-06
101,6/18/2020,1.10E-05
102,6/19/2020,6.39E-06
103,6/20/2020,0
104,6/21/2020,0
105,6/22/2020,2.24E-05
106,6/23/2020,7.59E-06
107,6/24/2020,9.40E-06
108,6/25/2020,8.54E-06
109,6/26/2020,8.89E-06
110,6/27/2020,7.42E-06
111,6/28/2020,5.69E-06
112,6/29/2020,5.69E-06
113,6/30/2020,7.08E-06
114,7/1/2020,7.68E-06
115,7/2/2020,1.11E-05
116,7/3/2020,9.58E-06
117,7/4/2020,1.54E-05
118,7/5/2020,3.62E-06
119,7/6/2020,0
120,7/7/2020,5.61E-06
121,7/8/2020,7.51E-06
122,7/9/2020,1.27E-05
123,7/10/2020,9.66E-06
124,7/11/2020,2.05E-05
125,7/12/2020,0
126,7/13/2020,6.39E-06
127,7/14/2020,7.85E-06
128,7/15/2020,3.16E-05
129,7/16/2020,2.25E-05
130,7/17/2020,1.79E-05
131,7/18/2020,0
132,7/19/2020,3.35E-05
133,7/20/2020,1.42E-05
134,7/21/2020,3.18E-05
135,7/22/2020,1.90E-05
136,7/23/2020,3.04E-05
137,7/24/2020,4.56E-05
138,7/25/2020,2.58E-05
139,7/26/2020,3.47E-05
140,7/27/2020,2.02E-05
141,7/28/2020,5.81E-05
142,7/29/2020,5.79E-05
143,7/30/2020,6.43E-05
144,7/31/2020,5.62E-05
145,8/1/2020,3.86E-05
146,8/2/2020,4.01E-05
147,8/3/2020,2.88E-05
148,8/4/2020,4.40E-05
149,8/5/2020,7.40E-05
150,8/6/2020,6.63E-05
151,8/7/2020,5.32E-05
152,8/8/2020,6.48E-05
153,8/9/2020,4.04E-05
154,8/10/2020,3.35E-05
155,8/11/2020,5.51E-05
156,8/12/2020,4.69E-05
157,8/13/2020,7.96E-05
158,8/14/2020,6.52E-05
159,8/15/2020,3.92E-05
160,8/16/2020,1.82E-05
161,8/17/2020,3.13E-05
162,8/18/2020,5.02E-05
163,8/19/2020,6.03E-05
164,8/20/2020,6.18E-05
165,8/21/2020,4.95E-05
166,8/22/2020,4.04E-05
167,8/23/2020,1.35E-05
168,8/24/2020,3.06E-05
169,8/25/2020,5.03E-05
170,8/26/2020,4.06E-05
171,8/27/2020,3.90E-05
172,8/28/2020,5.58E-05
173,8/29/2020,3.82E-05
174,8/30/2020,1.67E-05
175,8/31/2020,2.17E-05
176,9/1/2020,3.66E-05
177,9/2/2020,5.46E-05
178,9/3/2020,5.44E-05
179,9/4/2020,5.62E-05
180,9/5/2020,4.68E-05
181,9/6/2020,3.47E-05
182,9/7/2020,3.21E-05
183,9/8/2020,4.75E-05
184,9/9/2020,7.57E-05
185,9/10/2020,8.36E-05
186,9/11/2020,8.12E-05
187,9/12/2020,8.43E-05
188,9/13/2020,7.34E-05
189,9/14/2020,4.22E-05
190,9/15/2020,9.95E-05
191,9/16/2020,0.000174984
192,9/17/2020,0.000144353
193,9/18/2020,9.48E-05
194,9/19/2020,0.000133481
195,9/20/2020,9.47E-05
196,9/21/2020,0.000158245
197,9/22/2020,0.000143318
198,9/23/2020,0.0001623
199,9/24/2020,0.000190515
200,9/25/2020,0.000157641
201,9/26/2020,0.000118727
202,9/27/2020,0.000101298
203,9/28/2020,0.000152033
204,9/29/2020,0.000115362
205,9/30/2020,0.000224943
206,10/1/2020,0.000273952
207,10/2/2020,0.000292417
208,10/3/2020,0.000225374
209,10/4/2020,0.000169807
210,10/5/2020,0.000180161
211,10/6/2020,0.000308638
212,10/7/2020,0.000494235
213,10/8/2020,0.00046464
214,10/9/2020,0.000685958
215,10/10/2020,0.000459635
216,10/11/2020,0.000312521
217,10/12/2020,0.000635051
218,10/13/2020,0.000713656
219,10/14/2020,0.000901496
220,10/15/2020,0.000879407
221,10/16/2020,0.000946019
222,10/17/2020,0.000788464
223,10/18/2020,0.000709859
224,10/19/2020,0.000835144
225,10/20/2020,0.00114128
