date,new_cases
3/5/2020,6.10E-07
3/6/2020,0
3/7/2020,3.05E-07
3/8/2020,0
3/9/2020,0
3/10/2020,6.10E-07
3/11/2020,6.10E-07
3/12/2020,1.22E-06
3/13/2020,6.10E-07
3/14/2020,1.52E-06
3/15/2020,1.83E-06
3/16/2020,3.05E-07
3/17/2020,3.05E-07
3/18/2020,3.66E-06
3/19/2020,7.62E-06
3/20/2020,7.92E-06
3/21/2020,1.22E-06
3/22/2020,1.01E-05
3/23/2020,3.05E-06
3/24/2020,9.14E-06
3/25/2020,3.05E-06
3/26/2020,4.57E-06
3/27/2020,1.40E-05
3/28/2020,6.40E-06
3/29/2020,1.98E-05
3/30/2020,1.37E-05
3/31/2020,1.58E-05
4/1/2020,1.19E-05
4/2/2020,2.26E-05
4/3/2020,1.40E-05
4/4/2020,1.37E-05
4/5/2020,9.14E-06
4/6/2020,6.10E-06
4/7/2020,2.74E-05
4/8/2020,1.22E-05
4/9/2020,1.65E-05
4/10/2020,1.31E-05
4/11/2020,1.37E-05
4/12/2020,1.92E-05
4/13/2020,8.53E-06
4/14/2020,1.40E-05
4/15/2020,8.23E-06
4/16/2020,1.74E-05
4/17/2020,1.43E-05
4/18/2020,1.65E-05
4/19/2020,5.18E-06
4/20/2020,7.32E-06
4/21/2020,1.01E-05
4/22/2020,7.92E-06
4/23/2020,1.37E-05
4/24/2020,2.44E-06
4/25/2020,1.98E-05
4/26/2020,9.14E-06
4/27/2020,1.49E-05
4/28/2020,6.10E-06
4/29/2020,2.80E-05
4/30/2020,2.44E-05
5/1/2020,7.32E-06
5/2/2020,1.77E-05
5/3/2020,5.49E-06
5/4/2020,2.10E-05
5/5/2020,6.10E-06
5/6/2020,1.25E-05
5/7/2020,1.22E-05
5/8/2020,1.31E-05
5/9/2020,6.10E-06
5/10/2020,8.23E-06
5/11/2020,7.32E-06
5/12/2020,5.18E-06
5/13/2020,7.01E-06
5/14/2020,1.13E-05
5/15/2020,5.49E-06
5/16/2020,9.45E-06
5/17/2020,7.01E-06
5/18/2020,4.27E-06
5/19/2020,5.18E-06
5/20/2020,5.18E-06
5/21/2020,3.66E-06
5/22/2020,6.71E-06
5/23/2020,5.79E-06
5/24/2020,3.05E-06
5/25/2020,1.52E-06
5/26/2020,3.05E-06
5/27/2020,5.79E-06
5/28/2020,8.23E-06
5/29/2020,7.01E-06
5/30/2020,2.74E-06
5/31/2020,4.88E-06
6/1/2020,4.27E-06
6/2/2020,3.35E-06
6/3/2020,4.88E-06
6/4/2020,1.31E-05
6/5/2020,3.66E-06
6/6/2020,1.68E-05
6/7/2020,1.20E-05
6/8/2020,2.99E-05
6/9/2020,7.32E-06
6/10/2020,1.43E-05
6/11/2020,1.74E-05
6/12/2020,1.86E-05
6/13/2020,3.17E-05
6/14/2020,2.27E-05
6/15/2020,4.48E-05
6/16/2020,1.37E-05
6/17/2020,1.71E-05
6/18/2020,1.01E-05
6/19/2020,3.02E-05
6/20/2020,5.35E-05
6/21/2020,3.63E-05
6/22/2020,7.68E-05
6/23/2020,1.92E-05
6/24/2020,2.68E-05
6/25/2020,3.66E-05
6/26/2020,4.24E-05
6/27/2020,8.06E-05
6/28/2020,5.98E-05
6/29/2020,0.000118873
6/30/2020,3.90E-05
7/1/2020,4.66E-05
7/2/2020,5.55E-05
7/3/2020,5.30E-05
7/4/2020,1.02E-04
7/5/2020,7.59E-05
7/6/2020,0.000151182
7/7/2020,4.97E-05
7/8/2020,7.56E-05
7/9/2020,6.61E-05
7/10/2020,9.63E-05
7/11/2020,9.66E-05
7/12/2020,4.82E-05
7/13/2020,3.17E-05
7/14/2020,8.14E-05
7/15/2020,0.000131065
7/16/2020,8.23E-05
7/17/2020,6.92E-05
7/18/2020,7.71E-05
7/19/2020,5.46E-05
7/20/2020,4.24E-05
7/21/2020,9.39E-05
7/22/2020,1.00E-04
7/23/2020,0.000105766
7/24/2020,9.30E-05
7/25/2020,1.58E-04
7/26/2020,1.20E-04
7/27/2020,0.00022281
7/28/2020,8.17E-05
7/29/2020,0.000110034
7/30/2020,9.66E-05
7/31/2020,0.000131674
8/1/2020,0.000129846
8/2/2020,0.000128017
8/3/2020,5.06E-05
8/4/2020,0.000120092
8/5/2020,8.60E-05
8/6/2020,7.86E-05
8/7/2020,8.87E-05
8/8/2020,1.68E-04
8/9/2020,1.16E-04
8/10/2020,0.000247194
8/11/2020,6.40E-05
8/12/2020,7.71E-05
8/13/2020,6.80E-05
8/14/2020,0.000106985
8/15/2020,8.11E-05
8/16/2020,8.78E-05
8/17/2020,9.45E-05
8/18/2020,7.32E-05
8/19/2020,0.000103633
