,Date,New_cases
0,2020-03-06,0.0
1,2020-03-07,6.096038824452065e-07
2,2020-03-08,0.0
3,2020-03-09,0.0
4,2020-03-10,0.0
5,2020-03-11,0.0
6,2020-03-12,9.144058236678098e-07
7,2020-03-13,0.0
8,2020-03-14,2.438415529780826e-06
9,2020-03-15,0.0
10,2020-03-16,1.5240097061130162e-06
11,2020-03-17,3.0480194122260325e-07
12,2020-03-18,6.096038824452065e-07
13,2020-03-19,4.267227177116445e-06
14,2020-03-20,2.743217471003429e-06
15,2020-03-21,1.4630493178684955e-05
16,2020-03-22,1.0058464060345909e-05
17,2020-03-23,1.82881164733562e-06
18,2020-03-24,1.0058464060345909e-05
19,2020-03-25,2.743217471003429e-06
20,2020-03-26,1.0058464060345909e-05
21,2020-03-27,6.096038824452065e-06
22,2020-03-28,1.0972869884013718e-05
23,2020-03-29,1.706890870846578e-05
24,2020-03-30,1.036326600156851e-05
25,2020-03-31,1.6459304826020575e-05
26,2020-04-01,1.5544899002352768e-05
27,2020-04-02,0.0
28,2020-04-03,1.706890870846578e-05
29,2020-04-04,1.6459304826020575e-05
30,2020-04-05,1.584970094357537e-05
31,2020-04-06,8.839256295455495e-06
32,2020-04-07,1.402088929623975e-05
33,2020-04-08,2.5603363062698675e-05
34,2020-04-09,7.6200485305650815e-06
35,2020-04-10,1.6459304826020575e-05
36,2020-04-11,1.2801681531349336e-05
37,2020-04-12,1.0972869884013718e-05
38,2020-04-13,1.9812126179469213e-05
39,2020-04-14,9.144058236678098e-06
40,2020-04-15,1.6154502884797974e-05
41,2020-04-16,8.229652413010287e-06
42,2020-04-17,1.7373710649688386e-05
43,2020-04-18,9.753662119123304e-06
44,2020-04-19,2.1031333944359625e-05
45,2020-04-20,5.181633000784255e-06
46,2020-04-21,7.3152465893424785e-06
47,2020-04-22,1.0058464060345909e-05
48,2020-04-23,7.924850471787684e-06
49,2020-04-24,1.3716087355017146e-05
50,2020-04-25,2.438415529780826e-06
51,2020-04-26,1.9812126179469213e-05
52,2020-04-27,9.144058236678098e-06
