date,new_cases
3/8/2020,5.76E-07
3/9/2020,0
3/10/2020,0
3/11/2020,4.32E-07
3/12/2020,0
3/13/2020,2.30E-06
3/14/2020,2.59E-06
3/15/2020,1.44E-06
3/16/2020,1.44E-07
3/17/2020,2.16E-06
3/18/2020,3.60E-06
3/19/2020,2.88E-07
3/20/2020,4.75E-06
3/21/2020,5.18E-06
3/22/2020,3.45E-06
3/23/2020,2.01E-06
3/24/2020,2.45E-06
3/25/2020,3.45E-06
3/26/2020,3.17E-06
3/27/2020,4.17E-06
3/28/2020,5.47E-06
3/29/2020,2.16E-06
3/30/2020,1.87E-06
3/31/2020,5.76E-06
4/1/2020,3.31E-06
4/2/2020,5.04E-06
4/3/2020,4.03E-06
4/4/2020,2.59E-06
4/5/2020,4.03E-06
4/6/2020,2.59E-06
4/7/2020,4.03E-06
4/8/2020,2.30E-06
4/9/2020,3.60E-06
4/10/2020,2.45E-06
4/11/2020,3.74E-06
4/12/2020,2.01E-06
4/13/2020,1.44E-06
4/14/2020,4.03E-06
4/15/2020,4.89E-06
4/16/2020,7.63E-06
4/17/2020,6.62E-06
4/18/2020,4.61E-06
4/19/2020,2.30E-06
4/20/2020,5.04E-06
4/21/2020,6.62E-06
4/22/2020,7.05E-06
4/23/2020,1.05E-05
4/24/2020,1.97E-05
4/25/2020,1.87E-06
4/26/2020,7.63E-06
4/27/2020,9.07E-06
4/28/2020,5.18E-06
4/29/2020,6.91E-06
4/30/2020,8.49E-06
5/1/2020,7.05E-06
5/2/2020,5.61E-06
5/3/2020,3.45E-06
5/4/2020,4.89E-06
5/5/2020,7.48E-06
5/6/2020,1.06E-05
5/7/2020,7.34E-06
5/8/2020,6.19E-06
5/9/2020,7.05E-06
5/10/2020,6.33E-06
5/11/2020,3.60E-06
5/12/2020,4.75E-06
5/13/2020,6.62E-06
5/14/2020,4.46E-06
5/15/2020,5.47E-06
5/16/2020,5.32E-06
5/17/2020,5.18E-06
5/18/2020,3.45E-06
5/19/2020,3.45E-06
5/20/2020,4.75E-06
5/21/2020,5.61E-06
5/22/2020,5.90E-06
5/23/2020,5.18E-06
5/24/2020,2.73E-06
5/25/2020,8.64E-07
5/26/2020,1.44E-06
5/27/2020,2.45E-06
5/28/2020,2.45E-06
5/29/2020,1.15E-06
5/30/2020,2.01E-06
5/31/2020,2.01E-06
6/1/2020,8.64E-07
6/2/2020,2.73E-06
6/3/2020,3.17E-06
6/4/2020,3.60E-06
6/5/2020,6.04E-06
6/6/2020,1.21E-05
6/7/2020,2.30E-06
6/8/2020,1.19E-05
6/9/2020,1.14E-05
6/10/2020,1.50E-05
6/11/2020,1.34E-05
6/12/2020,1.51E-05
6/13/2020,1.08E-05
6/14/2020,3.45E-06
6/15/2020,7.34E-06
6/16/2020,1.61E-05
6/17/2020,1.28E-05
6/18/2020,1.90E-05
6/19/2020,1.17E-05
6/20/2020,1.68E-05
6/21/2020,4.75E-06
6/22/2020,1.14E-05
6/23/2020,1.87E-05
6/24/2020,1.84E-05
6/25/2020,2.39E-05
6/26/2020,1.51E-05
6/27/2020,1.61E-05
6/28/2020,9.50E-06
6/29/2020,2.01E-05
6/30/2020,2.27E-05
7/1/2020,2.37E-05
7/2/2020,2.32E-05
7/3/2020,2.62E-05
7/4/2020,2.59E-05
7/5/2020,9.07E-06
7/6/2020,2.50E-05
7/7/2020,2.71E-05
7/8/2020,3.45E-05
7/9/2020,4.75E-05
7/10/2020,4.20E-05
7/11/2020,3.04E-05
7/12/2020,1.11E-05
7/13/2020,2.29E-05
7/14/2020,3.37E-05
7/15/2020,3.34E-05
7/16/2020,3.84E-05
7/17/2020,4.29E-05
7/18/2020,2.82E-05
7/19/2020,1.37E-05
7/20/2020,2.82E-05
7/21/2020,4.68E-05
7/22/2020,4.75E-05
7/23/2020,3.87E-05
7/24/2020,3.89E-05
7/25/2020,2.72E-05
7/26/2020,1.66E-05
7/27/2020,2.79E-05
7/28/2020,3.60E-05
7/29/2020,4.09E-05
7/30/2020,3.81E-05
7/31/2020,3.89E-05
8/1/2020,2.10E-05
8/2/2020,1.71E-05
8/3/2020,2.94E-05
8/4/2020,3.67E-05
8/5/2020,4.36E-05
8/6/2020,4.27E-05
8/7/2020,2.81E-05
8/8/2020,1.93E-05
8/9/2020,7.63E-06
8/10/2020,1.67E-05
8/11/2020,3.02E-05
8/12/2020,2.46E-05
8/13/2020,3.75E-05
8/14/2020,5.04E-05
8/15/2020,1.30E-05
8/16/2020,4.61E-06
8/17/2020,1.94E-05
8/18/2020,2.43E-05
8/19/2020,2.17E-05
8/20/2020,2.04E-05
8/21/2020,2.43E-05
8/22/2020,2.34E-05
8/23/2020,2.25E-05
8/24/2020,1.42E-05
8/25/2020,2.92E-05
8/26/2020,2.33E-05
8/27/2020,2.26E-05
8/28/2020,2.26E-05
8/29/2020,1.42E-05
8/30/2020,3.74E-06
8/31/2020,1.09E-05
9/1/2020,2.71E-05
9/2/2020,2.35E-05
9/3/2020,2.27E-05
9/4/2020,2.58E-05
9/5/2020,1.38E-05
9/6/2020,5.61E-06
9/7/2020,8.20E-06
9/8/2020,2.40E-05
9/9/2020,1.76E-05
9/10/2020,2.35E-05
9/11/2020,2.89E-05
9/12/2020,1.32E-05
9/13/2020,3.89E-06
9/14/2020,2.06E-05
9/15/2020,2.23E-05
9/16/2020,2.50E-05
9/17/2020,2.22E-05
9/18/2020,2.72E-05
9/19/2020,1.24E-05
9/20/2020,6.33E-06
9/21/2020,2.17E-05
9/22/2020,1.57E-05
9/23/2020,2.30E-05
9/24/2020,4.17E-05
9/25/2020,3.67E-05
9/26/2020,2.43E-05
9/27/2020,8.35E-06
9/28/2020,3.11E-05
9/29/2020,3.97E-05
9/30/2020,4.12E-05
10/1/2020,5.68E-05
10/2/2020,7.24E-05
10/3/2020,2.62E-05
10/4/2020,9.93E-06
10/5/2020,4.07E-05
10/6/2020,6.27E-05
10/7/2020,6.29E-05
10/8/2020,7.43E-05
10/9/2020,8.81E-05
10/10/2020,6.45E-05
10/11/2020,1.19E-05
10/12/2020,8.45E-05
10/13/2020,0.000112975
10/14/2020,0.000117868
10/15/2020,0.00013154
10/16/2020,0.000143629
10/17/2020,8.68E-05
10/18/2020,5.68E-05
10/19/2020,0.000147371
10/20/2020,0.000192273
10/21/2020,0.000211846
10/22/2020,0.000229548
10/23/2020,0.000228684
10/24/2020,0.000150106
10/25/2020,4.71E-05
10/26/2020,0.000322806
10/27/2020,0.000369723
10/28/2020,0.000397211
10/29/2020,0.000386993
10/30/2020,0.000416064
10/31/2020,0.000259483
11/1/2020,0.000176298
11/2/2020,0.000349287
11/3/2020,0.000581569
11/4/2020,0.00058344
11/5/2020,0.000540265
11/6/2020,0.000552498
11/7/2020,0.000331153
11/8/2020,9.71E-05
11/9/2020,0.000549188
11/10/2020,0.000631796
11/11/2020,0.000567753
11/12/2020,0.000491333
11/13/2020,0.000606179
11/14/2020,0.000359505
11/15/2020,0.000117436
11/16/2020,0.000506444
11/17/2020,0.000694832
11/18/2020,0.000566746
11/19/2020,0.000561133
11/20/2020,0.000573222
11/21/2020,0.000327987
11/22/2020,0.000161619
11/23/2020,0.000452763
11/24/2020,0.000630645
11/25/2020,0.00053422
11/26/2020,0.000513496
11/27/2020,0.000478812
11/28/2020,0.000257899
11/29/2020,0.000106355
11/30/2020,0.000404983
12/1/2020,0.000500112
12/2/2020,0.000451612
12/3/2020,0.000472048
12/4/2020,0.000520116
12/5/2020,0.000293159
12/6/2020,8.30E-05
12/7/2020,0.000397787
12/8/2020,0.00057279
12/9/2020,0.000478956
12/10/2020,0.000442545
12/11/2020,0.000445711
12/12/2020,0.000185221
12/13/2020,7.15E-05
12/14/2020,0.000301506
12/15/2020,0.000394765
12/16/2020,0.000281934
12/17/2020,0.000293879
12/18/2020,0.000250272
12/19/2020,0.000144205
12/20/2020,2.39E-05
12/21/2020,0.000183782
12/22/2020,0.000258907
12/23/2020,0.000232426
12/24/2020,0.000111104
12/25/2020,3.70E-05
12/26/2020,6.75E-05
12/27/2020,4.78E-05
12/28/2020,4.85E-05
12/29/2020,0.000206953
12/30/2020,0.000248833
12/31/2020,0.000150537
1/1/2021,3.94E-05
1/2/2021,4.89E-05
1/3/2021,2.46E-05
1/4/2021,0.000148091
1/5/2021,0.000188531
1/6/2021,0.000144205
1/7/2021,0.000124776
1/8/2021,0.00010837
1/9/2021,5.67E-05
1/10/2021,1.51E-05
1/11/2021,8.92E-05
1/12/2021,0.000107938
1/13/2021,7.70E-05
1/14/2021,7.70E-05
1/15/2021,7.94E-05
1/16/2021,3.35E-05
1/17/2021,1.11E-05
1/18/2021,8.20E-05
1/19/2021,7.83E-05
1/20/2021,6.94E-05
1/21/2021,6.55E-05
1/22/2021,8.15E-05
1/23/2021,3.83E-05
1/24/2021,1.74E-05
1/25/2021,0.000111104
1/26/2021,0.000119019
1/27/2021,8.61E-05
1/28/2021,8.06E-05
