,Date,New_cases
0,2020-03-09,5.756683689660061e-07
1,2020-03-10,0.0
2,2020-03-11,0.0
3,2020-03-12,4.317512767245046e-07
4,2020-03-13,0.0
5,2020-03-14,2.3026734758640244e-06
6,2020-03-15,2.590507660347027e-06
7,2020-03-16,1.4391709224150151e-06
8,2020-03-17,1.4391709224150153e-07
9,2020-03-18,2.158756383622523e-06
10,2020-03-19,3.597927306037538e-06
11,2020-03-20,2.8783418448300306e-07
12,2020-03-21,4.74926404396955e-06
13,2020-03-22,5.181015320694054e-06
14,2020-03-23,3.4540102137960365e-06
15,2020-03-24,2.0148392913810213e-06
16,2020-03-25,2.4465905681055256e-06
17,2020-03-26,3.4540102137960365e-06
18,2020-03-27,3.1661760293130333e-06
19,2020-03-28,4.173595675003544e-06
20,2020-03-29,5.468849505177057e-06
21,2020-03-30,2.158756383622523e-06
22,2020-03-31,1.87092219913952e-06
23,2020-04-01,5.7566836896600605e-06
24,2020-04-02,3.310093121554535e-06
25,2020-04-03,5.037098228452553e-06
26,2020-04-04,4.029678582762043e-06
27,2020-04-05,2.590507660347027e-06
28,2020-04-06,4.029678582762043e-06
29,2020-04-07,2.590507660347027e-06
30,2020-04-08,4.029678582762043e-06
31,2020-04-09,2.3026734758640244e-06
32,2020-04-10,3.597927306037538e-06
33,2020-04-11,2.4465905681055256e-06
34,2020-04-12,3.74184439827904e-06
35,2020-04-13,2.0148392913810213e-06
36,2020-04-14,1.4391709224150151e-06
37,2020-04-15,4.029678582762043e-06
38,2020-04-16,4.893181136211051e-06
39,2020-04-17,7.62760588879958e-06
40,2020-04-18,6.62018624310907e-06
41,2020-04-19,4.605346951728049e-06
42,2020-04-20,2.3026734758640244e-06
43,2020-04-21,5.037098228452553e-06
44,2020-04-22,6.62018624310907e-06
45,2020-04-23,7.051937519833574e-06
46,2020-04-24,1.050594773362961e-05
47,2020-04-25,1.9716641637085707e-05
48,2020-04-26,1.87092219913952e-06
49,2020-04-27,7.62760588879958e-06
50,2020-04-28,9.066776811214596e-06
51,2020-04-29,5.181015320694054e-06
52,2020-04-30,6.908020427592073e-06
53,2020-05-01,8.49110844224859e-06
54,2020-05-02,7.051937519833574e-06
55,2020-05-03,5.612766597418559e-06
56,2020-05-04,3.4540102137960365e-06
57,2020-05-05,4.893181136211051e-06
58,2020-05-06,7.483688796558079e-06
59,2020-05-07,1.0649864825871112e-05
60,2020-05-08,7.339771704316577e-06
61,2020-05-09,6.1884349663845656e-06
62,2020-05-10,7.051937519833574e-06
63,2020-05-11,6.332352058626067e-06
64,2020-05-12,3.597927306037538e-06
65,2020-05-13,4.74926404396955e-06
66,2020-05-14,6.62018624310907e-06
67,2020-05-15,4.461429859486547e-06
68,2020-05-16,5.468849505177057e-06
69,2020-05-17,5.324932412935556e-06
70,2020-05-18,5.181015320694054e-06
71,2020-05-19,3.4540102137960365e-06
72,2020-05-20,3.4540102137960365e-06
73,2020-05-21,4.74926404396955e-06
74,2020-05-22,5.612766597418559e-06
75,2020-05-23,5.9006007819015625e-06
76,2020-05-24,5.181015320694054e-06
77,2020-05-25,2.7344247525885287e-06
78,2020-05-26,8.635025534490091e-07
79,2020-05-27,1.4391709224150151e-06
80,2020-05-28,2.4465905681055256e-06
81,2020-05-29,2.4465905681055256e-06
82,2020-05-30,1.1513367379320122e-06
83,2020-05-31,2.0148392913810213e-06
84,2020-06-01,2.0148392913810213e-06
85,2020-06-02,8.635025534490091e-07
86,2020-06-03,2.7344247525885287e-06
87,2020-06-04,3.1661760293130333e-06
88,2020-06-05,3.597927306037538e-06
89,2020-06-06,6.044517874143064e-06
90,2020-06-07,1.2089035748286127e-05
91,2020-06-08,2.3026734758640244e-06
92,2020-06-09,1.1945118656044624e-05
93,2020-06-10,1.136945028707862e-05
94,2020-06-11,1.4967377593116158e-05
95,2020-06-12,1.3384289578459642e-05
96,2020-06-13,1.511129468535766e-05
97,2020-06-14,1.0793781918112614e-05
98,2020-06-15,3.4540102137960365e-06
99,2020-06-16,7.339771704316577e-06
100,2020-06-17,1.611871433104817e-05
101,2020-06-18,1.2808621209493635e-05
102,2020-06-19,1.89970561758782e-05
103,2020-06-20,1.1657284471561625e-05
104,2020-06-21,1.6838299792255677e-05
105,2020-06-22,4.74926404396955e-06
106,2020-06-23,1.136945028707862e-05
107,2020-06-24,1.87092219913952e-05
108,2020-06-25,1.84213878069122e-05
109,2020-06-26,2.389023731208925e-05
110,2020-06-27,1.511129468535766e-05
111,2020-06-28,1.611871433104817e-05
112,2020-06-29,9.4985280879391e-06
113,2020-06-30,2.0148392913810213e-05
114,2020-07-01,2.273890057415724e-05
115,2020-07-02,2.374632021984775e-05
116,2020-07-03,2.3170651850881744e-05
117,2020-07-04,2.6192910787953275e-05
118,2020-07-05,2.590507660347027e-05
119,2020-07-06,9.066776811214596e-06
120,2020-07-07,2.5041574050021263e-05
121,2020-07-08,2.7056413341402284e-05
122,2020-07-09,3.4540102137960366e-05
123,2020-07-10,4.74926404396955e-05
124,2020-07-11,4.202379093451844e-05
125,2020-07-12,3.036650646295682e-05
126,2020-07-13,1.1081616102595617e-05
127,2020-07-14,2.288281766639874e-05
128,2020-07-15,3.3676599584511354e-05
129,2020-07-16,3.338876540002835e-05
130,2020-07-17,3.84258636284809e-05
131,2020-07-18,4.2887293487967454e-05
132,2020-07-19,2.8207750079334296e-05
133,2020-07-20,1.3672123762942644e-05
134,2020-07-21,2.8207750079334296e-05
135,2020-07-22,4.677305497848799e-05
136,2020-07-23,4.74926404396955e-05
137,2020-07-24,3.871369781296391e-05
138,2020-07-25,3.885761490520541e-05
139,2020-07-26,2.7200330433643782e-05
140,2020-07-27,1.6550465607772673e-05
141,2020-07-28,2.7919915894851296e-05
142,2020-07-29,3.597927306037538e-05
143,2020-07-30,4.087245419658643e-05
144,2020-07-31,3.81380294439979e-05
145,2020-08-01,3.885761490520541e-05
146,2020-08-02,2.101189546725922e-05
147,2020-08-03,1.712613397673868e-05
148,2020-08-04,2.935908681726631e-05
149,2020-08-05,3.6698858521582886e-05
150,2020-08-06,4.360687894917496e-05
151,2020-08-07,4.274337639572595e-05
152,2020-08-08,2.8063832987092798e-05
153,2020-08-09,1.9284890360361204e-05
154,2020-08-10,7.62760588879958e-06
155,2020-08-11,1.6694382700014175e-05
156,2020-08-12,3.022258937071532e-05
157,2020-08-13,2.460982277329676e-05
158,2020-08-14,0.0
159,2020-08-15,5.037098228452553e-05
160,2020-08-16,1.2952538301735136e-05
161,2020-08-17,4.605346951728049e-06
162,2020-08-18,1.9428807452602703e-05
163,2020-08-19,2.432198858881376e-05
164,2020-08-20,2.1731480928466728e-05
165,2020-08-21,2.0436227098293216e-05
166,2020-08-22,2.432198858881376e-05
167,2020-08-23,0.0
168,2020-08-24,2.245106638967424e-05
169,2020-08-25,1.424779213190865e-05
170,2020-08-26,2.9215169725024807e-05
171,2020-08-27,2.331456894312325e-05
172,2020-08-28,2.259498348191574e-05
173,2020-08-29,2.259498348191574e-05
174,2020-08-30,1.424779213190865e-05
175,2020-08-31,3.74184439827904e-06
176,2020-09-01,1.0937699010354116e-05
177,2020-09-02,2.7056413341402284e-05
178,2020-09-03,2.3458486035364748e-05
179,2020-09-04,2.273890057415724e-05
180,2020-09-05,2.5761159511228773e-05
181,2020-09-06,1.3816040855184146e-05
182,2020-09-07,5.612766597418559e-06
183,2020-09-08,8.203274257765586e-06
184,2020-09-09,2.4034154404330752e-05
185,2020-09-10,1.7557885253463184e-05
186,2020-09-11,2.3458486035364748e-05
187,2020-09-12,2.892733554054181e-05
188,2020-09-13,1.324037248621814e-05
189,2020-09-14,3.885761490520541e-06
190,2020-09-15,2.0580144190534715e-05
191,2020-09-16,2.2307149297432732e-05
192,2020-09-17,2.5041574050021263e-05
193,2020-09-18,2.2163232205191237e-05
194,2020-09-19,2.7200330433643782e-05
195,2020-09-20,1.2376869932769133e-05
196,2020-09-21,6.332352058626067e-06
197,2020-09-22,2.1731480928466728e-05
198,2020-09-23,1.5686963054323665e-05
199,2020-09-24,2.302673475864024e-05
200,2020-09-25,4.173595675003544e-05
201,2020-09-26,3.6698858521582886e-05
202,2020-09-27,2.432198858881376e-05
203,2020-09-28,8.347191350007088e-06
204,2020-09-29,3.1086091924164326e-05
205,2020-09-30,3.972111745865442e-05
206,2020-10-01,4.116028838106943e-05
207,2020-10-02,0.0
208,2020-10-03,7.239029739747526e-05
209,2020-10-04,2.6192910787953275e-05
210,2020-10-05,9.930279364663604e-06
211,2020-10-06,4.072853710434493e-05
212,2020-10-07,6.274785221729466e-05
213,2020-10-08,6.289176930953616e-05
214,2020-10-09,7.426121959661478e-05
215,2020-10-10,8.807726045179893e-05
216,2020-10-11,6.447485732419268e-05
217,2020-10-12,1.1945118656044624e-05
218,2020-10-13,8.447933314576139e-05
219,2020-10-14,0.0001129749174095
220,2020-10-15,0.0001178680985457
221,2020-10-16,0.0001315402223087
222,2020-10-17,0.000143629258057
223,2020-10-18,8.678200662162542e-05
224,2020-10-19,5.68472514353931e-05
225,2020-10-20,0.0001473711024552
226,2020-10-21,0.0001922732352346
227,2020-10-22,0.0002118459597794
228,2020-10-23,0.0002295477621251
229,2020-10-24,0.0002286842595717
230,2020-10-25,0.0001501055272078
231,2020-10-26,4.7060889162970994e-05
232,2020-10-27,0.0003228060378976
233,2020-10-28,0.0003697230099684
234,2020-10-29,0.0003972111745865
235,2020-10-30,0.0003869930610373
236,2020-10-31,0.0004160643136701
237,2020-11-01,0.0002594825173114
238,2020-11-02,0.0001762984379958
