date,new_cases
2/25/2020,2.44E-07
2/26/2020,4.87E-07
2/27/2020,0
2/28/2020,4.87E-07
2/29/2020,2.44E-07
3/1/2020,2.44E-07
3/2/2020,0
3/3/2020,4.87E-07
3/4/2020,2.44E-07
3/5/2020,0
3/6/2020,2.44E-07
3/7/2020,2.44E-07
3/8/2020,0
3/9/2020,0
3/10/2020,4.87E-07
3/11/2020,1.22E-06
3/12/2020,0
3/13/2020,3.17E-06
3/14/2020,1.46E-06
3/15/2020,2.68E-06
3/16/2020,1.95E-06
3/17/2020,1.95E-06
3/18/2020,3.90E-06
3/19/2020,5.85E-06
3/20/2020,5.60E-06
3/21/2020,1.90E-05
3/22/2020,1.17E-05
3/23/2020,1.49E-05
3/24/2020,1.63E-05
3/25/2020,1.46E-05
3/26/2020,1.29E-05
3/27/2020,2.22E-05
3/28/2020,1.73E-05
3/29/2020,1.36E-05
3/30/2020,1.88E-05
3/31/2020,1.88E-05
4/1/2020,2.34E-05
4/2/2020,1.17E-05
4/3/2020,1.66E-05
4/4/2020,1.14E-05
4/5/2020,1.36E-05
4/6/2020,9.74E-06
4/7/2020,1.46E-05
4/8/2020,1.49E-05
4/9/2020,1.56E-05
4/10/2020,2.14E-05
4/11/2020,9.50E-06
4/12/2020,1.61E-05
4/13/2020,1.22E-05
4/14/2020,1.32E-05
4/15/2020,9.01E-06
4/16/2020,1.22E-05
4/17/2020,5.60E-06
4/18/2020,4.38E-06
4/19/2020,9.50E-06
4/20/2020,2.44E-06
4/21/2020,6.58E-06
4/22/2020,1.02E-05
4/23/2020,7.55E-06
4/24/2020,6.82E-06
4/25/2020,1.71E-06
4/26/2020,3.41E-06
4/27/2020,2.19E-06
4/28/2020,1.95E-06
4/29/2020,3.65E-06
4/30/2020,3.41E-06
5/1/2020,2.19E-06
5/2/2020,7.31E-07
5/3/2020,1.95E-06
5/4/2020,1.22E-06
5/5/2020,2.68E-06
5/6/2020,1.71E-06
5/7/2020,1.46E-06
5/8/2020,8.77E-06
5/9/2020,3.65E-06
5/10/2020,2.68E-06
5/11/2020,2.19E-06
5/12/2020,2.68E-06
5/13/2020,1.46E-06
5/14/2020,1.95E-06
5/15/2020,2.44E-07
5/16/2020,4.87E-07
5/17/2020,4.87E-07
5/18/2020,4.87E-07
5/19/2020,9.74E-07
5/20/2020,4.87E-07
5/21/2020,7.31E-07
5/22/2020,1.46E-06
5/23/2020,8.53E-07
5/24/2020,2.44E-07
5/25/2020,0
5/26/2020,0
5/27/2020,1.22E-07
5/28/2020,2.44E-07
5/29/2020,2.44E-07
5/30/2020,2.44E-07
5/31/2020,0
6/1/2020,0
6/2/2020,0
6/3/2020,1.22E-07
6/4/2020,2.44E-07
6/5/2020,0
6/6/2020,0
6/7/2020,0
6/8/2020,0
6/9/2020,2.44E-07
6/10/2020,4.87E-07
6/11/2020,0
6/12/2020,2.44E-07
6/13/2020,4.87E-07
6/14/2020,2.44E-07
6/15/2020,4.87E-07
6/16/2020,2.44E-07
6/17/2020,7.31E-07
6/18/2020,2.68E-06
6/19/2020,2.68E-06
6/20/2020,4.63E-06
6/21/2020,4.38E-06
6/22/2020,4.63E-06
6/23/2020,7.31E-06
6/24/2020,5.36E-06
6/25/2020,2.31E-05
6/26/2020,1.36E-05
6/27/2020,2.07E-05
6/28/2020,1.63E-05
6/29/2020,8.28E-06
6/30/2020,1.27E-05
7/1/2020,1.32E-05
7/2/2020,1.97E-05
7/3/2020,2.34E-05
7/4/2020,2.09E-05
7/5/2020,1.39E-05
7/6/2020,1.68E-05
7/7/2020,1.27E-05
7/8/2020,1.29E-05
7/9/2020,2.22E-05
7/10/2020,2.83E-05
7/11/2020,3.41E-05
7/12/2020,1.22E-05
7/13/2020,1.29E-05
7/14/2020,1.27E-05
7/15/2020,3.07E-05
7/16/2020,2.09E-05
7/17/2020,2.39E-05
7/18/2020,2.83E-05
7/19/2020,2.24E-05
7/20/2020,6.09E-06
7/21/2020,1.27E-05
7/22/2020,2.63E-05
7/23/2020,2.53E-05
7/24/2020,1.97E-05
7/25/2020,1.88E-05
7/26/2020,1.58E-05
7/27/2020,5.85E-06
7/28/2020,1.02E-05
7/29/2020,1.71E-05
7/30/2020,1.90E-05
7/31/2020,1.66E-05
8/1/2020,2.07E-05
8/2/2020,8.77E-06
8/3/2020,8.28E-06
8/4/2020,5.85E-06
8/5/2020,1.41E-05
