,Date,New_cases
0,3/8/2020,2.44E-07
1,3/9/2020,0
2,3/10/2020,0
3,3/11/2020,4.87E-07
4,3/12/2020,1.22E-06
5,3/13/2020,0
6,3/14/2020,3.17E-06
7,3/15/2020,1.46E-06
8,3/16/2020,2.68E-06
9,3/17/2020,1.95E-06
10,3/18/2020,1.95E-06
11,3/19/2020,3.90E-06
12,3/20/2020,5.85E-06
13,3/21/2020,5.60E-06
14,3/22/2020,1.90E-05
15,3/23/2020,1.17E-05
16,3/24/2020,1.49E-05
17,3/25/2020,1.63E-05
18,3/26/2020,1.46E-05
19,3/27/2020,1.29E-05
20,3/28/2020,2.22E-05
21,3/29/2020,1.73E-05
22,3/30/2020,1.36E-05
23,3/31/2020,1.88E-05
24,4/1/2020,1.88E-05
25,4/2/2020,2.34E-05
26,4/3/2020,1.17E-05
27,4/4/2020,1.66E-05
28,4/5/2020,1.14E-05
29,4/6/2020,1.36E-05
30,4/7/2020,9.74E-06
31,4/8/2020,1.46E-05
32,4/9/2020,1.49E-05
33,4/10/2020,1.56E-05
34,4/11/2020,2.14E-05
35,4/12/2020,9.50E-06
36,4/13/2020,1.61E-05
37,4/14/2020,1.22E-05
38,4/15/2020,1.32E-05
39,4/16/2020,9.01E-06
40,4/17/2020,1.22E-05
41,4/18/2020,5.60E-06
42,4/19/2020,4.38E-06
43,4/20/2020,9.50E-06
44,4/21/2020,2.44E-06
45,4/22/2020,6.58E-06
46,4/23/2020,1.02E-05
47,4/24/2020,7.55E-06
48,4/25/2020,6.82E-06
49,4/26/2020,1.71E-06
50,4/27/2020,3.41E-06
51,4/28/2020,2.19E-06
52,4/29/2020,1.95E-06
53,4/30/2020,3.65E-06
54,5/1/2020,3.41E-06
55,5/2/2020,2.19E-06
56,5/3/2020,7.31E-07
57,5/4/2020,1.95E-06
58,5/5/2020,1.22E-06
59,5/6/2020,2.68E-06
60,5/7/2020,1.71E-06
61,5/8/2020,1.46E-06
62,5/9/2020,8.77E-06
63,5/10/2020,3.65E-06
64,5/11/2020,2.68E-06
65,5/12/2020,2.19E-06
66,5/13/2020,2.68E-06
67,5/14/2020,1.46E-06
68,5/15/2020,1.95E-06
69,5/16/2020,2.44E-07
70,5/17/2020,4.87E-07
71,5/18/2020,4.87E-07
72,5/19/2020,4.87E-07
73,5/20/2020,9.74E-07
74,5/21/2020,4.87E-07
75,5/22/2020,7.31E-07
76,5/23/2020,1.46E-06
77,5/24/2020,0
78,5/25/2020,2.44E-07
79,5/26/2020,0
80,5/27/2020,0
81,5/28/2020,0
82,5/29/2020,2.44E-07
83,5/30/2020,0
84,5/31/2020,2.44E-07
85,6/1/2020,0
86,6/2/2020,0
87,6/3/2020,0
88,6/4/2020,0
89,6/5/2020,2.44E-07
90,6/6/2020,0
91,6/7/2020,0
92,6/8/2020,0
93,6/9/2020,0
94,6/10/2020,0
95,6/11/2020,4.87E-07
96,6/12/2020,0
97,6/13/2020,0
98,6/14/2020,4.87E-07
99,6/15/2020,2.44E-07
100,6/16/2020,4.87E-07
101,6/17/2020,2.44E-07
102,6/18/2020,7.31E-07
103,6/19/2020,2.68E-06
104,6/20/2020,2.68E-06
105,6/21/2020,4.63E-06
106,6/22/2020,4.38E-06
107,6/23/2020,4.63E-06
108,6/24/2020,7.31E-06
109,6/25/2020,5.36E-06
110,6/26/2020,2.31E-05
111,6/27/2020,1.36E-05
112,6/28/2020,2.07E-05
113,6/29/2020,1.63E-05
114,6/30/2020,8.28E-06
115,7/1/2020,1.27E-05
116,7/2/2020,1.32E-05
117,7/3/2020,1.97E-05
118,7/4/2020,2.34E-05
119,7/5/2020,2.09E-05
120,7/6/2020,1.39E-05
121,7/7/2020,1.68E-05
122,7/8/2020,1.27E-05
123,7/9/2020,1.29E-05
124,7/10/2020,2.22E-05
125,7/11/2020,2.83E-05
126,7/12/2020,3.41E-05
127,7/13/2020,1.22E-05
128,7/14/2020,1.29E-05
129,7/15/2020,1.27E-05
130,7/16/2020,3.07E-05
131,7/17/2020,2.09E-05
132,7/18/2020,2.39E-05
133,7/19/2020,2.83E-05
134,7/20/2020,2.24E-05
135,7/21/2020,6.09E-06
136,7/22/2020,1.27E-05
137,7/23/2020,2.63E-05
138,7/24/2020,2.53E-05
139,7/25/2020,1.97E-05
140,7/26/2020,1.88E-05
141,7/27/2020,1.58E-05
142,7/28/2020,5.85E-06
143,7/29/2020,1.02E-05
144,7/30/2020,1.71E-05
145,7/31/2020,1.90E-05
146,8/1/2020,1.66E-05
147,8/2/2020,2.07E-05
148,8/3/2020,8.77E-06
149,8/4/2020,8.28E-06
150,8/5/2020,5.85E-06
151,8/6/2020,1.41E-05
152,8/7/2020,6.82E-06
153,8/8/2020,1.51E-05
154,8/9/2020,1.88E-05
155,8/10/2020,1.49E-05
156,8/11/2020,1.10E-05
157,8/12/2020,2.22E-05
158,8/13/2020,3.17E-05
159,8/14/2020,4.38E-05
160,8/15/2020,5.07E-05
161,8/16/2020,3.95E-05
162,8/17/2020,3.68E-05
163,8/18/2020,2.07E-05
164,8/19/2020,4.85E-05
