date,new_cases
2/27/2020,1.73E-07
2/28/2020,0
2/29/2020,3.45E-07
3/1/2020,1.73E-07
3/2/2020,0
3/3/2020,3.45E-07
3/4/2020,8.63E-07
3/5/2020,1.55E-06
3/6/2020,2.24E-06
3/7/2020,2.24E-06
3/8/2020,2.24E-06
3/9/2020,9.50E-06
3/10/2020,2.97E-05
3/11/2020,3.11E-05
3/12/2020,2.99E-05
3/13/2020,3.23E-05
3/14/2020,5.52E-06
3/15/2020,6.73E-06
3/16/2020,1.00E-05
3/17/2020,1.59E-05
3/18/2020,1.57E-05
3/19/2020,1.88E-05
3/20/2020,1.93E-05
3/21/2020,1.43E-05
3/22/2020,1.62E-05
3/23/2020,1.00E-05
3/24/2020,2.52E-05
3/25/2020,2.49E-05
3/26/2020,2.78E-05
3/27/2020,3.06E-05
3/28/2020,2.87E-05
3/29/2020,3.42E-05
3/30/2020,3.30E-05
3/31/2020,4.90E-05
4/1/2020,4.33E-05
4/2/2020,4.89E-05
4/3/2020,6.44E-05
4/4/2020,5.58E-05
4/5/2020,5.04E-05
4/6/2020,5.42E-05
4/7/2020,6.75E-05
4/8/2020,5.71E-05
4/9/2020,4.02E-05
4/10/2020,3.18E-05
4/11/2020,3.06E-05
4/12/2020,3.07E-05
4/13/2020,2.49E-05
4/14/2020,3.33E-05
4/15/2020,2.93E-05
4/16/2020,3.42E-05
4/17/2020,3.35E-05
4/18/2020,2.92E-05
4/19/2020,2.47E-05
4/20/2020,2.26E-05
4/21/2020,3.11E-05
4/22/2020,3.75E-05
4/23/2020,2.81E-05
4/24/2020,2.37E-05
4/25/2020,4.06E-05
4/26/2020,2.24E-05
4/27/2020,2.12E-05
4/28/2020,2.64E-05
4/29/2020,2.71E-05
4/30/2020,2.59E-05
5/1/2020,2.64E-05
5/2/2020,1.66E-05
5/3/2020,2.00E-05
5/4/2020,2.54E-05
5/5/2020,2.61E-05
5/6/2020,2.02E-05
5/7/2020,2.50E-05
5/8/2020,2.33E-05
5/9/2020,1.74E-05
5/10/2020,1.90E-05
5/11/2020,1.45E-05
5/12/2020,1.35E-05
5/13/2020,1.31E-05
5/14/2020,7.94E-06
5/15/2020,1.35E-05
5/16/2020,1.16E-05
5/17/2020,1.19E-05
5/18/2020,7.08E-06
5/19/2020,1.31E-05
5/20/2020,1.26E-05
5/21/2020,1.12E-05
5/22/2020,8.29E-06
5/23/2020,1.02E-05
5/24/2020,1.24E-05
5/25/2020,4.66E-06
5/26/2020,7.08E-06
5/27/2020,9.15E-06
5/28/2020,5.52E-06
5/29/2020,1.40E-05
5/30/2020,6.91E-06
5/31/2020,6.22E-06
6/1/2020,5.18E-06
6/2/2020,6.04E-06
6/3/2020,6.39E-06
6/4/2020,6.91E-06
6/5/2020,1.10E-05
6/6/2020,8.46E-06
6/7/2020,4.14E-06
6/8/2020,2.42E-06
6/9/2020,6.73E-06
6/10/2020,2.59E-06
6/11/2020,3.28E-06
6/12/2020,1.10E-05
6/13/2020,6.91E-06
6/14/2020,9.32E-06
6/15/2020,4.14E-06
6/16/2020,5.70E-06
6/17/2020,7.60E-06
6/18/2020,8.63E-06
6/19/2020,8.11E-06
6/20/2020,9.91E-06
6/21/2020,1.17E-05
6/22/2020,2.35E-05
6/23/2020,5.87E-06
6/24/2020,9.32E-06
6/25/2020,3.63E-06
6/26/2020,6.73E-06
6/27/2020,6.65E-06
6/28/2020,6.56E-06
6/29/2020,1.31E-05
6/30/2020,2.93E-06
7/1/2020,4.49E-06
7/2/2020,3.63E-06
7/3/2020,2.93E-06
7/4/2020,1.55E-06
7/5/2020,1.73E-07
7/6/2020,7.94E-06
7/7/2020,1.73E-06
7/8/2020,2.07E-06
7/9/2020,2.76E-06
7/10/2020,5.18E-06
7/11/2020,6.52E-06
7/12/2020,7.86E-06
7/13/2020,1.57E-05
7/14/2020,4.14E-06
7/15/2020,5.35E-06
7/16/2020,5.52E-06
7/17/2020,8.46E-06
7/18/2020,4.49E-06
7/19/2020,5.18E-07
7/20/2020,1.54E-05
7/21/2020,6.91E-06
7/22/2020,8.29E-06
7/23/2020,6.91E-06
7/24/2020,8.29E-06
7/25/2020,1.73E-07
7/26/2020,3.80E-06
7/27/2020,1.90E-05
7/28/2020,6.22E-06
7/29/2020,9.84E-06
7/30/2020,1.66E-05
7/31/2020,1.10E-05
8/1/2020,1.45E-05
8/2/2020,1.79E-05
8/3/2020,3.57E-05
8/4/2020,1.36E-05
8/5/2020,2.18E-05
8/6/2020,2.52E-05
8/7/2020,2.78E-05
8/8/2020,6.91E-07
8/9/2020,1.38E-06
8/10/2020,6.49E-05
8/11/2020,2.69E-05
8/12/2020,2.28E-05
8/13/2020,2.88E-05
8/14/2020,2.90E-05
8/15/2020,1.88E-05
8/16/2020,2.35E-05
8/17/2020,2.14E-05
8/18/2020,2.05E-05
8/19/2020,1.55E-05
8/20/2020,2.02E-05
8/21/2020,1.24E-05
8/22/2020,1.93E-05
8/23/2020,1.35E-05
8/24/2020,1.83E-05
8/25/2020,1.45E-05
8/26/2020,9.84E-06
8/27/2020,1.55E-05
8/28/2020,1.26E-05
8/29/2020,1.36E-05
8/30/2020,1.93E-05
8/31/2020,1.62E-05
9/1/2020,1.71E-05
9/2/2020,1.92E-05
9/3/2020,3.11E-05
9/4/2020,3.00E-05
9/5/2020,3.26E-05
9/6/2020,2.54E-05
9/7/2020,3.97E-05
9/8/2020,4.21E-05
9/9/2020,4.35E-05
9/10/2020,5.47E-05
9/11/2020,5.06E-05
9/12/2020,5.92E-05
9/13/2020,5.84E-05
9/14/2020,5.99E-05
9/15/2020,5.85E-05
9/16/2020,0.000100307
9/17/2020,0.000142088
9/18/2020,7.86E-05
9/19/2020,0.000101861
