,Date,New_cases
0,2020-02-27,0.0
1,2020-02-28,1.726459125562265e-07
2,2020-02-29,0.0
3,2020-03-01,3.4529182511245293e-07
4,2020-03-02,1.726459125562265e-07
5,2020-03-03,0.0
6,2020-03-04,3.4529182511245293e-07
7,2020-03-05,6.905836502249059e-07
8,2020-03-06,0.0
9,2020-03-07,2.244396863230944e-06
10,2020-03-08,0.0
11,2020-03-09,2.0717509506747176e-06
12,2020-03-10,9.495525190592456e-06
13,2020-03-11,2.969509695967095e-05
14,2020-03-12,1.3466381179385664e-05
15,2020-03-13,5.766373479377964e-05
16,2020-03-14,2.192603089464076e-05
17,2020-03-15,4.488793726461888e-06
18,2020-03-16,6.387898764580379e-06
19,2020-03-17,5.869961026911699e-06
20,2020-03-18,1.363902709194189e-05
21,2020-03-19,1.3811673004498116e-05
22,2020-03-20,1.6228715780285288e-05
23,2020-03-21,1.795517490584755e-05
24,2020-03-22,1.2257859791492078e-05
25,2020-03-23,1.1912567966379623e-05
26,2020-03-24,1.122198431615472e-05
27,2020-03-25,2.2616614544865668e-05
28,2020-03-26,2.296190636997812e-05
29,2020-03-27,2.641482462110265e-05
30,2020-03-28,2.917715922200227e-05
31,2020-03-29,2.6760116446215105e-05
32,2020-03-30,3.3493307035907935e-05
33,2020-03-31,3.1421556085233216e-05
34,2020-04-01,4.8858793253412086e-05
35,2020-04-02,4.2643540401387936e-05
36,2020-04-03,4.816820960318718e-05
37,2020-04-04,6.405163355836002e-05
38,2020-04-05,5.524669201799247e-05
39,2020-04-06,5.0412606466418125e-05
40,2020-04-07,5.386552471754266e-05
41,2020-04-08,6.733190589692832e-05
42,2020-04-09,5.714579705611096e-05
43,2020-04-10,4.022649762560077e-05
44,2020-04-11,3.176684791034567e-05
45,2020-04-12,3.055832652245208e-05
46,2020-04-13,3.073097243500831e-05
47,2020-04-14,2.486101140809661e-05
48,2020-04-15,3.332066112335171e-05
49,2020-04-16,2.9349805134558497e-05
50,2020-04-17,3.418389068613284e-05
51,2020-04-18,3.3493307035907935e-05
52,2020-04-19,2.917715922200227e-05
53,2020-04-20,2.451571958298416e-05
54,2020-04-21,2.2616614544865668e-05
55,2020-04-22,3.107626426012076e-05
56,2020-04-23,3.746416302470114e-05
57,2020-04-24,2.779599192155246e-05
58,2020-04-25,2.3652490020203024e-05
