date,new_cases
2/26/2020,1.80E-07
2/27/2020,0
2/28/2020,9.02E-08
2/29/2020,1.80E-07
3/1/2020,5.41E-07
3/2/2020,0
3/3/2020,0
3/4/2020,5.41E-07
3/5/2020,1.08E-06
3/6/2020,5.41E-07
3/7/2020,9.93E-07
3/8/2020,1.44E-06
3/9/2020,1.26E-06
3/10/2020,1.80E-06
3/11/2020,3.43E-06
3/12/2020,1.04E-05
3/13/2020,1.73E-05
3/14/2020,1.26E-05
3/15/2020,3.43E-06
3/16/2020,5.96E-06
3/17/2020,7.94E-06
3/18/2020,2.71E-06
3/19/2020,1.16E-05
3/20/2020,9.02E-06
3/21/2020,1.32E-05
3/22/2020,1.86E-05
3/23/2020,1.34E-05
3/24/2020,1.66E-05
3/25/2020,1.59E-05
3/26/2020,1.41E-05
3/27/2020,1.50E-05
3/28/2020,2.27E-05
3/29/2020,1.32E-05
3/30/2020,2.02E-05
3/31/2020,1.19E-05
4/1/2020,5.05E-06
4/2/2020,1.30E-05
4/3/2020,1.75E-05
4/4/2020,4.82E-05
4/5/2020,8.12E-06
4/6/2020,4.49E-05
4/7/2020,2.38E-05
4/8/2020,3.23E-05
4/9/2020,2.13E-05
4/10/2020,2.96E-05
4/11/2020,2.45E-05
4/12/2020,1.25E-05
4/13/2020,1.62E-05
4/14/2020,1.75E-05
4/15/2020,1.37E-05
4/16/2020,2.38E-05
4/17/2020,2.17E-05
4/18/2020,3.47E-05
4/19/2020,1.84E-05
4/20/2020,1.53E-05
4/21/2020,2.64E-05
4/22/2020,2.08E-05
4/23/2020,2.80E-05
4/24/2020,2.00E-05
4/25/2020,1.44E-05
4/26/2020,1.82E-05
4/27/2020,2.15E-05
4/28/2020,8.12E-06
4/29/2020,3.00E-05
4/30/2020,1.61E-05
5/1/2020,1.01E-05
5/2/2020,2.26E-05
5/3/2020,1.41E-05
5/4/2020,1.32E-05
5/5/2020,1.53E-05
5/6/2020,2.91E-05
5/7/2020,1.80E-05
5/8/2020,1.17E-05
5/9/2020,2.56E-05
5/10/2020,1.48E-05
5/11/2020,3.97E-06
5/12/2020,3.43E-06
5/13/2020,9.20E-06
5/14/2020,1.64E-05
5/15/2020,1.50E-05
5/16/2020,1.05E-05
5/17/2020,1.10E-05
5/18/2020,5.96E-06
5/19/2020,3.43E-06
5/20/2020,7.94E-06
5/21/2020,9.02E-06
5/22/2020,7.94E-06
5/23/2020,5.59E-06
5/24/2020,1.99E-06
5/25/2020,3.61E-06
