,Date,New_cases
0,2/21/2020,7.22E-07
1,2/22/2020,1.08E-06
2,2/23/2020,1.80E-07
3,2/24/2020,1.26E-06
4,2/25/2020,1.26E-06
5,2/26/2020,1.62E-06
6,2/27/2020,3.07E-06
7,2/28/2020,9.75E-06
8,2/29/2020,1.37E-05
9,3/1/2020,1.08E-05
10,3/2/2020,5.05E-06
11,3/3/2020,5.23E-06
12,3/4/2020,9.57E-06
13,3/5/2020,9.39E-06
14,3/6/2020,8.48E-06
15,3/7/2020,1.62E-05
16,3/8/2020,1.79E-05
17,3/9/2020,1.57E-05
18,3/10/2020,1.57E-05
19,3/11/2020,1.41E-05
20,3/12/2020,1.52E-05
21,3/13/2020,1.79E-05
22,3/14/2020,1.88E-05
23,3/15/2020,2.04E-05
24,3/16/2020,1.71E-05
25,3/17/2020,1.39E-05
26,3/18/2020,1.26E-05
27,3/19/2020,2.33E-05
28,3/20/2020,2.26E-05
29,3/21/2020,2.69E-05
30,3/22/2020,2.91E-05
31,3/23/2020,3.59E-05
32,3/24/2020,1.46E-05
33,3/25/2020,2.20E-05
34,3/26/2020,3.77E-05
35,3/27/2020,3.61E-05
36,3/28/2020,2.49E-05
37,3/29/2020,2.85E-05
38,3/30/2020,1.28E-05
39,3/31/2020,1.35E-05
40,4/1/2020,1.44E-05
41,4/2/2020,2.11E-05
42,4/3/2020,3.16E-05
43,4/4/2020,2.35E-05
44,4/5/2020,2.17E-05
45,4/6/2020,2.26E-05
46,4/7/2020,1.01E-05
47,4/8/2020,1.21E-05
48,4/9/2020,2.58E-05
49,4/10/2020,2.02E-05
50,4/11/2020,2.24E-05
51,4/12/2020,2.09E-05
52,4/13/2020,1.66E-05
53,4/14/2020,1.37E-05
54,4/15/2020,1.32E-05
55,4/16/2020,2.22E-05
56,4/17/2020,2.51E-05
57,4/18/2020,1.95E-05
58,4/19/2020,1.55E-05
59,4/20/2020,8.66E-06
60,4/21/2020,1.05E-05
61,4/22/2020,1.10E-05
62,4/23/2020,2.40E-05
63,4/24/2020,2.26E-05
64,4/25/2020,1.71E-05
65,4/26/2020,1.95E-05
66,4/27/2020,1.46E-05
67,4/28/2020,8.48E-06
68,4/29/2020,5.05E-06
69,4/30/2020,1.66E-05
70,5/1/2020,1.21E-05
71,5/2/2020,1.41E-05
72,5/3/2020,9.02E-06
73,5/4/2020,9.93E-06
74,5/5/2020,4.51E-06
75,5/6/2020,5.23E-06
76,5/7/2020,8.12E-06
77,5/8/2020,7.40E-06
78,5/9/2020,7.76E-06
79,5/10/2020,3.97E-06
80,5/11/2020,5.78E-06
81,5/12/2020,3.25E-06
82,5/13/2020,3.61E-06
83,5/14/2020,8.12E-06
84,5/15/2020,5.96E-06
85,5/16/2020,2.17E-06
86,5/17/2020,5.41E-06
87,5/18/2020,3.79E-06
88,5/19/2020,1.80E-06
89,5/20/2020,2.17E-06
90,5/21/2020,3.07E-06
91,5/22/2020,2.71E-06
92,5/23/2020,4.51E-06
93,5/24/2020,2.17E-06
94,5/25/2020,2.35E-06
95,5/26/2020,2.35E-06
96,5/27/2020,7.22E-07
97,5/28/2020,1.80E-06
98,5/29/2020,1.44E-06
99,5/30/2020,1.26E-06
100,5/31/2020,1.62E-06
101,6/1/2020,2.35E-06
102,6/2/2020,3.61E-07
103,6/3/2020,9.02E-07
104,6/4/2020,2.89E-06
105,6/5/2020,1.44E-06
106,6/6/2020,7.22E-07
107,6/7/2020,1.44E-06
108,6/8/2020,0
109,6/9/2020,3.61E-07
110,6/10/2020,2.35E-06
111,6/11/2020,9.02E-07
112,6/12/2020,9.02E-07
113,6/13/2020,3.07E-06
114,6/14/2020,2.53E-06
115,6/15/2020,5.41E-07
116,6/16/2020,3.61E-07
117,6/17/2020,1.26E-06
118,6/18/2020,2.89E-06
119,6/19/2020,1.80E-06
120,6/20/2020,3.61E-07
121,6/21/2020,1.26E-06
122,6/22/2020,1.08E-06
123,6/23/2020,3.61E-07
124,6/24/2020,5.41E-07
125,6/25/2020,1.44E-06
126,6/26/2020,5.41E-07
127,6/27/2020,1.62E-06
128,6/28/2020,1.44E-06
129,6/29/2020,1.08E-06
130,6/30/2020,0
131,7/1/2020,7.22E-07
132,7/2/2020,1.08E-06
133,7/3/2020,9.02E-07
134,7/4/2020,9.02E-07
135,7/5/2020,1.62E-06
136,7/6/2020,1.08E-06
137,7/7/2020,1.26E-06
138,7/8/2020,9.02E-07
139,7/9/2020,2.17E-06
140,7/10/2020,1.44E-06
141,7/11/2020,1.99E-06
142,7/12/2020,5.41E-07
143,7/13/2020,1.80E-06
144,7/14/2020,7.22E-07
145,7/15/2020,1.44E-06
146,7/16/2020,2.17E-06
147,7/17/2020,1.62E-06
148,7/18/2020,2.17E-06
149,7/19/2020,1.44E-06
150,7/20/2020,3.25E-06
151,7/21/2020,2.71E-06
152,7/22/2020,1.80E-06
153,7/23/2020,6.32E-06
154,7/24/2020,3.97E-06
155,7/25/2020,5.23E-06
156,7/26/2020,3.97E-06
157,7/27/2020,3.07E-06
158,7/28/2020,1.62E-06
159,7/29/2020,6.32E-06
160,7/30/2020,2.71E-06
161,7/31/2020,5.05E-06
162,8/1/2020,4.87E-06
163,8/2/2020,3.79E-06
164,8/3/2020,4.87E-06
165,8/4/2020,2.53E-06
