date,new_cases
2/24/2020,1.53E-08
2/25/2020,3.06E-08
2/26/2020,6.12E-08
2/27/2020,3.06E-07
2/28/2020,2.90E-07
2/29/2020,6.57E-07
3/1/2020,4.59E-07
3/2/2020,9.33E-07
3/3/2020,3.21E-07
3/4/2020,1.16E-06
3/5/2020,2.11E-06
3/6/2020,2.90E-06
3/7/2020,5.08E-06
3/8/2020,2.71E-06
3/9/2020,4.37E-06
3/10/2020,5.69E-06
3/11/2020,7.80E-06
3/12/2020,1.45E-05
3/13/2020,2.12E-05
3/14/2020,1.25E-05
3/15/2020,5.50E-07
3/16/2020,3.29E-05
3/17/2020,1.58E-05
3/18/2020,2.15E-05
3/19/2020,2.82E-05
3/20/2020,2.73E-05
3/21/2020,2.61E-05
3/22/2020,3.51E-05
3/23/2020,5.14E-05
3/24/2020,3.44E-05
3/25/2020,4.53E-05
3/26/2020,5.99E-05
3/27/2020,5.80E-05
3/28/2020,7.10E-05
3/29/2020,3.98E-05
3/30/2020,6.66E-05
3/31/2020,0.000116632
4/1/2020,7.41E-05
4/2/2020,3.22E-05
4/3/2020,7.99E-05
4/4/2020,4.65E-05
4/5/2020,1.31E-05
4/6/2020,4.06E-05
4/7/2020,4.98E-05
4/8/2020,5.89E-05
4/9/2020,5.78E-05
4/10/2020,2.39E-05
4/11/2020,2.21E-05
4/12/2020,3.51E-05
4/13/2020,4.80E-05
4/14/2020,4.85E-05
4/15/2020,4.90E-05
4/16/2020,3.90E-05
4/17/2020,2.89E-05
4/18/2020,5.82E-05
4/19/2020,1.67E-05
4/20/2020,3.74E-05
4/21/2020,4.08E-05
4/22/2020,2.75E-05
4/23/2020,3.52E-05
4/24/2020,4.30E-05
4/25/2020,2.57E-05
4/26/2020,9.68E-06
4/27/2020,5.64E-05
4/28/2020,4.79E-05
4/29/2020,3.33E-05
4/30/2020,1.86E-05
5/1/2020,8.04E-06
5/2/2020,1.21E-05
5/3/2020,5.52E-06
5/4/2020,8.59E-06
5/5/2020,1.71E-05
5/6/2020,6.32E-05
5/7/2020,1.13E-05
5/8/2020,8.12E-06
5/9/2020,8.09E-06
5/10/2020,3.81E-06
5/11/2020,4.80E-06
5/12/2020,1.15E-05
5/13/2020,7.97E-06
5/14/2020,9.81E-06
5/15/2020,7.84E-06
5/16/2020,6.34E-06
5/17/2020,2.14E-06
5/18/2020,6.79E-06
5/19/2020,7.66E-06
5/20/2020,7.37E-06
5/21/2020,4.08E-06
5/22/2020,1.16E-05
5/23/2020,8.35E-06
5/24/2020,6.66E-06
5/25/2020,4.97E-06
5/26/2020,3.90E-06
5/27/2020,2.63E-06
5/28/2020,5.11E-05
5/29/2020,9.08E-06
5/30/2020,2.74E-05
5/31/2020,3.53E-06
6/1/2020,6.22E-06
6/2/2020,0.00E+00
6/3/2020,2.26E-05
6/4/2020,6.67E-05
6/5/2020,8.88E-06
6/6/2020,8.74E-06
6/7/2020,5.21E-06
6/8/2020,4.19E-06
6/9/2020,8.45E-06
6/10/2020,9.55E-06
6/11/2020,5.56E-06
6/12/2020,1.23E-05
6/13/2020,7.60E-06
6/14/2020,5.96E-06
6/15/2020,2.08E-06
6/16/2020,1.01E-05
6/17/2020,7.46E-06
6/18/2020,8.96E-06
6/19/2020,1.20E-05
6/20/2020,9.46E-06
6/21/2020,5.24E-06
6/22/2020,2.17E-06
6/23/2020,1.07E-05
6/24/2020,4.10E-06
6/25/2020,3.90E-06
6/26/2020,1.93E-05
6/27/2020,6.85E-06
6/28/2020,8.35E-06
6/29/2020,9.86E-06
6/30/2020,6.74E-06
7/1/2020,1.51E-05
7/2/2020,8.24E-06
7/3/2020,8.24E-06
7/4/2020,5.47E-06
7/5/2020,1.68E-07
7/6/2020,1.56E-05
7/7/2020,6.94E-06
7/8/2020,1.26E-05
7/9/2020,6.79E-06
7/10/2020,1.09E-05
7/11/2020,3.84E-06
7/12/2020,2.45E-07
7/13/2020,2.18E-05
7/14/2020,9.48E-07
7/15/2020,1.11E-05
7/16/2020,8.70E-06
7/17/2020,1.27E-05
7/18/2020,2.49E-06
7/19/2020,6.12E-08
7/20/2020,2.92E-05
7/21/2020,9.10E-06
7/22/2020,1.41E-05
7/23/2020,1.89E-05
7/24/2020,1.67E-05
7/25/2020,1.35E-06
7/26/2020,1.97E-05
7/27/2020,3.80E-05
7/28/2020,8.62E-06
7/29/2020,2.25E-05
7/30/2020,2.12E-05
7/31/2020,2.00E-05
8/1/2020,9.63E-07
8/2/2020,4.59E-08
8/3/2020,5.14E-05
8/4/2020,1.48E-05
8/5/2020,2.61E-05
8/6/2020,2.45E-05
8/7/2020,3.65E-05
8/8/2020,1.07E-06
8/9/2020,5.35E-07
8/10/2020,7.23E-05
8/11/2020,2.16E-05
8/12/2020,3.97E-05
8/13/2020,4.09E-05
8/14/2020,4.47E-05
8/15/2020,4.91E-05
8/16/2020,4.59E-05
8/17/2020,9.94E-06
8/18/2020,3.24E-05
8/19/2020,5.77E-05
8/20/2020,7.34E-05
8/21/2020,7.66E-05
8/22/2020,5.31E-05
8/23/2020,7.15E-05
8/24/2020,3.02E-05
8/25/2020,5.53E-05
8/26/2020,4.39E-06
8/27/2020,0.000171271
8/28/2020,0.000116815
8/29/2020,8.35E-05
8/30/2020,8.20E-05
8/31/2020,4.76E-05
9/1/2020,7.80E-05
9/2/2020,0.000108743
9/3/2020,0.000108881
9/4/2020,0.000135054
9/5/2020,0.000131384
9/6/2020,0.00010726
9/7/2020,6.52E-05
9/8/2020,0.00010301
9/9/2020,0.000131767
9/10/2020,0.000149241
9/11/2020,0.000145373
9/12/2020,0.000173319
9/13/2020,9.70E-05
9/14/2020,9.78E-05
9/15/2020,0.000119643
9/16/2020,0.000155799
9/17/2020,0.000156533
9/18/2020,0.000202305
9/19/2020,0.000207304
9/20/2020,0.000161074
9/21/2020,8.47E-05
9/22/2020,0.000154163
9/23/2020,0.000203192
9/24/2020,0.000242314
9/25/2020,0.000246197
9/26/2020,0.000217394
9/27/2020,0.000162587
9/28/2020,6.57E-05
9/29/2020,0.00012238
9/30/2020,0.000219626
10/1/2020,0.000199523
10/2/2020,0.000190121
10/3/2020,0.000252067
10/4/2020,0.00019116
10/5/2020,8.62E-05
10/6/2020,0.000172906
10/7/2020,0.000289752
10/8/2020,0.000266041
10/9/2020,0.000322392
10/10/2020,0.000407836
10/11/2020,0.000243644
10/12/2020,0.000140832
10/13/2020,0.000208313
10/14/2020,0.000351653
10/15/2020,0.000454923
10/16/2020,0.00039186
10/17/2020,0.000490804
10/18/2020,0.000456146
10/19/2020,0.000218449
10/20/2020,0.000311507
10/21/2020,0.000419226
10/22/2020,0.000623946
10/23/2020,0.000654889
10/24/2020,0.000692008
10/25/2020,0.000101145
10/26/2020,0.001116172
10/27/2020,0.000527158
10/28/2020,0.000574062
10/29/2020,0.000712601
10/30/2020,0.000756355
10/31/2020,0.000536148
11/1/2020,0.000705981
11/2/2020,0.001621912
11/3/2020,0.001109919
11/4/2020,0.000996827
11/5/2020,0.000883734
11/6/2020,0.00093183
11/7/2020,0.001324776
11/8/2020,0.000589533
11/9/2020,0.000327529
11/10/2020,0.000345706
11/11/2020,0.000556572
11/12/2020,0.000498815
11/13/2020,0.000367904
11/14/2020,0.000488556
11/15/2020,0.000415709
11/16/2020,0.000153644
11/17/2020,0.00069716
11/18/2020,0.000441775
11/19/2020,0.000317011
11/20/2020,0.000355658
11/21/2020,0.000270138
11/22/2020,0.000200731
11/23/2020,7.74E-05
11/24/2020,0.000151672
11/25/2020,0.000256134
11/26/2020,0.000198758
11/27/2020,0.000195288
11/28/2020,0.000190748
11/29/2020,0.000149256
11/30/2020,6.66E-05
12/1/2020,0.000127868
12/2/2020,0.000217517
12/3/2020,0.000195487
12/4/2020,0.000175979
12/5/2020,0.000196939
12/6/2020,0.000167388
12/7/2020,5.21E-05
12/8/2020,0.000214597
12/9/2020,0.00022435
12/10/2020,0.000212074
12/11/2020,0.000206219
12/12/2020,0.000297878
12/13/2020,0.000389536
12/14/2020,4.88E-05
12/15/2020,0.000178181
12/16/2020,0.000270902
12/17/2020,0.000281267
12/18/2020,0.000244683
12/19/2020,0.000266438
12/20/2020,0.00019567
12/21/2020,9.11E-05
12/22/2020,0.00018133
12/23/2020,0.0002299
12/24/2020,0.000332023
12/25/2020,0.000309764
