,Date,New_cases
0,3/30/2020,3.98E-05
1,3/31/2020,6.64E-05
2,4/1/2020,0.000116723
3,4/2/2020,7.40E-05
4,4/3/2020,3.21E-05
5,4/4/2020,7.98E-05
6,4/5/2020,
7,4/6/2020,1.29E-05
8,4/7/2020,4.06E-05
9,4/8/2020,
10,4/9/2020,5.89E-05
11,4/10/2020,5.78E-05
12,4/11/2020,2.39E-05
13,4/12/2020,2.21E-05
14,4/13/2020,0.000775786
15,4/14/2020,4.80E-05
16,4/15/2020,0.000266744
17,4/16/2020,4.90E-05
18,4/17/2020,0.000192292
19,4/18/2020,2.89E-05
20,4/19/2020,5.82E-05
21,4/20/2020,1.67E-05
22,4/21/2020,3.74E-05
23,4/22/2020,4.08E-05
24,4/23/2020,2.75E-05
25,4/24/2020,
26,4/25/2020,4.30E-05
27,4/26/2020,2.57E-05
28,4/27/2020,9.68E-06
29,4/28/2020,5.64E-05
30,4/29/2020,4.79E-05
31,4/30/2020,
32,5/1/2020,1.86E-05
33,5/2/2020,8.04E-06
34,5/3/2020,1.21E-05
35,5/4/2020,5.52E-06
36,5/5/2020,8.59E-06
37,5/6/2020,1.70E-05
38,5/7/2020,6.32E-05
39,5/8/2020,1.13E-05
40,5/9/2020,8.12E-06
41,5/10/2020,8.07E-06
42,5/11/2020,3.81E-06
43,5/12/2020,4.82E-06
44,5/13/2020,1.15E-05
45,5/14/2020,7.97E-06
46,5/15/2020,9.81E-06
47,5/16/2020,7.84E-06
48,5/17/2020,6.34E-06
49,5/18/2020,2.14E-06
50,5/19/2020,6.79E-06
51,5/20/2020,7.66E-06
52,5/21/2020,7.35E-06
53,5/22/2020,4.08E-06
54,5/23/2020,1.16E-05
55,5/24/2020,8.35E-06
56,5/25/2020,
57,5/26/2020,4.97E-06
58,5/27/2020,3.90E-06
59,5/28/2020,2.64E-06
60,5/29/2020,5.11E-05
61,5/30/2020,9.08E-06
62,5/31/2020,2.74E-05
63,6/1/2020,3.55E-06
64,6/2/2020,6.21E-06
65,6/3/2020,
66,6/4/2020,
67,6/5/2020,6.67E-05
68,6/6/2020,8.88E-06
69,6/7/2020,8.74E-06
70,6/8/2020,5.21E-06
71,6/9/2020,4.19E-06
72,6/10/2020,8.44E-06
73,6/11/2020,9.55E-06
74,6/12/2020,5.56E-06
75,6/13/2020,1.22E-05
76,6/14/2020,7.60E-06
77,6/15/2020,5.96E-06
78,6/16/2020,2.08E-06
79,6/17/2020,1.01E-05
80,6/18/2020,7.48E-06
81,6/19/2020,8.96E-06
82,6/20/2020,1.20E-05
83,6/21/2020,9.46E-06
84,6/22/2020,5.24E-06
85,6/23/2020,2.17E-06
86,6/24/2020,1.07E-05
87,6/25/2020,4.10E-06
88,6/26/2020,3.90E-06
89,6/27/2020,1.93E-05
90,6/28/2020,6.85E-06
91,6/29/2020,
92,6/30/2020,9.86E-06
93,7/1/2020,6.76E-06
94,7/2/2020,1.51E-05
95,7/3/2020,8.24E-06
96,7/4/2020,8.24E-06
97,7/5/2020,5.47E-06
98,7/6/2020,1.83E-07
99,7/7/2020,1.56E-05
100,7/8/2020,6.94E-06
101,7/9/2020,1.26E-05
102,7/10/2020,6.79E-06
103,7/11/2020,1.09E-05
104,7/12/2020,3.84E-06
105,7/13/2020,2.45E-07
106,7/14/2020,2.18E-05
107,7/15/2020,9.48E-07
108,7/16/2020,1.11E-05
109,7/17/2020,8.70E-06
110,7/18/2020,1.26E-05
111,7/19/2020,2.52E-06
112,7/20/2020,6.12E-08
113,7/21/2020,2.92E-05
114,7/22/2020,9.10E-06
115,7/23/2020,1.41E-05
116,7/24/2020,1.89E-05
117,7/25/2020,1.67E-05
118,7/26/2020,1.28E-06
119,7/27/2020,6.12E-08
120,7/28/2020,3.80E-05
121,7/29/2020,8.62E-06
122,7/30/2020,2.25E-05
123,7/31/2020,2.13E-05
124,8/1/2020,1.99E-05
125,8/2/2020,9.48E-07
126,8/3/2020,4.59E-08
127,8/4/2020,5.14E-05
128,8/5/2020,1.48E-05
129,8/6/2020,2.61E-05
130,8/7/2020,2.45E-05
131,8/8/2020,3.64E-05
132,8/9/2020,1.05E-06
133,8/10/2020,9.17E-08
134,8/11/2020,7.21E-05
135,8/12/2020,2.15E-05
136,8/13/2020,3.94E-05
137,8/14/2020,4.08E-05
138,8/15/2020,4.41E-05
139,8/16/2020,4.91E-05
140,8/17/2020,4.62E-05
141,8/18/2020,9.02E-06
142,8/19/2020,3.24E-05
143,8/20/2020,5.79E-05
144,8/21/2020,7.34E-05
145,8/22/2020,7.57E-05
146,8/23/2020,5.31E-05
147,8/24/2020,7.24E-05
148,8/25/2020,3.02E-05
149,8/26/2020,5.25E-05
150,8/27/2020,3.73E-06
151,8/28/2020,0.000171622
152,8/29/2020,0.000115546
153,8/30/2020,8.35E-05
154,8/31/2020,8.23E-05
155,9/1/2020,4.62E-05
156,9/2/2020,7.80E-05
157,9/3/2020,0.000107596
158,9/4/2020,0.000108835
159,9/5/2020,0.00013435
160,9/6/2020,0.000131384
161,9/7/2020,0.000107245
162,9/8/2020,6.40E-05
163,9/9/2020,0.00010301
164,9/10/2020,0.000131125
165,9/11/2020,0.000148278
166,9/12/2020,0.000144211
167,9/13/2020,0.000173304
