,0
0,0.465714286
1,0.465714286
2,0.471428571
3,0.472857143
4,0.452857143
5,0.452857143
6,0.488571429
7,0.492857143
8,0.492857143
9,0.5
10,0.502857143
11,0.447142857
12,0.442857143
13,0.48
14,0.487142857
15,0.49
16,0.5
17,0.542857143
18,0.491428571
19,0.491428571
20,0.53
21,0.547142857
22,0.561428571
23,0.58
24,0.631428571
25,0.622857143
26,0.641428571
27,0.695714286
28,0.7
29,0.702857143
30,0.708571429
31,0.661428571
32,0.608571429
33,0.598571429
34,0.657142857
35,0.658571429
36,0.662857143
37,0.721428571
38,0.747142857
39,0.717142857
40,0.714285714
41,0.784285714
42,0.737142857
43,0.742857143
44,0.752857143
45,0.758571429
46,0.718571429
47,0.705714286
48,0.834285714
49,0.832857143
50,0.832857143
51,0.837142857
52,0.838571429
53,0.795714286
54,0.771428571
55,0.84
56,0.841428571
57,0.842857143
58,0.847142857
59,0.85
60,0.805714286
61,0.79
62,0.862857143
63,0.86
64,0.858571429
65,0.862857143
66,0.867142857
67,0.822857143
68,0.791428571
69,0.858571429
70,0.861428571
71,0.862857143
72,0.864285714
73,0.865714286
74,0.831428571
75,0.807142857
76,0.86
77,0.85
78,0.841428571
79,0.841428571
80,0.834285714
81,0.791428571
82,0.772857143
83,0.832857143
84,0.802857143
85,0.732857143
86,0.734285714
87,0.732857143
88,0.691428571
89,0.675714286
90,0.768571429
91,0.825714286
92,0.817142857
93,0.821428571
94,0.821428571
95,0.777142857
96,0.751428571
97,0.817142857
98,0.812857143
99,0.802857143
100,0.801428571
101,0.794285714
102,0.745714286
103,0.717142857
104,0.781428571
105,0.767142857
106,0.75
107,0.742857143
108,0.732857143
109,0.68
110,0.651428571
111,0.721428571
112,0.711428571
113,0.698571429
114,0.695714286
115,0.69
116,0.637142857
117,0.595714286
118,0.674285714
119,0.675714286
120,0.677142857
121,0.685714286
122,0.69
123,0.661428571
124,0.64
125,0.721428571
126,0.731428571
127,0.738571429
128,0.757142857
129,0.77
130,0.734285714
131,0.708571429
132,0.77
133,0.778571429
134,0.781428571
135,0.794285714
136,0.805714286
137,0.781428571
138,0.765714286
139,0.817142857
140,0.82
141,0.818571429
142,0.822857143
143,0.824285714
144,0.797142857
145,0.781428571
146,0.828571429
147,0.838571429
148,0.845714286
149,0.854285714
150,0.861428571
151,0.841428571
152,0.825714286
153,0.858571429
154,0.857142857
155,0.858571429
156,0.865714286
157,0.871428571
158,0.855714286
159,0.842857143
160,0.868571429
161,0.872857143
162,0.874285714
163,0.877142857
164,0.882857143
165,0.87
166,0.862857143
167,0.88
168,0.878571429
169,0.878571429
170,0.878571429
171,0.881428571
172,0.872857143
173,0.87
174,0.887142857
175,0.887142857
176,0.885714286
177,0.887142857
178,0.887142857
179,0.875714286
180,0.868571429
181,0.882857143
182,0.861428571
183,0.838571429
184,0.821428571
185,0.8
186,0.768571429
187,0.755714286
188,0.785714286
189,0.777142857
190,0.765714286
191,0.765714286
192,0.765714286
193,0.725714286
194,0.692857143
195,0.7
196,0.708571429
197,0.708571429
198,0.711428571
199,0.731428571
200,0.737142857
201,0.735714286
202,0.731428571
203,0.731428571
204,0.728571429
205,0.655714286
206,0.652857143
207,0.654285714
208,0.657142857
209,0.652857143
210,0.657142857
211,0.73
212,0.732857143
213,0.737142857
214,0.74
215,0.747142857
