date,new_cases
2/25/2020,1.19E-08
2/26/2020,1.19E-07
2/27/2020,2.27E-07
2/28/2020,2.39E-08
2/29/2020,3.70E-07
3/1/2020,6.09E-07
3/2/2020,3.46E-07
3/3/2020,4.42E-07
3/4/2020,7.88E-07
3/5/2020,2.63E-06
3/6/2020,2.24E-06
3/7/2020,1.54E-06
3/8/2020,2.88E-06
3/9/2020,1.62E-06
3/10/2020,3.35E-06
3/11/2020,5.38E-06
3/12/2020,2.03E-06
3/13/2020,1.91E-05
3/14/2020,1.09E-05
3/15/2020,1.44E-05
3/16/2020,1.76E-05
3/17/2020,2.37E-05
3/18/2020,3.66E-05
3/19/2020,3.57E-05
3/20/2020,5.40E-05
3/21/2020,2.82E-05
3/22/2020,3.17E-05
3/23/2020,4.99E-05
3/24/2020,4.69E-05
3/25/2020,5.18E-05
3/26/2020,7.90E-05
3/27/2020,8.27E-05
3/28/2020,8.14E-05
3/29/2020,5.25E-05
3/30/2020,5.72E-05
3/31/2020,5.88E-05
4/1/2020,7.24E-05
4/2/2020,8.26E-05
4/3/2020,7.60E-05
4/4/2020,5.89E-05
4/5/2020,4.81E-05
4/6/2020,3.88E-05
4/7/2020,5.12E-05
4/8/2020,6.72E-05
4/9/2020,5.83E-05
4/10/2020,4.76E-05
4/11/2020,3.27E-05
4/12/2020,3.52E-05
4/13/2020,2.65E-05
4/14/2020,1.54E-05
4/15/2020,4.05E-05
4/16/2020,3.51E-05
4/17/2020,4.41E-05
4/18/2020,2.32E-05
4/19/2020,2.20E-05
4/20/2020,2.25E-05
4/21/2020,1.46E-05
4/22/2020,2.81E-05
4/23/2020,2.96E-05
4/24/2020,2.23E-05
4/25/2020,1.81E-05
4/26/2020,1.50E-05
4/27/2020,1.18E-05
4/28/2020,1.38E-05
4/29/2020,1.94E-05
4/30/2020,1.75E-05
5/1/2020,1.27E-05
5/2/2020,1.06E-05
5/3/2020,8.32E-06
5/4/2020,5.82E-06
5/5/2020,1.02E-05
5/6/2020,1.38E-05
5/7/2020,1.51E-05
5/8/2020,1.38E-05
5/9/2020,8.78E-06
5/10/2020,6.62E-06
5/11/2020,8.32E-06
5/12/2020,7.10E-06
5/13/2020,1.11E-05
5/14/2020,4.54E-06
5/15/2020,9.01E-06
5/16/2020,6.19E-06
5/17/2020,7.36E-06
5/18/2020,2.17E-06
5/19/2020,1.46E-05
5/20/2020,8.30E-06
5/21/2020,6.54E-06
5/22/2020,8.22E-06
5/23/2020,3.29E-06
5/24/2020,4.08E-06
5/25/2020,3.25E-06
5/26/2020,7.16E-06
5/27/2020,3.87E-06
5/28/2020,8.02E-06
5/29/2020,8.67E-06
5/30/2020,3.19E-06
5/31/2020,2.64E-06
6/1/2020,2.20E-06
6/2/2020,3.40E-06
6/3/2020,2.89E-06
6/4/2020,4.19E-06
6/5/2020,5.39E-06
6/6/2020,6.28E-06
6/7/2020,3.58E-06
6/8/2020,4.28E-06
6/9/2020,4.74E-06
6/10/2020,1.91E-07
6/11/2020,2.02E-06
6/12/2020,6.39E-06
6/13/2020,4.89E-07
6/14/2020,3.00E-06
6/15/2020,1.96E-06
6/16/2020,6.80E-06
6/17/2020,4.20E-06
6/18/2020,1.45E-05
6/19/2020,5.75E-06
6/20/2020,4.43E-06
6/21/2020,7.19E-06
6/22/2020,5.92E-06
6/23/2020,8.50E-06
6/24/2020,4.67E-06
6/25/2020,5.97E-06
6/26/2020,7.94E-06
6/27/2020,5.04E-06
6/28/2020,2.80E-06
6/29/2020,4.17E-06
6/30/2020,4.49E-06
7/1/2020,5.67E-06
7/2/2020,5.69E-06
7/3/2020,4.89E-06
7/4/2020,4.99E-06
7/5/2020,3.88E-06
7/6/2020,6.46E-06
7/7/2020,3.33E-06
7/8/2020,4.25E-06
7/9/2020,3.60E-06
7/10/2020,3.95E-06
7/11/2020,4.50E-06
7/12/2020,2.51E-06
7/13/2020,3.12E-06
7/14/2020,3.29E-06
7/15/2020,5.18E-06
7/16/2020,6.68E-06
7/17/2020,7.10E-06
7/18/2020,4.55E-06
7/19/2020,3.69E-06
7/20/2020,7.04E-06
7/21/2020,4.68E-06
7/22/2020,6.67E-06
7/23/2020,7.22E-06
7/24/2020,8.86E-06
7/25/2020,7.82E-06
7/26/2020,4.64E-06
7/27/2020,5.31E-06
7/28/2020,7.10E-06
7/29/2020,1.00E-05
7/30/2020,1.18E-05
7/31/2020,1.03E-05
8/1/2020,7.23E-06
8/2/2020,2.57E-06
8/3/2020,1.06E-05
8/4/2020,8.56E-06
8/5/2020,1.53E-05
8/6/2020,1.11E-05
8/7/2020,1.38E-05
8/8/2020,8.44E-06
8/9/2020,4.60E-06
8/10/2020,1.46E-05
8/11/2020,1.23E-05
8/12/2020,1.57E-05
8/13/2020,1.70E-05
8/14/2020,1.80E-05
8/15/2020,8.32E-06
8/16/2020,6.19E-06
8/17/2020,2.02E-05
8/18/2020,1.69E-05
8/19/2020,1.89E-05
8/20/2020,1.89E-05
8/21/2020,2.07E-05
8/22/2020,9.93E-06
8/23/2020,7.56E-06
8/24/2020,1.94E-05
8/25/2020,1.74E-05
8/26/2020,1.70E-05
8/27/2020,1.86E-05
8/28/2020,1.86E-05
8/29/2020,8.46E-06
8/30/2020,5.61E-06
8/31/2020,1.79E-05
9/1/2020,1.45E-05
9/2/2020,1.67E-05
9/3/2020,1.71E-05
9/4/2020,1.72E-05
9/5/2020,9.25E-06
9/6/2020,8.00E-06
9/7/2020,2.27E-05
9/8/2020,1.59E-05
9/9/2020,1.76E-05
9/10/2020,2.05E-05
9/11/2020,1.89E-05
9/12/2020,1.29E-05
9/13/2020,1.10E-05
9/14/2020,1.77E-05
9/15/2020,2.14E-05
9/16/2020,2.21E-05
9/17/2020,2.60E-05
9/18/2020,2.62E-05
9/19/2020,2.01E-05
9/20/2020,1.23E-05
9/21/2020,1.90E-05
9/22/2020,2.21E-05
9/23/2020,1.93E-05
9/24/2020,2.77E-05
9/25/2020,2.82E-05
9/26/2020,1.57E-05
9/27/2020,1.57E-05
9/28/2020,2.74E-05
9/29/2020,2.20E-05
9/30/2020,2.91E-05
10/1/2020,3.13E-05
10/2/2020,3.38E-05
10/3/2020,1.97E-05
10/4/2020,1.85E-05
10/5/2020,3.70E-05
10/6/2020,2.93E-05
10/7/2020,4.79E-05
10/8/2020,5.73E-05
10/9/2020,5.44E-05
10/10/2020,3.54E-05
10/11/2020,3.40E-05
10/12/2020,7.81E-05
10/13/2020,5.33E-05
10/14/2020,8.56E-05
10/15/2020,9.09E-05
10/16/2020,9.18E-05
10/17/2020,5.80E-05
10/18/2020,4.78E-05
10/19/2020,0.000100222
10/20/2020,0.000101726
10/21/2020,0.000147176
10/22/2020,7.10E-05
10/23/2020,0.000160842
10/24/2020,0.000124821
10/25/2020,0.000118042
10/26/2020,0.000149909
10/27/2020,0.000157083
10/28/2020,0.000193378
10/29/2020,0.000223587
10/30/2020,0.000231333
10/31/2020,0.000167741
11/1/2020,0.000149862
11/2/2020,0.000301394
11/3/2020,8.99E-05
11/4/2020,0.000375728
11/5/2020,0.000269276
11/6/2020,0.000272367
11/7/2020,0.000168553
11/8/2020,0.000173184
11/9/2020,7.78E-05
11/10/2020,0.000316851
11/11/2020,0.000267366
11/12/2020,0.000295259
11/13/2020,0.000265695
11/14/2020,0.000174735
11/15/2020,3.83E-05
11/16/2020,0.000174019
11/17/2020,0.000313079
11/18/2020,0.000283193
11/19/2020,0.00028694
11/20/2020,0.000269658
11/21/2020,0.000165569
11/22/2020,5.22E-05
11/23/2020,0.000172527
11/24/2020,0.000195384
11/25/2020,0.000390134
11/26/2020,0.000261995
11/27/2020,0.000248484
11/28/2020,0.000165246
11/29/2020,3.82E-05
11/30/2020,0.000169734
