,Date,New_cases
0,3/10/2020,1.95E-06
1,3/11/2020,3.16E-06
2,3/12/2020,2.20E-06
3,3/13/2020,3.23E-06
4,3/14/2020,9.57E-06
5,3/15/2020,8.27E-06
6,3/16/2020,8.75E-06
7,3/17/2020,1.24E-05
8,3/18/2020,1.40E-05
9,3/19/2020,1.37E-05
10,3/20/2020,1.24E-05
11,3/21/2020,3.34E-05
12,3/22/2020,3.53E-05
13,3/23/2020,3.23E-05
14,3/24/2020,2.33E-05
15,3/25/2020,4.85E-05
16,3/26/2020,5.69E-05
17,3/27/2020,4.92E-05
18,3/28/2020,5.91E-05
19,3/29/2020,6.90E-05
20,3/30/2020,7.51E-05
21,3/31/2020,4.73E-05
22,4/1/2020,5.67E-05
23,4/2/2020,5.51E-05
24,4/3/2020,6.51E-05
25,4/4/2020,7.35E-05
26,4/5/2020,7.37E-05
27,4/6/2020,7.26E-05
28,4/7/2020,7.08E-05
29,4/8/2020,4.39E-05
30,4/9/2020,4.58E-05
31,4/10/2020,4.78E-05
32,4/11/2020,5.94E-05
33,4/12/2020,6.35E-05
34,4/13/2020,4.93E-05
35,4/14/2020,3.37E-05
36,4/15/2020,3.03E-05
37,4/16/2020,2.48E-05
38,4/17/2020,2.97E-05
39,4/18/2020,3.42E-05
40,4/19/2020,4.03E-05
41,4/20/2020,4.31E-05
42,4/21/2020,2.93E-05
43,4/22/2020,2.12E-05
44,4/23/2020,2.13E-05
45,4/24/2020,2.67E-05
46,4/25/2020,2.81E-05
47,4/26/2020,2.79E-05
48,4/27/2020,2.45E-05
49,4/28/2020,2.07E-05
50,4/29/2020,1.22E-05
51,4/30/2020,1.37E-05
52,5/1/2020,1.56E-05
53,5/2/2020,1.76E-05
54,5/3/2020,1.96E-05
55,5/4/2020,1.13E-05
56,5/5/2020,9.46E-06
57,5/6/2020,8.10E-06
58,5/7/2020,8.18E-06
59,5/8/2020,1.13E-05
60,5/9/2020,1.53E-05
61,5/10/2020,1.44E-05
62,5/11/2020,1.49E-05
63,5/12/2020,7.96E-06
64,5/13/2020,4.26E-06
65,5/14/2020,1.11E-05
66,5/15/2020,9.52E-06
67,5/16/2020,1.11E-05
68,5/17/2020,1.09E-05
69,5/18/2020,7.40E-06
70,5/19/2020,6.96E-06
71,5/20/2020,4.08E-06
72,5/21/2020,6.12E-06
73,5/22/2020,9.51E-06
74,5/23/2020,8.89E-06
75,5/24/2020,5.49E-06
76,5/25/2020,7.61E-06
77,5/26/2020,5.14E-06
78,5/27/2020,3.45E-06
79,5/28/2020,5.16E-06
80,5/29/2020,4.32E-06
81,5/30/2020,4.21E-06
82,5/31/2020,8.84E-06
83,6/1/2020,8.81E-06
84,6/2/2020,3.41E-06
85,6/3/2020,3.97E-06
86,6/4/2020,2.54E-06
87,6/5/2020,4.08E-06
88,6/6/2020,4.70E-06
89,6/7/2020,6.05E-06
90,6/8/2020,4.86E-06
91,6/9/2020,3.59E-06
92,6/10/2020,2.55E-06
93,6/11/2020,4.18E-06
94,6/12/2020,3.80E-06
95,6/13/2020,6.62E-06
96,6/14/2020,3.08E-06
97,6/15/2020,4.15E-06
98,6/16/2020,2.95E-06
99,6/17/2020,2.29E-06
100,6/18/2020,4.51E-06
101,6/19/2020,4.12E-06
102,6/20/2020,6.92E-06
103,6/21/2020,9.19E-06
104,6/22/2020,7.17E-06
105,6/23/2020,8.20E-06
106,6/24/2020,6.41E-06
107,6/25/2020,6.00E-06
108,6/26/2020,7.01E-06
109,6/27/2020,7.52E-06
110,6/28/2020,5.69E-06
111,6/29/2020,8.20E-06
112,6/30/2020,3.06E-06
113,7/1/2020,3.13E-06
114,7/2/2020,5.94E-06
115,7/3/2020,5.56E-06
116,7/4/2020,6.00E-06
117,7/5/2020,5.32E-06
118,7/6/2020,5.04E-06
119,7/7/2020,2.85E-06
120,7/8/2020,2.61E-06
121,7/9/2020,4.65E-06
122,7/10/2020,4.74E-06
123,7/11/2020,5.28E-06
124,7/12/2020,4.71E-06
125,7/13/2020,4.51E-06
126,7/14/2020,2.96E-06
127,7/15/2020,1.90E-06
128,7/16/2020,4.92E-06
129,7/17/2020,4.19E-06
130,7/18/2020,6.37E-06
131,7/19/2020,6.96E-06
132,7/20/2020,6.31E-06
133,7/21/2020,2.41E-06
134,7/22/2020,2.97E-06
135,7/23/2020,6.23E-06
136,7/24/2020,5.42E-06
137,7/25/2020,6.79E-06
138,7/26/2020,9.73E-06
139,7/27/2020,9.32E-06
140,7/28/2020,3.64E-06
141,7/29/2020,4.06E-06
142,7/30/2020,7.56E-06
143,7/31/2020,8.16E-06
144,8/1/2020,1.08E-05
145,8/2/2020,1.04E-05
146,8/3/2020,1.14E-05
147,8/4/2020,2.86E-06
148,8/5/2020,6.08E-06
149,8/6/2020,1.05E-05
150,8/7/2020,8.84E-06
151,8/8/2020,1.25E-05
152,8/9/2020,1.37E-05
153,8/10/2020,1.34E-05
154,8/11/2020,6.62E-06
155,8/12/2020,5.20E-06
156,8/13/2020,1.15E-05
157,8/14/2020,1.46E-05
158,8/15/2020,1.72E-05
159,8/16/2020,1.73E-05
160,8/17/2020,1.69E-05
161,8/18/2020,7.46E-06
162,8/19/2020,6.70E-06
163,8/20/2020,1.66E-05
164,8/21/2020,1.80E-05
165,8/22/2020,2.04E-05
166,8/23/2020,1.70E-05
167,8/24/2020,2.43E-05
168,8/25/2020,9.33E-06
169,8/26/2020,8.49E-06
170,8/27/2020,1.53E-05
171,8/28/2020,1.88E-05
172,8/29/2020,1.80E-05
173,8/30/2020,1.88E-05
174,8/31/2020,1.77E-05
175,9/1/2020,9.37E-06
176,9/2/2020,7.28E-06
177,9/3/2020,1.45E-05
178,9/4/2020,1.50E-05
179,9/5/2020,1.56E-05
180,9/6/2020,1.73E-05
181,9/7/2020,1.64E-05
182,9/8/2020,1.18E-05
183,9/9/2020,9.72E-06
184,9/10/2020,1.79E-05
185,9/11/2020,1.40E-05
186,9/12/2020,2.26E-05
187,9/13/2020,1.77E-05
188,9/14/2020,1.95E-05
189,9/15/2020,1.13E-05
190,9/16/2020,1.11E-05
191,9/17/2020,1.68E-05
192,9/18/2020,2.27E-05
193,9/19/2020,2.62E-05
194,9/20/2020,2.29E-05
195,9/21/2020,2.74E-05
196,9/22/2020,1.61E-05
197,9/23/2020,1.10E-05
198,9/24/2020,2.17E-05
199,9/25/2020,2.11E-05
200,9/26/2020,2.56E-05
201,9/27/2020,2.57E-05
202,9/28/2020,2.99E-05
203,9/29/2020,1.68E-05
204,9/30/2020,1.42E-05
205,10/1/2020,2.49E-05
206,10/2/2020,2.15E-05
207,10/3/2020,2.99E-05
208,10/4/2020,3.19E-05
209,10/5/2020,3.06E-05
210,10/6/2020,2.72E-05
211,10/7/2020,1.65E-05
212,10/8/2020,3.15E-05
213,10/9/2020,3.38E-05
214,10/10/2020,4.84E-05
215,10/11/2020,5.39E-05
216,10/12/2020,5.63E-05
217,10/13/2020,4.16E-05
218,10/14/2020,2.94E-05
219,10/15/2020,4.92E-05
220,10/16/2020,6.13E-05
221,10/17/2020,7.92E-05
222,10/18/2020,8.75E-05
223,10/19/2020,9.35E-05
224,10/20/2020,6.67E-05
225,10/21/2020,5.16E-05
