date,new_cases
2/26/2020,9.59E-08
2/27/2020,1.92E-07
2/28/2020,9.59E-08
2/29/2020,0
3/1/2020,2.88E-07
3/2/2020,0
3/3/2020,0
3/4/2020,1.92E-07
3/5/2020,2.11E-06
3/6/2020,1.34E-06
3/7/2020,9.59E-08
3/8/2020,2.59E-06
3/9/2020,0
3/10/2020,1.54E-06
3/11/2020,9.59E-07
3/12/2020,0
3/13/2020,8.73E-06
3/14/2020,3.65E-06
3/15/2020,9.88E-06
3/16/2020,0
3/17/2020,5.37E-06
3/18/2020,2.97E-06
3/19/2020,0
3/20/2020,7.39E-06
3/21/2020,3.36E-06
3/22/2020,9.02E-06
3/23/2020,6.81E-06
3/24/2020,4.61E-06
3/25/2020,7.48E-06
3/26/2020,6.81E-06
3/27/2020,7.10E-06
3/28/2020,9.11E-06
3/29/2020,9.11E-06
3/30/2020,5.37E-06
3/31/2020,9.79E-06
4/1/2020,9.69E-06
4/2/2020,1.24E-05
4/3/2020,6.62E-06
4/4/2020,5.76E-06
4/5/2020,5.95E-06
4/6/2020,1.92E-06
4/7/2020,7.39E-06
4/8/2020,4.99E-06
4/9/2020,6.81E-06
4/10/2020,5.37E-06
4/11/2020,6.72E-06
4/12/2020,3.17E-06
4/13/2020,2.97E-06
4/14/2020,2.40E-06
4/15/2020,2.11E-06
4/16/2020,1.44E-06
4/17/2020,1.63E-06
4/18/2020,1.06E-06
4/19/2020,1.01E-06
4/20/2020,9.59E-07
4/21/2020,1.50E-05
4/22/2020,6.72E-07
4/23/2020,5.28E-06
4/24/2020,2.59E-06
4/25/2020,1.54E-06
4/26/2020,1.06E-06
4/27/2020,1.63E-06
4/28/2020,3.07E-06
4/29/2020,9.59E-07
4/30/2020,1.44E-06
5/1/2020,2.01E-06
5/2/2020,7.68E-07
5/3/2020,5.76E-07
5/4/2020,5.76E-07
5/5/2020,9.59E-07
5/6/2020,2.01E-06
5/7/2020,1.44E-06
5/8/2020,1.25E-06
5/9/2020,1.82E-06
5/10/2020,5.76E-07
5/11/2020,9.59E-07
5/12/2020,1.73E-06
5/13/2020,1.54E-06
5/14/2020,9.59E-07
5/15/2020,3.84E-06
5/16/2020,8.63E-07
5/17/2020,1.44E-06
5/18/2020,1.92E-07
5/19/2020,3.84E-07
5/20/2020,9.59E-07
5/21/2020,2.88E-07
5/22/2020,2.01E-06
5/23/2020,1.92E-07
5/24/2020,1.92E-07
5/25/2020,3.84E-07
5/26/2020,9.59E-07
5/27/2020,1.06E-06
5/28/2020,2.88E-07
5/29/2020,2.88E-07
5/30/2020,5.76E-07
5/31/2020,1.92E-07
6/1/2020,9.59E-08
6/2/2020,1.82E-06
6/3/2020,1.63E-06
6/4/2020,1.44E-06
6/5/2020,1.44E-06
6/6/2020,1.25E-06
6/7/2020,1.63E-06
6/8/2020,4.99E-06
6/9/2020,8.63E-07
6/10/2020,9.59E-07
6/11/2020,1.92E-06
