,Date,New_cases
0,2020-02-21,
1,2020-02-22,
2,2020-02-23,
3,2020-02-24,9.594117040936372e-08
4,2020-02-25,1.9188234081872745e-07
5,2020-02-26,9.594117040936372e-08
6,2020-02-27,0.0
7,2020-02-28,2.878235112280911e-07
8,2020-02-29,0.0
9,2020-03-01,0.0
10,2020-03-02,1.9188234081872745e-07
11,2020-03-03,2.1107057490060016e-06
12,2020-03-04,1.3431763857310918e-06
13,2020-03-05,9.594117040936372e-08
14,2020-03-06,2.59041160105282e-06
15,2020-03-07,0.0
16,2020-03-08,1.5350587265498194e-06
17,2020-03-09,9.594117040936371e-07
18,2020-03-10,0.0
19,2020-03-11,8.730646507252097e-06
20,2020-03-12,3.6457644755558208e-06
21,2020-03-13,9.881940552164462e-06
22,2020-03-14,0.0
23,2020-03-15,5.372705542924367e-06
24,2020-03-16,2.9741762826902747e-06
25,2020-03-17,0.0
26,2020-03-18,7.387470121521005e-06
27,2020-03-19,3.3579409643277298e-06
28,2020-03-20,9.018470018480188e-06
29,2020-03-21,6.811823099064823e-06
30,2020-03-22,4.605176179649458e-06
31,2020-03-23,8.826587677661461e-06
32,2020-03-24,0.0
33,2020-03-25,0.0
34,2020-03-26,0.0
35,2020-03-27,3.079711570140575e-05
36,2020-03-28,0.0
37,2020-03-29,0.0
38,2020-03-30,0.0
39,2020-03-31,0.0
40,2020-04-01,4.3845114877079215e-05
41,2020-04-02,5.756470224561822e-06
42,2020-04-03,5.948352565380549e-06
43,2020-04-04,1.9188234081872743e-06
44,2020-04-05,7.387470121521005e-06
45,2020-04-06,4.988940861286913e-06
46,2020-04-07,6.811823099064823e-06
47,2020-04-08,5.18082320210564e-06
48,2020-04-09,6.907764269474187e-06
49,2020-04-10,0.0
50,2020-04-11,6.1402349061992775e-06
51,2020-04-12,2.3985292602340926e-06
52,2020-04-13,2.1107057490060016e-06
53,2020-04-14,1.4391175561404557e-06
54,2020-04-15,1.630999896959183e-06
55,2020-04-16,1.0553528745030008e-06
56,2020-04-17,9.594117040936371e-07
57,2020-04-18,0.0
58,2020-04-19,1.4966822583860738e-05
59,2020-04-20,6.715881928655459e-07
60,2020-04-21,5.276764372515004e-06
61,2020-04-22,2.59041160105282e-06
62,2020-04-23,1.5350587265498194e-06
63,2020-04-24,1.0553528745030008e-06
64,2020-04-25,1.630999896959183e-06
65,2020-04-26,3.0701174530996388e-06
66,2020-04-27,9.594117040936371e-07
67,2020-04-28,1.4391175561404557e-06
68,2020-04-29,2.014764578596638e-06
69,2020-04-30,7.675293632749097e-07
70,2020-05-01,5.756470224561822e-07
71,2020-05-02,5.756470224561822e-07
72,2020-05-03,9.594117040936371e-07
73,2020-05-04,2.014764578596638e-06
74,2020-05-05,1.4391175561404557e-06
75,2020-05-06,1.2472352153217282e-06
76,2020-05-07,1.8228822377779104e-06
77,2020-05-08,5.756470224561822e-07
78,2020-05-09,9.594117040936371e-07
79,2020-05-10,1.7269410673685467e-06
80,2020-05-11,1.5350587265498194e-06
81,2020-05-12,9.594117040936371e-07
82,2020-05-13,3.8376468163745485e-06
83,2020-05-14,8.634705336842734e-07
84,2020-05-15,1.4391175561404557e-06
85,2020-05-16,1.9188234081872745e-07
86,2020-05-17,3.837646816374549e-07
87,2020-05-18,9.594117040936371e-07
88,2020-05-19,2.878235112280911e-07
89,2020-05-20,1.9188234081872743e-06
90,2020-05-21,2.878235112280911e-07
91,2020-05-22,1.9188234081872745e-07
92,2020-05-23,3.837646816374549e-07
93,2020-05-24,6.715881928655459e-07
94,2020-05-25,1.3431763857310918e-06
95,2020-05-26,2.878235112280911e-07
96,2020-05-27,2.878235112280911e-07
97,2020-05-28,5.756470224561822e-07
98,2020-05-29,1.9188234081872745e-07
99,2020-05-30,9.594117040936372e-08
100,2020-05-31,1.8228822377779104e-06
101,2020-06-01,1.4391175561404557e-06
102,2020-06-02,0.0
103,2020-06-03,9.30629352970828e-06
104,2020-06-04,0.0
105,2020-06-05,0.0
106,2020-06-06,0.0
107,2020-06-07,8.634705336842734e-07
108,2020-06-08,9.594117040936371e-07
109,2020-06-09,1.9188234081872743e-06
110,2020-06-10,1.9188234081872743e-06
111,2020-06-11,3.837646816374549e-07
112,2020-06-12,8.634705336842734e-07
113,2020-06-13,1.2472352153217282e-06
114,2020-06-14,1.3431763857310918e-06
115,2020-06-15,5.276764372515004e-06
116,2020-06-16,2.302588089824729e-06
117,2020-06-17,9.594117040936371e-07
118,2020-06-18,1.8228822377779104e-06
119,2020-06-19,9.594117040936371e-07
120,2020-06-20,2.014764578596638e-06
121,2020-06-21,1.4391175561404557e-06
122,2020-06-22,7.675293632749097e-07
123,2020-06-23,1.0553528745030008e-06
124,2020-06-24,2.1107057490060016e-06
125,2020-06-25,2.2066469194153653e-06
126,2020-06-26,9.594117040936371e-07
127,2020-06-27,1.3431763857310918e-06
128,2020-06-28,1.8228822377779104e-06
129,2020-06-29,2.2066469194153653e-06
130,2020-06-30,2.4944704306434563e-06
131,2020-07-01,2.686352771462184e-06
132,2020-07-02,2.3985292602340926e-06
133,2020-07-03,7.675293632749097e-07
134,2020-07-04,4.12547032760264e-06
135,2020-07-05,2.59041160105282e-06
136,2020-07-06,3.1660586235090024e-06
137,2020-07-07,4.797058520468185e-06
138,2020-07-08,5.756470224561822e-06
139,2020-07-09,3.8376468163745485e-06
140,2020-07-10,2.9741762826902747e-06
141,2020-07-11,2.2066469194153653e-06
142,2020-07-12,5.468646713333731e-06
143,2020-07-13,2.59041160105282e-06
144,2020-07-14,2.7822939418715477e-06
145,2020-07-15,2.3985292602340926e-06
146,2020-07-16,1.8228822377779104e-06
147,2020-07-17,2.302588089824729e-06
148,2020-07-18,4.797058520468186e-07
149,2020-07-19,3.453882134737093e-06
150,2020-07-20,2.7822939418715477e-06
151,2020-07-21,3.1660586235090024e-06
152,2020-07-22,2.3985292602340926e-06
153,2020-07-23,2.9741762826902747e-06
154,2020-07-24,2.59041160105282e-06
155,2020-07-25,3.261999793918366e-06
156,2020-07-26,4.988940861286913e-06
157,2020-07-27,5.468646713333731e-06
158,2020-07-28,6.236176076608641e-06
159,2020-07-29,7.2915289511116416e-06
160,2020-07-30,1.0553528745030007e-05
161,2020-07-31,7.195587780702278e-06
162,2020-08-01,7.195587780702278e-06
163,2020-08-02,1.1321058108304917e-05
164,2020-08-03,1.1321058108304917e-05
165,2020-08-04,1.4391175561404556e-05
166,2020-08-05,1.4103352050176465e-05
167,2020-08-06,1.448711673181392e-05
168,2020-08-07,1.938011642269147e-05
169,2020-08-08,1.2088587471579826e-05
170,2020-08-09,1.8516645889007195e-05
171,2020-08-10,2.254617504620047e-05
172,2020-08-11,1.95719987635102e-05
173,2020-08-12,2.4081233772750288e-05
174,2020-08-13,2.16827045125162e-05
175,2020-08-14,2.0819233978831923e-05
176,2020-08-15,1.4103352050176465e-05
177,2020-08-16,2.3985292602340925e-05
178,2020-08-17,2.0339528126785105e-05
179,2020-08-18,2.3985292602340925e-05
180,2020-08-19,1.95719987635102e-05
181,2020-08-20,2.331370440947538e-05
182,2020-08-21,2.715135122584993e-05
183,2020-08-22,1.4870881413451374e-05
184,2020-08-23,1.6118116628773104e-05
185,2020-08-24,0.0
186,2020-08-25,5.219199670269386e-05
187,2020-08-26,2.580817484011884e-05
188,2020-08-27,1.6981587162457377e-05
189,2020-08-28,1.50627637542701e-05
190,2020-08-29,1.755723418491356e-05
191,2020-08-30,1.9859822274738287e-05
192,2020-08-31,2.2354292705381746e-05
193,2020-09-01,2.312182206865665e-05
194,2020-09-02,1.938011642269147e-05
195,2020-09-03,1.784505769614165e-05
196,2020-09-04,1.3239881516492192e-05
197,2020-09-05,1.3335822686901555e-05
198,2020-09-06,1.6214057799182467e-05
199,2020-09-07,2.37934102615222e-05
200,2020-09-08,3.56901153922833e-05
201,2020-09-09,2.7055410055440565e-05
202,2020-09-10,2.897423346362784e-05
203,2020-09-11,1.95719987635102e-05
204,2020-09-12,1.7269410673685468e-05
205,2020-09-13,2.9741762826902748e-05
206,2020-09-14,2.9837703997312112e-05
207,2020-09-15,3.444288017696157e-05
208,2020-09-16,3.2428115598364934e-05
209,2020-09-17,2.3025880898247288e-05
210,2020-09-18,1.573435194713565e-05
211,2020-09-19,4.346135019544176e-05
212,2020-09-20,3.194840974631811e-05
213,2020-09-21,3.434693900655221e-05
214,2020-09-22,3.271593910959302e-05
215,2020-09-23,2.743917473707802e-05
216,2020-09-24,3.0221468678949567e-05
217,2020-09-25,2.072329280842256e-05
218,2020-09-26,2.5232527817662656e-05
219,2020-09-27,3.99115268902953e-05
