date,new_cases
2/29/2020,2.03E-07
3/1/2020,0
3/2/2020,0
3/3/2020,2.03E-07
3/4/2020,8.10E-07
3/5/2020,0
3/6/2020,2.43E-06
3/7/2020,0
3/8/2020,2.03E-07
3/9/2020,4.05E-07
3/10/2020,2.63E-06
3/11/2020,1.82E-06
3/12/2020,0
3/13/2020,9.52E-06
3/14/2020,7.90E-06
3/15/2020,0
3/16/2020,8.10E-06
3/17/2020,1.09E-05
3/18/2020,1.40E-05
3/19/2020,5.37E-05
3/20/2020,2.55E-05
3/21/2020,2.07E-05
3/22/2020,2.45E-05
3/23/2020,4.44E-05
3/24/2020,4.13E-05
3/25/2020,4.76E-05
3/26/2020,5.16E-05
3/27/2020,6.12E-05
3/28/2020,5.95E-05
3/29/2020,4.05E-05
3/30/2020,5.97E-05
3/31/2020,6.58E-05
4/1/2020,4.29E-05
4/2/2020,8.14E-05
4/3/2020,8.59E-05
4/4/2020,6.70E-05
4/5/2020,7.90E-05
4/6/2020,7.49E-05
4/7/2020,6.99E-05
4/8/2020,7.39E-05
4/9/2020,0.00010126
4/10/2020,0.000306818
4/11/2020,0.000169914
4/12/2020,0.000147232
4/13/2020,0.0002009
4/14/2020,0.000168497
4/15/2020,0.000216291
4/16/2020,0.000146624
4/17/2020,0.000143587
4/18/2020,0.00015756
4/19/2020,9.98E-05
4/20/2020,8.12E-05
4/21/2020,7.86E-05
4/22/2020,0.00012779
4/23/2020,0.000189559
4/24/2020,0.000116854
4/25/2020,7.64E-05
4/26/2020,0.000141966
4/27/2020,7.82E-05
4/28/2020,4.64E-05
4/29/2020,7.61E-05
4/30/2020,7.27E-05
5/1/2020,4.48E-05
5/2/2020,6.95E-05
5/3/2020,6.68E-05
5/4/2020,5.39E-05
5/5/2020,4.27E-05
5/6/2020,5.37E-05
5/7/2020,2.77E-05
5/8/2020,3.16E-05
5/9/2020,4.44E-05
5/10/2020,4.78E-05
5/11/2020,2.82E-05
5/12/2020,2.17E-05
5/13/2020,3.22E-05
5/14/2020,8.63E-05
5/15/2020,2.61E-05
5/16/2020,1.86E-05
5/17/2020,1.30E-05
5/18/2020,1.78E-05
5/19/2020,1.03E-05
5/20/2020,1.30E-05
5/21/2020,1.54E-05
5/22/2020,2.33E-05
5/23/2020,1.54E-05
5/24/2020,1.15E-05
5/25/2020,1.19E-05
5/26/2020,7.49E-06
5/27/2020,1.38E-05
5/28/2020,7.70E-06
5/29/2020,7.09E-06
5/30/2020,1.07E-05
5/31/2020,1.24E-05
6/1/2020,1.46E-05
6/2/2020,8.10E-07
6/3/2020,9.11E-06
6/4/2020,6.28E-06
6/5/2020,4.25E-06
6/6/2020,4.05E-06
6/7/2020,3.65E-06
6/8/2020,1.22E-06
6/9/2020,1.62E-06
6/10/2020,3.24E-06
6/11/2020,1.42E-06
6/12/2020,2.43E-06
6/13/2020,9.11E-06
6/14/2020,1.62E-06
6/15/2020,3.65E-06
6/16/2020,2.63E-06
6/17/2020,1.42E-06
6/18/2020,2.84E-06
6/19/2020,2.63E-06
6/20/2020,1.22E-06
6/21/2020,1.01E-06
6/22/2020,8.10E-07
6/23/2020,1.62E-06
6/24/2020,1.01E-06
6/25/2020,1.82E-06
6/26/2020,1.82E-06
6/27/2020,4.66E-06
6/28/2020,4.05E-07
6/29/2020,4.66E-06
6/30/2020,2.23E-06
7/1/2020,8.10E-07
7/2/2020,2.43E-06
7/3/2020,1.82E-06
7/4/2020,2.23E-06
7/5/2020,3.65E-06
7/6/2020,8.10E-07
7/7/2020,1.42E-06
7/8/2020,8.10E-07
7/9/2020,4.66E-06
7/10/2020,4.86E-06
7/11/2020,4.46E-06
7/12/2020,3.44E-06
7/13/2020,2.03E-06
7/14/2020,6.48E-06
7/15/2020,2.63E-06
7/16/2020,3.04E-06
7/17/2020,6.48E-06
7/18/2020,4.05E-06
7/19/2020,2.03E-06
7/20/2020,1.22E-06
7/21/2020,7.29E-06
7/22/2020,3.44E-06
7/23/2020,1.42E-06
7/24/2020,3.85E-06
7/25/2020,4.86E-06
7/26/2020,2.43E-06
7/27/2020,2.23E-06
7/28/2020,7.49E-06
7/29/2020,2.63E-06
7/30/2020,1.72E-05
7/31/2020,7.70E-06
8/1/2020,8.91E-06
8/2/2020,1.07E-05
8/3/2020,9.32E-06
8/4/2020,9.11E-06
8/5/2020,1.01E-05
8/6/2020,1.40E-05
8/7/2020,1.98E-05
8/8/2020,3.52E-05
8/9/2020,1.38E-05
8/10/2020,1.13E-05
8/11/2020,6.68E-06
8/12/2020,7.49E-06
8/13/2020,1.84E-05
8/14/2020,1.34E-05
8/15/2020,3.97E-05
8/16/2020,1.34E-05
8/17/2020,1.13E-05
8/18/2020,3.77E-05
8/19/2020,9.72E-06
8/20/2020,2.61E-05
8/21/2020,1.60E-05
8/22/2020,3.10E-05
8/23/2020,1.24E-05
8/24/2020,2.98E-05
8/25/2020,1.72E-05
8/26/2020,3.28E-05
8/27/2020,1.82E-05
8/28/2020,2.53E-05
8/29/2020,2.88E-05
8/30/2020,8.10E-06
8/31/2020,1.03E-05
9/1/2020,4.33E-05
9/2/2020,1.80E-05
9/3/2020,1.86E-05
9/4/2020,1.96E-05
9/5/2020,4.68E-05
9/6/2020,2.79E-05
9/7/2020,2.07E-05
9/8/2020,6.20E-05
9/9/2020,1.70E-05
9/10/2020,3.97E-05
9/11/2020,4.27E-05
9/12/2020,3.22E-05
9/13/2020,5.16E-05
9/14/2020,4.19E-05
9/15/2020,7.23E-05
9/16/2020,5.06E-05
9/17/2020,4.54E-05
9/18/2020,5.02E-05
9/19/2020,5.41E-05
9/20/2020,8.00E-05
9/21/2020,3.81E-05
9/22/2020,6.54E-05
9/23/2020,4.68E-05
9/24/2020,6.46E-05
9/25/2020,6.50E-05
9/26/2020,4.96E-05
9/27/2020,8.71E-05
9/28/2020,7.84E-05
9/29/2020,7.35E-05
9/30/2020,8.40E-05
10/1/2020,8.95E-05
10/2/2020,9.44E-05
10/3/2020,0.000122525
10/4/2020,7.37E-05
10/5/2020,0.000104703
10/6/2020,8.59E-05
10/7/2020,0.00012374
10/8/2020,0.000101665
10/9/2020,0.000124955
10/10/2020,0.000204748
10/11/2020,0.000164851
10/12/2020,0.000166674
10/13/2020,0.000163636
10/14/2020,0.000219532
10/15/2020,0.000240189
10/16/2020,0.000202115
10/17/2020,0.000253352
10/18/2020,0.000260036
10/19/2020,0.000208798
10/20/2020,0.000255783
10/21/2020,0.000236138
10/22/2020,0.000213456
10/23/2020,0.000158978
10/24/2020,0.000171534
10/25/2020,0.00020657
10/26/2020,0.000190166
10/27/2020,0.000141764
10/28/2020,0.000135081
10/29/2020,0.000174775
10/30/2020,0.00015432
10/31/2020,8.04E-05
11/1/2020,0.000110576
11/2/2020,0.000151485
11/3/2020,6.04E-05
11/4/2020,8.81E-05
11/5/2020,0.000114019
11/6/2020,9.96E-05
11/7/2020,6.42E-05
11/8/2020,0.000109158
11/9/2020,5.37E-05
11/10/2020,4.66E-05
11/11/2020,7.25E-05
11/12/2020,7.80E-05
11/13/2020,9.46E-05
11/14/2020,8.65E-05
11/15/2020,7.64E-05
11/16/2020,9.17E-05
11/17/2020,6.68E-05
11/18/2020,7.53E-05
11/19/2020,8.40E-05
11/20/2020,6.66E-05
11/21/2020,6.91E-05
11/22/2020,6.44E-05
11/23/2020,5.06E-05
11/24/2020,4.44E-05
11/25/2020,5.20E-05
11/26/2020,6.22E-05
11/27/2020,4.15E-05
11/28/2020,4.92E-05
11/29/2020,6.06E-05
11/30/2020,6.14E-05
12/1/2020,5.14E-05
12/2/2020,5.43E-05
12/3/2020,3.28E-05
12/4/2020,5.33E-05
12/5/2020,9.26E-05
12/6/2020,6.04E-05
12/7/2020,4.50E-05
12/8/2020,4.33E-05
12/9/2020,4.41E-05
12/10/2020,6.14E-05
12/11/2020,6.16E-05
12/12/2020,5.04E-05
12/13/2020,8.69E-05
12/14/2020,5.35E-05
12/15/2020,6.62E-05
12/16/2020,8.53E-05
12/17/2020,9.74E-05
12/18/2020,0.000116651
12/19/2020,0.000105715
12/20/2020,0.00015513
12/21/2020,0.000146827
12/22/2020,0.000194622
12/23/2020,0.000187736
12/24/2020,0.000185913
12/25/2020,0.000207583
12/26/2020,0.000262466
12/27/2020,0.000148852
12/28/2020,0.000154928
12/29/2020,0.000312893
12/30/2020,0.000347929
12/31/2020,0.000328487
1/1/2021,0.000355017
1/2/2021,0.000687353
1/3/2021,0.001004701
1/4/2021,0.001237397
1/5/2021,0.001078419
1/6/2021,0.001586136
1/7/2021,0.001316987
1/8/2021,0.001666131
1/9/2021,0.000980804
1/10/2021,0.001394552
1/11/2021,0.000997613
1/12/2021,0.000618091
1/13/2021,0.000719553
1/14/2021,0.00079246
1/15/2021,0.000706997
1/16/2021,0.000654544
1/17/2021,0.000596624
1/18/2021,0.000428735
1/19/2021,0.00040423
1/20/2021,0.000503262
1/21/2021,0.000526147
1/22/2021,0.000477339
1/23/2021,0.0003858
1/24/2021,0.000277452
1/25/2021,0.00027725
1/26/2021,0.000187938
1/27/2021,0.000269554
1/28/2021,0.000498807
