date,new_cases
2/27/2020,1.19E-08
2/28/2020,0
2/29/2020,5.97E-08
3/1/2020,4.77E-08
3/2/2020,9.55E-08
3/3/2020,7.16E-08
3/4/2020,1.67E-07
3/5/2020,5.25E-07
3/6/2020,5.49E-07
3/7/2020,7.16E-07
3/8/2020,9.19E-07
3/9/2020,6.68E-07
3/10/2020,7.28E-07
3/11/2020,1.44E-06
3/12/2020,0
3/13/2020,3.62E-06
3/14/2020,1.86E-06
3/15/2020,2.10E-06
3/16/2020,3.32E-06
3/17/2020,3.52E-06
3/18/2020,4.14E-06
3/19/2020,4.88E-06
3/20/2020,6.40E-06
3/21/2020,7.60E-06
3/22/2020,6.89E-06
3/23/2020,6.53E-06
3/24/2020,9.74E-06
3/25/2020,1.02E-05
3/26/2020,1.23E-05
3/27/2020,1.41E-05
3/28/2020,1.40E-05
3/29/2020,1.33E-05
3/30/2020,1.06E-05
3/31/2020,1.01E-05
4/1/2020,1.23E-05
4/2/2020,1.30E-05
4/3/2020,1.23E-05
4/4/2020,1.08E-05
4/5/2020,1.46E-05
4/6/2020,1.16E-05
4/7/2020,9.35E-06
4/8/2020,1.16E-05
4/9/2020,1.46E-05
4/10/2020,1.61E-05
4/11/2020,1.58E-05
4/12/2020,1.40E-05
4/13/2020,1.15E-05
4/14/2020,1.04E-05
4/15/2020,8.78E-06
4/16/2020,1.27E-05
4/17/2020,1.48E-05
4/18/2020,1.37E-05
4/19/2020,1.28E-05
4/20/2020,8.95E-06
4/21/2020,8.70E-06
4/22/2020,8.53E-06
4/23/2020,1.06E-05
4/24/2020,9.64E-06
4/25/2020,7.82E-06
4/26/2020,7.83E-06
4/27/2020,4.77E-06
4/28/2020,2.05E-06
4/29/2020,4.61E-06
4/30/2020,6.13E-06
5/1/2020,5.69E-06
5/2/2020,5.31E-06
5/3/2020,4.00E-06
5/4/2020,2.38E-06
5/5/2020,3.80E-06
5/6/2020,2.77E-06
5/7/2020,5.43E-06
5/8/2020,3.81E-06
5/9/2020,3.45E-06
5/10/2020,2.92E-06
5/11/2020,1.92E-06
5/12/2020,2.34E-06
5/13/2020,2.71E-06
5/14/2020,3.22E-06
5/15/2020,2.39E-06
