,Date,New_cases
0,2020-02-28,1.1935461332196568e-08
1,2020-02-29,5.967730666098286e-08
2,2020-03-01,4.774184532878627e-08
3,2020-03-02,9.548369065757257e-08
4,2020-03-03,7.161276799317941e-08
5,2020-03-04,1.6709645865075198e-07
6,2020-03-05,5.25160298616649e-07
7,2020-03-06,5.490312212810422e-07
8,2020-03-07,7.161276799317941e-07
9,2020-03-08,9.190305225791358e-07
10,2020-03-09,6.683858346030078e-07
11,2020-03-10,7.280631412639906e-07
12,2020-03-11,1.4441908211957848e-06
13,2020-03-12,1.1935461332196569e-06
14,2020-03-13,2.3990277277715103e-06
15,2020-03-14,1.849996506490468e-06
16,2020-03-15,2.100641194466596e-06
17,2020-03-16,3.318058250350646e-06
18,2020-03-17,3.485154709001398e-06
19,2020-03-18,4.1296696209400125e-06
20,2020-03-19,4.881603684868396e-06
21,2020-03-20,6.373536351392968e-06
22,2020-03-21,7.61482432994141e-06
23,2020-03-22,6.839019343348633e-06
24,2020-03-23,6.50482642604713e-06
25,2020-03-24,9.691594601743613e-06
26,2020-03-25,1.0169013055031476e-05
27,2020-03-26,1.21741705588405e-05
28,2020-03-27,1.398836068133438e-05
29,2020-03-28,1.3833199684015824e-05
30,2020-03-29,1.3176749310745012e-05
31,2020-03-30,1.0586754201658356e-05
32,2020-03-31,1.00854648257061e-05
33,2020-04-01,1.2162235097508304e-05
34,2020-04-02,1.304545923609085e-05
35,2020-04-03,1.2269654249498072e-05
36,2020-04-04,1.084933435096668e-05
37,2020-04-05,1.46090046706086e-05
38,2020-04-06,1.1386430110915526e-05
39,2020-04-07,9.417078991103092e-06
40,2020-04-08,1.1601268414895063e-05
41,2020-04-09,1.4477714595954437e-05
42,2020-04-10,1.596964726247901e-05
43,2020-04-11,1.579061534249606e-05
44,2020-04-12,1.401223160399877e-05
45,2020-04-13,1.1505784724237492e-05
46,2020-04-14,1.0359980436346622e-05
47,2020-04-15,8.784499540496675e-06
48,2020-04-16,1.2675459934792756e-05
49,2020-04-17,1.4788036590591549e-05
