date,new_cases
3/2/2020,1.96E-07
3/3/2020,0
3/4/2020,2.94E-07
3/5/2020,2.94E-07
3/6/2020,4.90E-07
3/7/2020,6.86E-07
3/8/2020,9.81E-07
3/9/2020,0
3/10/2020,1.08E-06
3/11/2020,1.77E-06
3/12/2020,0
3/13/2020,5.20E-06
3/14/2020,5.59E-06
3/15/2020,7.45E-06
3/16/2020,8.43E-06
3/17/2020,1.15E-05
3/18/2020,0
3/19/2020,3.30E-05
3/20/2020,2.30E-05
3/21/2020,2.55E-05
3/22/2020,3.14E-05
3/23/2020,4.51E-05
3/24/2020,2.96E-05
3/25/2020,6.21E-05
3/26/2020,5.38E-05
3/27/2020,7.10E-05
3/28/2020,8.85E-05
3/29/2020,7.77E-05
3/30/2020,4.37E-05
3/31/2020,0.000101503
4/1/2020,7.92E-05
4/2/2020,7.68E-05
4/3/2020,8.36E-05
4/4/2020,6.26E-05
4/5/2020,7.39E-05
4/6/2020,4.43E-05
4/7/2020,6.98E-05
4/8/2020,6.86E-05
4/9/2020,7.99E-05
4/10/2020,0.000148675
4/11/2020,5.05E-05
4/12/2020,5.86E-05
4/13/2020,3.42E-05
4/14/2020,5.04E-05
4/15/2020,6.31E-05
4/16/2020,7.36E-05
4/17/2020,1.78E-05
4/18/2020,6.50E-05
4/19/2020,5.11E-05
4/20/2020,6.44E-05
4/21/2020,5.06E-05
4/22/2020,5.91E-05
4/23/2020,3.64E-05
4/24/2020,4.35E-05
4/25/2020,5.84E-05
4/26/2020,4.63E-05
4/27/2020,1.60E-05
4/28/2020,2.89E-05
4/29/2020,1.79E-05
4/30/2020,5.30E-05
5/1/2020,3.00E-05
5/2/2020,1.95E-05
5/3/2020,9.02E-06
5/4/2020,2.37E-05
5/5/2020,1.75E-05
5/6/2020,4.71E-05
5/7/2020,5.23E-05
5/8/2020,5.42E-05
5/9/2020,1.35E-05
5/10/2020,1.72E-05
5/11/2020,9.61E-06
5/12/2020,2.29E-05
5/13/2020,2.15E-05
5/14/2020,1.83E-05
5/15/2020,2.59E-05
5/16/2020,2.23E-05
5/17/2020,2.22E-05
5/18/2020,1.70E-05
5/19/2020,2.19E-05
5/20/2020,2.24E-05
5/21/2020,2.47E-05
5/22/2020,2.82E-05
5/23/2020,2.66E-05
5/24/2020,1.49E-05
5/25/2020,1.62E-05
5/26/2020,2.15E-05
5/27/2020,2.80E-05
5/28/2020,2.98E-05
5/29/2020,3.43E-05
5/30/2020,2.52E-05
5/31/2020,2.91E-05
6/1/2020,1.96E-05
6/2/2020,1.91E-05
6/3/2020,3.59E-05
6/4/2020,3.25E-05
6/5/2020,3.70E-05
6/6/2020,3.75E-05
6/7/2020,3.35E-05
6/8/2020,1.88E-05
6/9/2020,4.13E-05
6/10/2020,2.88E-05
6/11/2020,3.04E-05
6/12/2020,2.65E-05
6/13/2020,2.78E-05
6/14/2020,2.23E-05
6/15/2020,3.39E-05
6/16/2020,2.94E-05
6/17/2020,3.30E-05
6/18/2020,4.09E-05
6/19/2020,3.68E-05
6/20/2020,3.70E-05
6/21/2020,2.86E-05
6/22/2020,2.54E-05
6/23/2020,3.38E-05
6/24/2020,3.60E-05
6/25/2020,3.05E-05
6/26/2020,4.42E-05
6/27/2020,3.17E-05
6/28/2020,4.48E-05
6/29/2020,2.61E-05
6/30/2020,2.25E-05
7/1/2020,3.07E-05
7/2/2020,3.22E-05
7/3/2020,3.67E-05
7/4/2020,4.05E-05
7/5/2020,3.22E-05
7/6/2020,2.28E-05
7/7/2020,2.81E-05
7/8/2020,4.34E-05
7/9/2020,4.10E-05
7/10/2020,3.94E-05
7/11/2020,5.32E-05
7/12/2020,2.85E-05
7/13/2020,3.00E-05
7/14/2020,2.29E-05
7/15/2020,3.68E-05
7/16/2020,3.32E-05
7/17/2020,3.06E-05
7/18/2020,3.07E-05
7/19/2020,2.41E-05
7/20/2020,1.32E-05
7/21/2020,1.25E-05
7/22/2020,2.47E-05
7/23/2020,2.25E-05
7/24/2020,3.07E-05
7/25/2020,2.58E-05
7/26/2020,2.05E-05
7/27/2020,1.32E-05
7/28/2020,1.09E-05
7/29/2020,1.99E-05
7/30/2020,2.50E-05
7/31/2020,2.00E-05
8/1/2020,2.33E-05
8/2/2020,1.50E-05
8/3/2020,1.04E-05
8/4/2020,1.10E-05
8/5/2020,1.64E-05
8/6/2020,2.09E-05
8/7/2020,2.84E-05
8/8/2020,1.82E-05
8/9/2020,1.28E-05
8/10/2020,1.54E-05
8/11/2020,1.18E-05
8/12/2020,2.73E-05
8/13/2020,3.19E-05
8/14/2020,2.30E-05
8/15/2020,1.94E-05
8/16/2020,1.19E-05
8/17/2020,1.29E-05
8/18/2020,2.10E-05
8/19/2020,2.48E-05
8/20/2020,2.85E-05
8/21/2020,2.15E-05
8/22/2020,2.36E-05
8/23/2020,1.42E-05
8/24/2020,1.21E-05
8/25/2020,1.88E-05
8/26/2020,3.55E-05
8/27/2020,3.91E-05
8/28/2020,3.93E-05
8/29/2020,3.67E-05
8/30/2020,3.14E-05
8/31/2020,2.39E-05
9/1/2020,2.27E-05
9/2/2020,3.82E-05
9/3/2020,4.10E-05
9/4/2020,3.98E-05
9/5/2020,4.77E-05
9/6/2020,3.09E-05
9/7/2020,2.44E-05
9/8/2020,3.81E-05
9/9/2020,6.34E-05
9/10/2020,5.74E-05
9/11/2020,6.74E-05
9/12/2020,4.87E-05
9/13/2020,6.60E-05
9/14/2020,6.01E-05
9/15/2020,4.17E-05
9/16/2020,5.93E-05
9/17/2020,7.55E-05
9/18/2020,7.65E-05
9/19/2020,8.33E-05
9/20/2020,5.41E-05
9/21/2020,6.11E-05
9/22/2020,4.54E-05
9/23/2020,7.87E-05
9/24/2020,6.78E-05
9/25/2020,8.82E-05
9/26/2020,8.67E-05
9/27/2020,6.52E-05
9/28/2020,4.17E-05
9/29/2020,6.75E-05
9/30/2020,8.09E-05
10/1/2020,8.38E-05
10/2/2020,8.71E-05
10/3/2020,9.44E-05
10/4/2020,8.87E-05
10/5/2020,7.20E-05
10/6/2020,4.19E-05
10/7/2020,9.26E-05
10/8/2020,0.000125335
10/9/2020,0.000136711
10/10/2020,0.000161425
10/11/2020,0.000106897
10/12/2020,0.000122491
10/13/2020,0.00011847
10/14/2020,0.000203203
10/15/2020,0.000206047
10/16/2020,0.000255769
10/17/2020,0.000211147
10/18/2020,0.00018202
10/19/2020,0.00019114
10/20/2020,0.000183981
10/21/2020,0.00024861
10/22/2020,0.000320692
10/23/2020,0.000284307
10/24/2020,0.000359822
10/25/2020,0.000252729
10/26/2020,0.000239979
10/27/2020,0.000323536
10/28/2020,0.000388361
10/29/2020,0.000414251
10/30/2020,0.000456618
10/31/2020,0.00039297
11/1/2020,0.000300293
11/2/2020,0.000245766
11/3/2020,0.000254592
11/4/2020,0.000735237
11/5/2020,0.000432492
11/6/2020,0.000544293
11/7/2020,0.00065119
11/8/2020,0.000567242
11/9/2020,0.000401698
11/10/2020,0.000374336
11/11/2020,0.00048398
11/12/2020,0.000572636
11/13/2020,0.000652465
11/14/2020,0.000647464
11/15/2020,0.000591858
11/16/2020,0.000820951
11/17/2020,0.000436611
11/18/2020,0.000577735
11/19/2020,0.000685908
11/20/2020,0.000636382
11/21/2020,0.000634715
11/22/2020,0.000469563
11/23/2020,0.000396599
11/24/2020,0.00038434
11/25/2020,0.000518795
11/26/2020,0.000625986
11/27/2020,0.000533898
11/28/2020,0.000477409
11/29/2020,0.000401404
11/30/2020,0.000319907
12/1/2020,0.000235468
12/2/2020,0.000331872
12/3/2020,0.000369923
12/4/2020,0.00048398
12/5/2020,0.000596957
12/6/2020,0.000376004
12/7/2020,0.00025469
12/8/2020,0.000284896
12/9/2020,0.000401796
12/10/2020,0.000307354
12/11/2020,0.0004982
12/12/2020,0.000432787
12/13/2020,0.000396599
12/14/2020,0.000215167
12/15/2020,0.000258711
12/16/2020,0.000462894
12/17/2020,0.000423666
12/18/2020,0.000425235
12/19/2020,0.000376102
12/20/2020,0.000326968
12/21/2020,0.000205851
12/22/2020,0.000238901
12/23/2020,0.000451322
12/24/2020,0.000429354
12/25/2020,0.000406602
12/26/2020,0.000119058
12/27/2020,0.000154658
12/28/2020,0.000205262
12/29/2020,0.000327164
12/30/2020,0.000593231
12/31/2020,0.000747986
1/1/2021,0.000681691
