,New_cases
0,0
1,1.96E-07
2,0
3,2.94E-07
4,2.94E-07
5,4.90E-07
6,6.86E-07
7,9.81E-07
8,0
9,1.08E-06
10,1.77E-06
11,0
12,5.20E-06
13,5.59E-06
14,7.45E-06
15,8.43E-06
16,1.15E-05
17,0
18,3.30E-05
19,2.30E-05
20,2.55E-05
21,3.14E-05
22,4.51E-05
23,2.96E-05
24,6.21E-05
25,5.38E-05
26,7.10E-05
27,8.85E-05
28,7.77E-05
29,4.37E-05
30,0.000101503
31,7.92E-05
32,7.68E-05
33,8.36E-05
34,6.26E-05
35,7.39E-05
36,4.43E-05
37,6.98E-05
38,6.86E-05
39,7.99E-05
40,0.000148675
41,5.05E-05
42,5.86E-05
43,3.42E-05
44,5.04E-05
45,6.31E-05
46,7.36E-05
47,1.78E-05
48,6.50E-05
49,5.11E-05
50,6.44E-05
51,5.06E-05
52,5.91E-05
53,3.64E-05
54,4.35E-05
55,5.84E-05
56,4.63E-05
57,1.60E-05
58,2.89E-05
59,1.79E-05
60,5.30E-05
61,3.00E-05
62,
63,9.02E-06
64,2.37E-05
65,1.75E-05
66,4.71E-05
67,5.23E-05
68,5.42E-05
69,1.35E-05
70,1.72E-05
71,9.61E-06
72,2.29E-05
73,2.15E-05
74,1.83E-05
75,2.59E-05
76,2.23E-05
77,2.22E-05
78,1.70E-05
79,2.19E-05
80,2.24E-05
81,2.47E-05
82,2.82E-05
83,2.66E-05
84,1.49E-05
85,1.62E-05
86,2.15E-05
87,2.80E-05
88,2.98E-05
89,3.43E-05
90,2.52E-05
91,2.91E-05
92,1.96E-05
93,1.91E-05
94,3.59E-05
95,3.25E-05
96,3.70E-05
97,3.75E-05
98,3.35E-05
99,1.88E-05
100,4.13E-05
101,2.88E-05
102,3.04E-05
103,2.65E-05
104,2.78E-05
105,2.23E-05
106,3.39E-05
107,2.94E-05
108,3.30E-05
109,4.09E-05
110,3.68E-05
111,3.70E-05
112,2.86E-05
113,2.54E-05
114,3.38E-05
115,3.60E-05
116,3.05E-05
117,4.42E-05
118,3.17E-05
119,4.48E-05
120,2.61E-05
121,2.25E-05
122,3.07E-05
123,3.22E-05
124,3.67E-05
125,4.05E-05
126,3.22E-05
127,2.28E-05
128,2.81E-05
129,4.34E-05
130,4.10E-05
131,3.94E-05
132,5.32E-05
133,2.85E-05
134,3.00E-05
135,2.29E-05
136,3.68E-05
137,3.32E-05
138,3.06E-05
139,3.07E-05
140,2.41E-05
141,1.32E-05
142,1.25E-05
143,2.47E-05
144,2.25E-05
145,3.07E-05
146,2.58E-05
147,2.05E-05
148,1.32E-05
149,1.09E-05
150,1.99E-05
151,2.50E-05
152,2.00E-05
153,2.33E-05
154,1.50E-05
155,1.04E-05
156,1.10E-05
157,1.64E-05
158,2.09E-05
159,2.84E-05
160,1.82E-05
161,1.28E-05
162,1.54E-05
163,1.18E-05
164,2.73E-05
165,3.19E-05
166,2.30E-05
167,1.94E-05
168,1.19E-05
169,1.29E-05
170,2.10E-05
171,2.48E-05
172,2.85E-05
173,2.15E-05
174,2.36E-05
175,1.42E-05
176,1.21E-05
177,1.88E-05
178,3.55E-05
179,3.91E-05
180,3.93E-05
181,3.67E-05
182,3.14E-05
183,2.39E-05
184,2.27E-05
185,3.82E-05
186,4.10E-05
187,3.98E-05
188,4.77E-05
189,3.09E-05
190,2.44E-05
191,3.81E-05
192,6.34E-05
193,5.74E-05
194,6.74E-05
195,4.87E-05
196,6.60E-05
197,6.01E-05
198,4.17E-05
199,5.93E-05
200,7.55E-05
201,7.65E-05
202,8.33E-05
203,5.41E-05
204,6.11E-05
205,4.54E-05
206,7.87E-05
207,6.78E-05
208,8.82E-05
209,8.67E-05
210,6.52E-05
211,4.17E-05
212,6.75E-05
213,8.09E-05
214,8.38E-05
215,8.71E-05
216,9.44E-05
217,8.87E-05
218,7.20E-05
219,4.19E-05
220,9.26E-05
221,0.000125335
222,0.000136711
223,0.000161425
224,0.000106897
225,0.000122491
226,0.00011847
227,0.000203203
228,0.000206047
229,0.000255769
230,0.000211147
231,0.00018202
232,0.00019114
233,0.000183981
234,0.00024861
235,0.000320692
236,0.000284307
237,0.000359822
238,0.000252729
239,0.000239979
240,0.000323536
241,0.000388361
242,0.000414251
243,0.000456618
244,0.00039297
245,0.000300293
246,0.000245766
247,0.000254592
248,0.000735237
249,0.000432492
250,0.000544293
251,0.00065119
252,0.000567242
253,0.000401698
254,0.000374336
255,0.00048398
256,0.000572636
257,0.000652465
258,0.000647464
259,0.000591858
260,0.000820951
261,0.000436611
262,0.000577735
263,0.000685908
264,0.000636382
265,0.000634715
266,0.000469563
