date,new_cases
2/26/2020,5.20E-08
2/27/2020,0
2/28/2020,1.04E-07
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,5.20E-08
3/5/2020,1.04E-07
3/6/2020,1.56E-07
3/7/2020,0
3/8/2020,3.12E-07
3/9/2020,0
3/10/2020,5.20E-07
3/11/2020,1.04E-06
3/12/2020,2.08E-07
3/13/2020,2.08E-06
3/14/2020,1.77E-06
3/15/2020,4.16E-07
3/16/2020,1.40E-06
3/17/2020,1.35E-06
3/18/2020,3.95E-06
3/19/2020,8.84E-07
3/20/2020,1.61E-06
3/21/2020,3.07E-06
3/22/2020,3.43E-06
3/23/2020,7.43E-06
3/24/2020,1.13E-05
3/25/2020,5.82E-06
3/26/2020,6.39E-06
3/27/2020,1.37E-05
3/28/2020,8.32E-06
3/29/2020,1.89E-05
3/30/2020,1.53E-05
3/31/2020,7.07E-06
4/1/2020,1.12E-05
4/2/2020,1.45E-05
4/3/2020,2.31E-05
4/4/2020,2.24E-05
4/5/2020,1.30E-05
4/6/2020,1.00E-05
4/7/2020,1.87E-05
4/8/2020,1.79E-05
4/9/2020,2.29E-05
4/10/2020,1.38E-05
4/11/2020,2.72E-05
4/12/2020,1.61E-05
4/13/2020,1.73E-05
4/14/2020,1.28E-05
4/15/2020,1.75E-05
4/16/2020,2.55E-05
4/17/2020,1.87E-05
4/18/2020,1.82E-05
4/19/2020,1.70E-05
4/20/2020,9.88E-06
4/21/2020,1.59E-05
4/22/2020,2.43E-05
4/23/2020,2.01E-05
4/24/2020,1.67E-05
4/25/2020,1.13E-05
4/26/2020,2.08E-05
4/27/2020,1.58E-05
4/28/2020,1.44E-05
4/29/2020,1.88E-05
4/30/2020,1.36E-05
5/1/2020,1.70E-05
5/2/2020,8.58E-06
5/3/2020,2.24E-05
5/4/2020,1.81E-05
5/5/2020,1.69E-05
5/6/2020,1.40E-05
5/7/2020,2.04E-05
5/8/2020,1.62E-05
5/9/2020,1.66E-05
5/10/2020,1.20E-05
5/11/2020,1.17E-05
5/12/2020,9.88E-06
5/13/2020,1.16E-05
5/14/2020,1.27E-05
5/15/2020,9.88E-06
5/16/2020,1.39E-05
5/17/2020,8.68E-06
5/18/2020,8.58E-06
5/19/2020,8.06E-06
5/20/2020,1.02E-05
5/21/2020,1.03E-05
5/22/2020,6.60E-06
5/23/2020,7.54E-06
