date,new_cases
3/6/2020,1.14E-07
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,4.58E-07
3/11/2020,8.01E-07
3/12/2020,8.01E-07
3/13/2020,1.83E-06
3/14/2020,1.26E-06
3/15/2020,2.29E-07
3/16/2020,8.01E-07
3/17/2020,1.14E-06
3/18/2020,2.06E-06
3/19/2020,2.29E-06
3/20/2020,3.66E-06
3/21/2020,4.12E-06
3/22/2020,5.84E-06
3/23/2020,3.09E-06
3/24/2020,6.18E-06
3/25/2020,9.27E-06
3/26/2020,0
3/27/2020,8.35E-06
3/28/2020,2.31E-05
3/29/2020,9.38E-06
3/30/2020,5.04E-06
3/31/2020,1.32E-05
4/1/2020,1.83E-05
4/2/2020,1.27E-05
4/3/2020,3.49E-05
4/4/2020,1.69E-05
4/5/2020,3.25E-05
4/6/2020,3.34E-05
4/7/2020,2.83E-05
4/8/2020,2.51E-05
4/9/2020,2.30E-05
4/10/2020,2.72E-05
4/11/2020,3.15E-05
4/12/2020,2.86E-05
4/13/2020,4.85E-05
4/14/2020,4.70E-05
4/15/2020,4.67E-05
4/16/2020,5.09E-05
4/17/2020,4.26E-05
4/18/2020,3.48E-05
4/19/2020,3.71E-05
4/20/2020,3.57E-05
4/21/2020,2.98E-05
4/22/2020,2.91E-05
4/23/2020,1.51E-05
4/24/2020,2.37E-05
4/25/2020,3.39E-05
4/26/2020,3.01E-05
4/27/2020,2.67E-05
4/28/2020,2.54E-05
4/29/2020,2.60E-05
4/30/2020,3.26E-05
5/1/2020,3.65E-05
5/2/2020,4.04E-05
5/3/2020,1.17E-05
5/4/2020,1.06E-05
5/5/2020,1.37E-05
5/6/2020,1.30E-05
5/7/2020,6.52E-06
5/8/2020,1.09E-05
5/9/2020,1.02E-05
5/10/2020,1.33E-05
5/11/2020,1.65E-05
5/12/2020,7.67E-06
5/13/2020,5.95E-06
5/14/2020,9.04E-06
5/15/2020,7.32E-06
5/16/2020,6.64E-06
5/17/2020,1.30E-05
5/18/2020,1.02E-05
5/19/2020,3.89E-06
5/20/2020,1.14E-05
5/21/2020,9.84E-06
5/22/2020,1.20E-05
5/23/2020,7.78E-06
5/24/2020,7.67E-06
5/25/2020,3.89E-06
5/26/2020,3.89E-06
5/27/2020,5.49E-06
5/28/2020,2.86E-06
5/29/2020,6.18E-06
5/30/2020,3.09E-06
5/31/2020,3.55E-06
6/1/2020,2.06E-06
6/2/2020,2.75E-06
6/3/2020,7.90E-06
6/4/2020,5.49E-06
6/5/2020,1.10E-05
6/6/2020,8.47E-06
6/7/2020,9.38E-06
6/8/2020,8.35E-06
6/9/2020,7.90E-06
6/10/2020,7.55E-06
6/11/2020,8.13E-06
6/12/2020,8.35E-06
6/13/2020,8.70E-06
6/14/2020,6.75E-06
6/15/2020,6.52E-06
6/16/2020,6.75E-06
6/17/2020,1.10E-05
6/18/2020,1.08E-05
6/19/2020,1.06E-05
6/20/2020,1.08E-05
6/21/2020,1.04E-05
6/22/2020,1.10E-05
6/23/2020,1.17E-05
6/24/2020,1.64E-05
6/25/2020,1.57E-05
6/26/2020,2.21E-05
6/27/2020,2.60E-05
6/28/2020,2.91E-05
6/29/2020,2.77E-05
6/30/2020,3.16E-05
7/1/2020,3.11E-05
7/2/2020,4.11E-05
7/3/2020,3.54E-05
7/4/2020,3.72E-05
7/5/2020,3.46E-05
7/6/2020,3.31E-05
7/7/2020,3.42E-05
7/8/2020,4.09E-05
7/9/2020,3.04E-05
7/10/2020,4.42E-05
7/11/2020,3.95E-05
7/12/2020,3.28E-05
7/13/2020,3.19E-05
7/14/2020,3.94E-05
7/15/2020,4.02E-05
7/16/2020,4.38E-05
7/17/2020,4.49E-05
7/18/2020,4.45E-05
7/19/2020,4.53E-05
7/20/2020,4.11E-05
7/21/2020,4.03E-05
7/22/2020,4.88E-05
7/23/2020,4.72E-05
7/24/2020,4.68E-05
7/25/2020,7.36E-05
7/26/2020,0.000100488
7/27/2020,4.70E-05
7/28/2020,4.34E-05
7/29/2020,4.26E-05
7/30/2020,3.67E-05
7/31/2020,3.88E-05
8/1/2020,3.78E-05
