,Date,New_cases
0,3/14/2020,1.26E-06
1,3/15/2020,1.26E-06
2,3/16/2020,2.29E-07
3,3/17/2020,1.03E-06
4,3/18/2020,1.72E-06
5,3/19/2020,1.95E-06
6,3/20/2020,1.60E-06
7,3/21/2020,3.66E-06
8,3/22/2020,4.12E-06
9,3/23/2020,5.84E-06
10,3/24/2020,3.09E-06
11,3/25/2020,6.18E-06
12,3/26/2020,9.27E-06
13,3/27/2020,8.35E-06
14,3/28/2020,8.13E-06
15,3/29/2020,1.50E-05
16,3/30/2020,9.38E-06
17,3/31/2020,5.04E-06
18,4/1/2020,1.32E-05
19,4/2/2020,1.83E-05
20,4/3/2020,1.27E-05
21,4/4/2020,3.49E-05
22,4/5/2020,1.69E-05
23,4/6/2020,3.25E-05
24,4/7/2020,3.34E-05
25,4/8/2020,2.83E-05
26,4/9/2020,2.51E-05
27,4/10/2020,2.30E-05
28,4/11/2020,2.72E-05
29,4/12/2020,3.15E-05
30,4/13/2020,2.86E-05
31,4/14/2020,4.85E-05
32,4/15/2020,4.70E-05
33,4/16/2020,4.67E-05
34,4/17/2020,5.09E-05
35,4/18/2020,4.26E-05
36,4/19/2020,3.48E-05
37,4/20/2020,3.71E-05
38,4/21/2020,3.57E-05
39,4/22/2020,2.98E-05
40,4/23/2020,2.56E-05
41,4/24/2020,1.85E-05
42,4/25/2020,2.37E-05
43,4/26/2020,3.39E-05
44,4/27/2020,3.01E-05
45,4/28/2020,2.67E-05
46,4/29/2020,2.54E-05
47,4/30/2020,2.60E-05
48,5/1/2020,3.26E-05
49,5/2/2020,2.24E-05
50,5/3/2020,1.80E-05
51,5/4/2020,1.17E-05
52,5/5/2020,1.06E-05
53,5/6/2020,1.37E-05
54,5/7/2020,1.30E-05
55,5/8/2020,6.52E-06
56,5/9/2020,1.09E-05
57,5/10/2020,1.02E-05
58,5/11/2020,9.38E-06
59,5/12/2020,7.10E-06
60,5/13/2020,7.67E-06
61,5/14/2020,5.95E-06
62,5/15/2020,9.04E-06
63,5/16/2020,7.32E-06
64,5/17/2020,6.64E-06
65,5/18/2020,1.30E-05
66,5/19/2020,1.02E-05
67,5/20/2020,3.89E-06
68,5/21/2020,1.14E-05
69,5/22/2020,9.84E-06
70,5/23/2020,1.20E-05
71,5/24/2020,7.78E-06
72,5/25/2020,7.67E-06
73,5/26/2020,3.89E-06
74,5/27/2020,3.89E-06
75,5/28/2020,5.49E-06
76,5/29/2020,2.86E-06
77,5/30/2020,6.18E-06
78,5/31/2020,3.09E-06
79,6/1/2020,3.55E-06
80,6/2/2020,2.06E-06
81,6/3/2020,2.75E-06
82,6/4/2020,7.90E-06
83,6/5/2020,5.49E-06
84,6/6/2020,1.10E-05
85,6/7/2020,8.47E-06
86,6/8/2020,9.38E-06
87,6/9/2020,8.35E-06
88,6/10/2020,7.90E-06
89,6/11/2020,7.55E-06
90,6/12/2020,8.13E-06
91,6/13/2020,8.35E-06
92,6/14/2020,8.70E-06
93,6/15/2020,6.75E-06
94,6/16/2020,6.52E-06
95,6/17/2020,6.75E-06
96,6/18/2020,1.10E-05
97,6/19/2020,1.08E-05
98,6/20/2020,1.06E-05
99,6/21/2020,1.08E-05
100,6/22/2020,1.04E-05
101,6/23/2020,1.10E-05
102,6/24/2020,1.17E-05
103,6/25/2020,1.64E-05
104,6/26/2020,1.57E-05
105,6/27/2020,2.21E-05
106,6/28/2020,2.60E-05
107,6/29/2020,2.91E-05
108,6/30/2020,2.77E-05
109,7/1/2020,3.16E-05
110,7/2/2020,3.11E-05
111,7/3/2020,4.11E-05
112,7/4/2020,3.54E-05
113,7/5/2020,3.72E-05
114,7/6/2020,3.46E-05
115,7/7/2020,3.31E-05
116,7/8/2020,3.42E-05
117,7/9/2020,4.09E-05
118,7/10/2020,3.04E-05
119,7/11/2020,4.42E-05
120,7/12/2020,3.95E-05
121,7/13/2020,3.28E-05
122,7/14/2020,3.19E-05
123,7/15/2020,3.94E-05
124,7/16/2020,4.02E-05
125,7/17/2020,4.38E-05
126,7/18/2020,4.49E-05
127,7/19/2020,4.45E-05
128,7/20/2020,4.53E-05
129,7/21/2020,4.11E-05
130,7/22/2020,4.03E-05
131,7/23/2020,4.88E-05
132,7/24/2020,4.72E-05
133,7/25/2020,4.68E-05
134,7/26/2020,4.70E-05
135,7/27/2020,5.34E-05
136,7/28/2020,4.70E-05
137,7/29/2020,4.34E-05
