date,new_cases
2/25/2020,1.16E-07
2/26/2020,4.62E-07
2/27/2020,8.09E-07
2/28/2020,9.82E-07
2/29/2020,1.16E-06
3/1/2020,1.04E-06
3/2/2020,1.73E-06
3/3/2020,1.62E-06
3/4/2020,3.93E-06
3/5/2020,2.77E-06
3/6/2020,1.16E-05
3/7/2020,6.24E-06
3/8/2020,7.97E-06
3/9/2020,4.28E-06
3/10/2020,1.35E-05
3/11/2020,1.86E-05
3/12/2020,3.74E-05
3/13/2020,5.63E-05
3/14/2020,2.54E-05
3/15/2020,9.72E-05
3/16/2020,7.75E-05
3/17/2020,5.78E-05
3/18/2020,3.79E-05
3/19/2020,0.000120976
3/20/2020,0.00014085
3/21/2020,0.000148013
3/22/2020,0.000103875
3/23/2020,0.000152635
3/24/2020,0.00012502
3/25/2020,0.000117856
3/26/2020,0.000105608
3/27/2020,0.000129064
3/28/2020,0.000132646
3/29/2020,8.70E-05
3/30/2020,0.000126291
3/31/2020,7.89E-05
4/1/2020,0.000134379
4/2/2020,0.000122362
4/3/2020,9.00E-05
4/4/2020,0.000103875
4/5/2020,6.87E-05
4/6/2020,6.44E-05
4/7/2020,6.89E-05
4/8/2020,0.000118665
4/9/2020,8.91E-05
4/10/2020,5.78E-05
4/11/2020,6.42E-05
4/12/2020,3.56E-05
4/13/2020,3.15E-05
4/14/2020,2.87E-05
4/15/2020,4.62E-05
4/16/2020,4.58E-05
4/17/2020,4.00E-05
4/18/2020,3.77E-05
4/19/2020,3.88E-05
4/20/2020,2.36E-05
4/21/2020,1.37E-05
4/22/2020,2.37E-05
4/23/2020,2.63E-05
4/24/2020,2.09E-05
4/25/2020,2.51E-05
4/26/2020,1.93E-05
4/27/2020,1.19E-05
4/28/2020,1.16E-05
4/29/2020,1.65E-05
4/30/2020,2.07E-05
5/1/2020,1.37E-05
5/2/2020,1.29E-05
5/3/2020,1.02E-05
5/4/2020,8.78E-06
5/5/2020,3.24E-06
5/6/2020,5.89E-06
5/7/2020,7.63E-06
5/8/2020,9.36E-06
5/9/2020,5.08E-06
5/10/2020,6.24E-06
5/11/2020,4.51E-06
5/12/2020,4.16E-06
5/13/2020,3.81E-06
5/14/2020,5.78E-06
5/15/2020,5.89E-06
5/16/2020,6.70E-06
5/17/2020,1.73E-06
5/18/2020,1.16E-06
5/19/2020,2.43E-06
5/20/2020,4.62E-06
5/21/2020,4.16E-06
5/22/2020,1.50E-06
5/23/2020,2.08E-06
5/24/2020,1.27E-06
5/25/2020,1.16E-06
5/26/2020,1.73E-06
5/27/2020,1.73E-06
5/28/2020,2.31E-06
5/29/2020,3.70E-06
5/30/2020,1.96E-06
5/31/2020,1.96E-06
6/1/2020,1.04E-06
6/2/2020,3.47E-07
6/3/2020,2.20E-06
6/4/2020,2.31E-06
6/5/2020,2.66E-06
6/6/2020,2.31E-06
6/7/2020,1.04E-06
6/8/2020,8.09E-07
6/9/2020,1.85E-06
6/10/2020,2.66E-06
6/11/2020,3.81E-06
6/12/2020,2.20E-06
6/13/2020,3.58E-06
6/14/2020,2.66E-06
6/15/2020,1.62E-06
6/16/2020,2.66E-06
6/17/2020,3.81E-06
6/18/2020,1.50E-06
6/19/2020,4.04E-06
6/20/2020,9.24E-07
6/21/2020,5.66E-06
6/22/2020,2.08E-06
6/23/2020,2.54E-06
6/24/2020,5.08E-06
6/25/2020,6.01E-06
6/26/2020,6.70E-06
6/27/2020,7.97E-06
6/28/2020,7.16E-06
6/29/2020,4.04E-06
6/30/2020,7.16E-06
7/1/2020,1.58E-05
7/2/2020,1.34E-05
7/3/2020,1.55E-05
7/4/2020,1.12E-05
7/5/2020,8.09E-06
7/6/2020,5.43E-06
7/7/2020,6.24E-06
7/8/2020,1.49E-05
7/9/2020,1.02E-05
7/10/2020,1.20E-05
7/11/2020,1.47E-05
7/12/2020,7.63E-06
7/13/2020,7.28E-06
7/14/2020,8.09E-06
7/15/2020,1.53E-05
7/16/2020,1.64E-05
7/17/2020,1.06E-05
7/18/2020,1.27E-05
7/19/2020,1.14E-05
7/20/2020,4.97E-06
7/21/2020,1.25E-05
7/22/2020,1.63E-05
7/23/2020,1.35E-05
7/24/2020,1.78E-05
7/25/2020,1.71E-05
7/26/2020,1.27E-05
7/27/2020,7.51E-06
7/28/2020,1.53E-05
7/29/2020,2.23E-05
7/30/2020,2.54E-05
7/31/2020,2.43E-05
8/1/2020,2.08E-05
8/2/2020,1.59E-05
8/3/2020,7.63E-06
8/4/2020,1.50E-05
8/5/2020,2.09E-05
8/6/2020,2.09E-05
8/7/2020,1.86E-05
8/8/2020,2.10E-05
8/9/2020,1.76E-05
8/10/2020,1.21E-05
8/11/2020,2.16E-05
8/12/2020,3.17E-05
8/13/2020,2.70E-05
8/14/2020,3.10E-05
8/15/2020,2.92E-05
8/16/2020,2.31E-05
8/17/2020,1.48E-05
8/18/2020,2.28E-05
8/19/2020,3.59E-05
8/20/2020,3.07E-05
8/21/2020,3.54E-05
8/22/2020,3.41E-05
8/23/2020,3.19E-05
8/24/2020,1.81E-05
8/25/2020,2.33E-05
8/26/2020,4.43E-05
8/27/2020,4.17E-05
8/28/2020,3.93E-05
8/29/2020,4.34E-05
8/30/2020,3.37E-05
8/31/2020,1.88E-05
9/1/2020,2.50E-05
9/2/2020,4.28E-05
9/3/2020,4.21E-05
9/4/2020,4.68E-05
