date,new_cases
1/31/2020,2.95E-08
2/1/2020,0
2/2/2020,0
2/3/2020,8.84E-08
2/4/2020,0
2/5/2020,1.47E-08
2/6/2020,0
2/7/2020,0
2/8/2020,5.89E-08
2/9/2020,1.47E-08
2/10/2020,0
2/11/2020,1.47E-08
2/12/2020,1.47E-08
2/13/2020,1.47E-08
2/14/2020,1.47E-08
2/15/2020,0
2/16/2020,0
2/17/2020,1.47E-08
2/18/2020,0
2/19/2020,1.47E-08
2/20/2020,2.95E-08
2/21/2020,1.47E-08
2/22/2020,0
2/23/2020,7.37E-08
2/24/2020,2.95E-08
2/25/2020,5.89E-08
2/26/2020,4.42E-08
2/27/2020,1.03E-07
2/28/2020,1.77E-07
2/29/2020,7.37E-08
3/1/2020,4.86E-07
3/2/2020,5.89E-07
3/3/2020,8.10E-07
3/4/2020,8.40E-07
3/5/2020,7.22E-07
3/6/2020,1.16E-06
3/7/2020,8.10E-07
3/8/2020,7.95E-07
3/9/2020,2.17E-06
3/10/2020,3.82E-06
3/11/2020,6.07E-06
3/12/2020,7.20E-06
3/13/2020,7.07E-06
3/14/2020,5.36E-06
3/15/2020,6.53E-06
3/16/2020,9.06E-06
3/17/2020,1.13E-05
3/18/2020,1.48E-05
3/19/2020,1.57E-05
3/20/2020,1.85E-05
3/21/2020,1.79E-05
3/22/2020,2.05E-05
3/23/2020,3.46E-05
3/24/2020,3.51E-05
3/25/2020,4.00E-05
3/26/2020,4.61E-05
3/27/2020,4.79E-05
3/28/2020,4.19E-05
3/29/2020,4.26E-05
3/30/2020,6.37E-05
3/31/2020,6.68E-05
4/1/2020,7.33E-05
4/2/2020,7.26E-05
4/3/2020,7.34E-05
4/4/2020,6.00E-05
4/5/2020,5.38E-05
4/6/2020,7.83E-05
4/7/2020,8.08E-05
4/8/2020,7.61E-05
4/9/2020,7.23E-05
4/10/2020,6.43E-05
4/11/2020,5.32E-05
4/12/2020,5.21E-05
4/13/2020,6.19E-05
4/14/2020,6.40E-05
4/15/2020,7.51E-05
4/16/2020,7.87E-05
4/17/2020,7.35E-05
4/18/2020,6.98E-05
4/19/2020,5.69E-05
4/20/2020,7.17E-05
4/21/2020,7.03E-05
4/22/2020,8.11E-05
4/23/2020,7.61E-05
4/24/2020,7.34E-05
4/25/2020,5.54E-05
4/26/2020,5.12E-05
4/27/2020,6.93E-05
4/28/2020,6.96E-05
4/29/2020,8.03E-05
4/30/2020,7.31E-05
5/1/2020,6.97E-05
5/2/2020,4.76E-05
5/3/2020,4.39E-05
5/4/2020,4.98E-05
5/5/2020,5.43E-05
5/6/2020,5.65E-05
5/7/2020,5.55E-05
5/8/2020,4.50E-05
5/9/2020,3.17E-05
5/10/2020,3.42E-05
5/11/2020,5.29E-05
5/12/2020,5.00E-05
5/13/2020,4.86E-05
5/14/2020,3.86E-05
5/15/2020,3.71E-05
5/16/2020,3.05E-05
5/17/2020,2.69E-05
5/18/2020,3.80E-05
5/19/2020,4.50E-05
5/20/2020,3.99E-05
5/21/2020,3.76E-05
5/22/2020,3.01E-05
5/23/2020,2.22E-05
5/24/2020,2.00E-05
5/25/2020,2.38E-05
5/26/2020,2.44E-05
5/27/2020,2.66E-05
5/28/2020,2.56E-05
5/29/2020,2.22E-05
5/30/2020,1.63E-05
5/31/2020,1.58E-05
6/1/2020,2.13E-05
6/2/2020,2.17E-05
6/3/2020,1.99E-05
6/4/2020,1.82E-05
6/5/2020,1.64E-05
6/6/2020,1.17E-05
6/7/2020,1.06E-05
6/8/2020,1.61E-05
6/9/2020,1.71E-05
6/10/2020,1.75E-05
6/11/2020,1.48E-05
6/12/2020,1.55E-05
6/13/2020,1.31E-05
6/14/2020,1.19E-05
6/15/2020,1.52E-05
6/16/2020,1.60E-05
6/17/2020,1.47E-05
6/18/2020,1.50E-05
6/19/2020,1.45E-05
6/20/2020,9.81E-06
6/21/2020,9.19E-06
6/22/2020,1.31E-05
6/23/2020,1.30E-05
6/24/2020,1.14E-05
6/25/2020,1.03E-05
6/26/2020,9.41E-06
6/27/2020,9.34E-06
6/28/2020,6.00E-06
6/29/2020,9.13E-06
6/30/2020,5.95E-06
7/1/2020,9.28E-07
7/2/2020,8.84E-08
7/3/2020,7.39E-06
7/4/2020,9.21E-06
7/5/2020,7.65E-06
7/6/2020,5.29E-06
7/7/2020,8.60E-06
7/8/2020,9.38E-06
7/9/2020,9.47E-06
7/10/2020,7.72E-06
7/11/2020,1.22E-05
7/12/2020,9.57E-06
7/13/2020,7.91E-06
7/14/2020,1.83E-05
7/15/2020,7.93E-06
7/16/2020,9.53E-06
7/17/2020,1.01E-05
7/18/2020,1.22E-05
7/19/2020,1.07E-05
7/20/2020,8.63E-06
7/21/2020,6.56E-06
7/22/2020,8.29E-06
7/23/2020,1.15E-05
7/24/2020,1.13E-05
7/25/2020,1.13E-05
7/26/2020,1.10E-05
7/27/2020,1.01E-05
7/28/2020,8.15E-06
7/29/2020,1.18E-05
7/30/2020,1.25E-05
7/31/2020,1.30E-05
8/1/2020,1.13E-05
8/2/2020,1.10E-05
8/3/2020,1.39E-05
8/4/2020,9.94E-06
8/5/2020,1.33E-05
8/6/2020,1.42E-05
8/7/2020,1.33E-05
8/8/2020,1.13E-05
8/9/2020,1.64E-05
8/10/2020,1.20E-05
8/11/2020,1.69E-05
8/12/2020,1.53E-05
8/13/2020,1.69E-05
8/14/2020,2.15E-05
8/15/2020,1.53E-05
8/16/2020,1.64E-05
8/17/2020,1.06E-05
8/18/2020,1.64E-05
8/19/2020,1.22E-05
8/20/2020,1.76E-05
8/21/2020,1.56E-05
8/22/2020,1.96E-05
8/23/2020,1.54E-05
8/24/2020,1.44E-05
