,Date,New_cases
0,3/8/2020,1.22E-06
1,3/9/2020,1.00E-06
2,3/10/2020,8.10E-07
3,3/11/2020,2.18E-06
4,3/12/2020,3.90E-06
5,3/13/2020,5.94E-06
6,3/14/2020,7.13E-06
7,3/15/2020,7.04E-06
8,3/16/2020,5.19E-06
9,3/17/2020,6.50E-06
10,3/18/2020,8.87E-06
11,3/19/2020,1.15E-05
12,3/20/2020,1.45E-05
13,3/21/2020,1.53E-05
14,3/22/2020,1.85E-05
15,3/23/2020,1.74E-05
16,3/24/2020,2.00E-05
17,3/25/2020,3.37E-05
18,3/26/2020,3.47E-05
19,3/27/2020,3.93E-05
20,3/28/2020,4.48E-05
21,3/29/2020,4.65E-05
22,3/30/2020,4.09E-05
23,3/31/2020,4.15E-05
24,4/1/2020,6.18E-05
25,4/2/2020,6.57E-05
26,4/3/2020,7.20E-05
27,4/4/2020,7.11E-05
28,4/5/2020,7.15E-05
29,4/6/2020,5.86E-05
30,4/7/2020,5.24E-05
31,4/8/2020,7.77E-05
32,4/9/2020,8.07E-05
33,4/10/2020,7.58E-05
34,4/11/2020,7.18E-05
35,4/12/2020,6.37E-05
36,4/13/2020,5.28E-05
37,4/14/2020,5.17E-05
38,4/15/2020,6.19E-05
39,4/16/2020,6.39E-05
40,4/17/2020,7.47E-05
41,4/18/2020,7.80E-05
42,4/19/2020,7.33E-05
43,4/20/2020,6.99E-05
44,4/21/2020,5.72E-05
45,4/22/2020,6.54E-05
46,4/23/2020,7.06E-05
47,4/24/2020,8.13E-05
48,4/25/2020,7.61E-05
49,4/26/2020,7.31E-05
50,4/27/2020,5.53E-05
51,4/28/2020,5.12E-05
52,4/29/2020,6.98E-05
53,4/30/2020,6.95E-05
54,5/1/2020,8.00E-05
55,5/2/2020,7.31E-05
56,5/3/2020,7.02E-05
57,5/4/2020,4.80E-05
58,5/5/2020,4.42E-05
59,5/6/2020,5.01E-05
60,5/7/2020,5.43E-05
61,5/8/2020,5.64E-05
62,5/9/2020,5.58E-05
63,5/10/2020,4.51E-05
64,5/11/2020,3.20E-05
65,5/12/2020,3.44E-05
66,5/13/2020,5.32E-05
67,5/14/2020,5.02E-05
68,5/15/2020,4.91E-05
69,5/16/2020,3.87E-05
70,5/17/2020,3.73E-05
71,5/18/2020,3.07E-05
72,5/19/2020,2.71E-05
73,5/20/2020,3.80E-05
74,5/21/2020,4.51E-05
75,5/22/2020,4.01E-05
76,5/23/2020,3.78E-05
77,5/24/2020,3.03E-05
78,5/25/2020,2.26E-05
79,5/26/2020,2.02E-05
80,5/27/2020,2.39E-05
81,5/28/2020,3.05E-05
82,5/29/2020,2.69E-05
83,5/30/2020,2.59E-05
84,5/31/2020,2.26E-05
85,6/1/2020,1.67E-05
86,6/2/2020,1.59E-05
87,6/3/2020,2.12E-05
88,6/4/2020,2.20E-05
89,6/5/2020,2.02E-05
90,6/6/2020,1.84E-05
91,6/7/2020,1.65E-05
92,6/8/2020,1.18E-05
93,6/9/2020,1.06E-05
94,6/10/2020,1.62E-05
95,6/11/2020,1.72E-05
96,6/12/2020,1.76E-05
97,6/13/2020,1.49E-05
98,6/14/2020,1.55E-05
99,6/15/2020,1.31E-05
100,6/16/2020,1.22E-05
101,6/17/2020,1.54E-05
102,6/18/2020,1.62E-05
103,6/19/2020,1.50E-05
104,6/20/2020,1.51E-05
105,6/21/2020,1.46E-05
106,6/22/2020,1.01E-05
107,6/23/2020,9.37E-06
108,6/24/2020,1.32E-05
109,6/25/2020,1.30E-05
110,6/26/2020,1.14E-05
111,6/27/2020,1.07E-05
112,6/28/2020,9.81E-06
113,6/29/2020,9.62E-06
114,6/30/2020,6.61E-06
115,7/1/2020,1.07E-05
116,7/2/2020,9.18E-06
117,7/3/2020,9.60E-06
118,7/4/2020,8.93E-06
119,7/5/2020,8.37E-06
120,7/6/2020,5.88E-06
121,7/7/2020,8.22E-06
122,7/8/2020,1.05E-05
123,7/9/2020,8.97E-06
124,7/10/2020,1.05E-05
125,7/11/2020,1.06E-05
126,7/12/2020,8.37E-06
127,7/13/2020,6.75E-06
128,7/14/2020,5.39E-06
129,7/15/2020,1.09E-05
130,7/16/2020,1.04E-05
131,7/17/2020,1.14E-05
132,7/18/2020,1.05E-05
133,7/19/2020,8.57E-06
134,7/20/2020,7.44E-06
135,7/21/2020,6.60E-06
136,7/22/2020,1.22E-05
137,7/23/2020,1.16E-05
138,7/24/2020,1.20E-05
139,7/25/2020,1.19E-05
140,7/26/2020,1.14E-05
141,7/27/2020,7.81E-06
142,7/28/2020,8.29E-06
143,7/29/2020,1.28E-05
144,7/30/2020,1.26E-05
145,7/31/2020,1.56E-05
146,8/1/2020,1.39E-05
147,8/2/2020,1.03E-05
148,8/3/2020,8.23E-06
149,8/4/2020,8.31E-06
150,8/5/2020,1.56E-05
151,8/6/2020,1.57E-05
152,8/7/2020,1.61E-05
153,8/8/2020,1.63E-05
154,8/9/2020,1.43E-05
155,8/10/2020,1.05E-05
156,8/11/2020,9.24E-06
157,8/12/2020,2.21E-05
158,8/13/2020,2.03E-05
159,8/14/2020,1.83E-05
160,8/15/2020,1.70E-05
161,8/16/2020,1.75E-05
162,8/17/2020,1.05E-05
163,8/18/2020,8.87E-06
164,8/19/2020,1.91E-05
165,8/20/2020,1.64E-05
166,8/21/2020,1.89E-05
167,8/22/2020,2.21E-05
168,8/23/2020,1.79E-05
169,8/24/2020,1.24E-05
170,8/25/2020,1.22E-05
171,8/26/2020,1.91E-05
172,8/27/2020,1.87E-05
173,8/28/2020,2.04E-05
174,8/29/2020,2.34E-05
