beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
0.5578391837419713,0.2196714224321088,0.4993284978534108,0.007741403008934852,5.5363308808957,0.216039624830679,979.5048148491463,0.05428331912822518,-56.63657379716602,2.2001268991038833e-05,0.06999810756752936,1.1005810120092714e-05,1.435789507050789e-09,0.21062926200149196
0.24329908914126533,0.11973053887093343,0.21373797164943956,0.005181057305182874,3.449765199328164,0.6271522528232178,391.94185413818894,0.0806546478705162,-58.97128319782723,0.0001855452500837645,0.0910189160755066,3.1150163516066164e-05,1.8141118437602942e-09,0.2106136404563337
0.323785213700332,0.18262036432557072,0.2898350065244051,0.008462403704851828,8.019362428006378,0.22401678301461778,3926.3513568642265,0.15346713633426323,-68.9242054472413,0.00014165919615604467,0.0509070565078157,7.28931635351128e-05,1.855967857605247e-09,0.21062930332810137
0.5210649942667155,0.18754953475792335,0.48007437734505976,0.006614992973501167,2.932161463034151,0.4660493364076843,828.3788192659492,0.13645230135259184,-71.18250052625262,7.66838560126811e-05,0.052545021624044896,4.039072199383819e-05,2.1075950965983927e-09,0.21062904890805148
0.2154492488496783,0.2357403786196276,0.18227037341563335,0.0021295456573656468,3.2251131067922785,0.2883808210106746,279.8074325339867,0.11143574001417994,-99.01093176438255,7.769222938127198e-05,0.07318526728470294,3.839147785777043e-05,2.2537147244742034e-09,0.21054069226527478
0.3615047521412439,0.38237278382692486,0.3246255319557183,0.007267999257848113,6.145900733759247,0.6071794380795518,2112.333533918896,0.1750176872119372,-46.85345006701941,4.721983921566004e-05,0.08679603859931552,1.3617436109878486e-05,2.2730917571955736e-09,0.21062930331201365
0.16432011353555698,0.26498206229410703,0.14819973880135084,0.006286643403462693,6.853945839278083,0.6056983720788282,780.8319776891042,0.062144480079109714,-60.918436134781615,0.0001939226021767728,0.034568821145075056,2.262866985118245e-05,2.307177423551705e-09,0.2106290114318163
0.38853060498804415,0.07830562235385796,0.3659880935515061,0.0002652034600924902,1.8765157385721412,0.3745400588167239,4218.760193293484,0.05456882349368111,-116.3375880749725,4.0942866469518295e-05,0.06148252107905411,8.53329191041371e-06,2.3449240737897916e-09,0.21059366840617857
0.400453127505876,0.34283150430550224,0.38389452181282824,0.00702661801654538,8.229668804488563,0.28306981996489566,3719.220144288286,0.06841752143129767,-56.5001989558248,0.0001096000869742115,0.061109608915168624,4.864456011150595e-06,2.43742870237796e-09,0.21062930330882385
0.18452684020750906,0.2553620851853955,0.15928805778177027,0.008112093038158425,9.871768420035135,0.6897142133486607,2339.1380666236364,0.015978730495600037,-59.11116765468849,5.405320266797384e-05,0.05939637560998462,2.4245073023286866e-05,2.485276164677843e-09,0.21062930333708021
0.31358836392736544,0.8001952835421221,0.18606795465141507,0.009385151863509413,7.07497672338854,0.6783642806856035,3327.582377774083,0.1368689649441391,-79.66900606565025,5.2206052484712256e-05,0.046781678618379285,1.128399701231398e-05,2.5266835955603576e-09,0.21062930343295816
0.3331741103434298,0.4816251424028999,0.32064183134076296,0.005214040204151132,8.877870868581946,0.6790569318974835,1263.0644631538196,0.0654644895625888,-54.45088368967542,3.170332933231783e-05,0.07442821628283068,9.88987758924501e-05,2.5875819219645814e-09,0.21062918345118886
0.4504592425032333,0.3294673992020489,0.43110467469581804,0.0022855104487686816,8.69364918750829,0.6416940628356466,1914.3481604687313,0.004528131957139503,-65.25445295576739,0.00010511168092356813,0.06814201396045301,6.936900608936494e-05,2.5961913148436948e-09,0.21062828266245046
0.3118026958431871,0.8899128734048771,0.23577130693047277,0.002267297099639378,8.385836779655655,0.46343494987948974,2935.230464226059,0.13330447177435573,-134.1616430240983,1.003974383906581e-05,0.04117773467795212,8.757121818370852e-05,2.5971539584438364e-09,0.2106292436066137
0.4216689479901158,0.3553473690805763,0.3629453600907451,0.0023525934551026696,6.985573773170367,0.7194911134492897,2071.287875332713,0.04926467759183633,-82.80485468227647,0.00021116311000721007,0.048946077096840956,8.89760580259814e-05,2.6140956500398723e-09,0.21062885002604634
0.29196428055946166,0.4697877740092268,0.22715108547269441,0.004323124480315867,1.9420822762458285,0.6854637897736959,583.001106384604,0.062183228713346805,-82.66055509511614,0.00013571299010785385,0.003274789876734974,1.7978872026529074e-05,2.6181663893597962e-09,0.21062898095893082
0.3530865909480244,0.0401561375406595,0.3519589270526221,0.0045537933905926906,8.661842026926049,0.6181347903341516,3533.960162593641,0.17891699062342142,-87.70079126696464,5.502879535717391e-05,0.09825099381791197,0.00010301585079968618,2.618325073768232e-09,0.21062930330764862
0.21696790298025662,0.8107011473867005,0.13317020410873392,0.001524170689663037,5.400687312238839,0.2660030343191673,1244.7182890959054,0.05250757671400055,-82.02538079302334,4.150200068772302e-05,0.053735476786380604,0.00010573636414653535,2.6224690743541916e-09,0.2106188203549078
0.23752988421466262,0.6598349703085832,0.18024127546588012,0.007376558657013388,7.205403760846771,0.5249294009052068,1854.3996856321571,0.03630470143356817,-77.29506302384388,7.887633656401412e-05,0.05663998715613058,4.41239753674575e-05,2.6274848241475945e-09,0.2106293032359774
0.4449530013609768,0.28102245684135585,0.45468403722851847,0.004084104468953373,8.588915815411578,0.1703189649192528,3473.4323807070477,0.04778096369075333,-59.07952726899839,0.00012504716154656073,0.060292162795866494,1.4866176931409478e-05,2.6384652839191416e-09,0.2106293032042624
