beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Weights
0.3536436132860573,0.06959243075070076,0.3422945522324335,0.0036710633702174,1.1635216953604801,0.22272764793184432,3509.9952489942875,0.0044382597764093925,-64.25164881900078,0.00011720205205576426,0.16012017306997195,5.975646743762064e-05,1.1830879989404725e-09,0.001
0.17119470969621775,0.2643786984364165,0.15315704417011988,0.000975976089097974,1.8906523006271572,0.40712815760745413,3583.7048607613197,0.1230985553358885,-55.42783218719745,0.0001233329417435934,0.5501330123490895,5.717935374961015e-05,1.4150855462210433e-09,0.001
0.38411759871141204,0.22635892597803486,0.3351781865889788,0.004823370023335494,6.605596543435311,0.6780296207901402,4337.845488348526,0.0904143044843313,-70.26716452711575,9.240782407446703e-05,0.4307150084438467,5.0706019695933204e-05,1.5205236829779212e-09,0.001
0.1874436613169614,0.5613427402206276,0.16547815327038068,0.0019605568282109478,9.537215311206205,0.236081417282371,1903.2885012120666,0.03135600002055936,-46.762115384583325,9.538697964863971e-05,0.5879920742730995,4.938768836570763e-05,1.8629072549616494e-09,0.001
0.201347621768291,0.573281403639628,0.19634592623687397,0.007172551998829542,4.147016518127793,0.6895614728184478,4102.149936908387,0.13015145045780693,-45.27398989132564,9.348685252489473e-05,0.3592807879950467,5.590346999440399e-05,1.92064596789057e-09,0.001
0.18692738014604676,0.3081212124325462,0.1606411820217704,0.0016999660387122496,2.9933232092755944,0.2597755750819689,2885.1365439382994,0.1839465997521078,-68.72348846351696,0.00011019541485196414,0.5040862245651556,2.4739392379831313e-06,1.9304151394328216e-09,0.001
0.23699133307829792,0.08803453984554566,0.2199827462111594,0.005217595212736078,6.013416830089523,0.7326392147906466,4714.877090215848,0.13079998537089166,-112.75561394978567,0.0001467337969301503,0.2761672836568747,3.773953662845658e-05,1.959707900004105e-09,0.001
0.425183974724363,0.044473966181467706,0.4194785658224567,0.0090876201846839,3.5601324163761365,0.40937188526874535,718.7294539024393,0.16918841405346594,-58.00835227425236,6.715412121408731e-05,0.8741078483145658,2.035661816357828e-05,2.0292887915832732e-09,0.001
0.3612547897579763,0.21450761686593844,0.3479191213125002,0.008549096141972865,7.86169121443413,0.39141182496935745,2156.4039833923475,0.1360711546623857,-60.69402975727063,0.00014234346708798013,0.47846980885121637,6.862619488426816e-05,2.17149855130589e-09,0.001
0.2983524563643646,0.8221664548648394,0.2343064334868708,0.009753126966936362,8.005599610473336,0.7400293294287379,174.3749615674641,0.09116132852268724,-62.16212242143283,1.3421943016677339e-05,0.0018788328686796252,6.442594647912857e-05,2.2887941650329716e-09,0.001
0.2723494208075059,0.10554562832075887,0.25819854845221546,0.008057154782299973,8.353053921471215,0.17586680623874507,2569.4581630612306,0.013676500264953307,-70.74732164214154,5.535174515701969e-05,0.6966804815459394,2.1668411174930316e-05,2.3481540835222752e-09,0.001
