beta,b,gamma,eta_0,phi,I0,Ii0,Error,Weights
0.23372737915590636,0.23054513620870043,0.13491279085390773,8.317353619517636,-75.07396264625916,2.8425533168618945e-05,2.4094835165005832e-06,3.7954429396949557e-10,0.001
0.29922250318812516,0.4815174944244588,0.1472661223058196,5.121827105525828,-70.24841312959234,1.8947042666506694e-05,1.517419092791638e-05,3.8075913617669747e-10,0.001
0.4267375927040846,0.11401420217557368,0.2937909681870733,2.483821172594216,-92.99005353209948,5.89542081787216e-06,6.135361617855152e-06,4.0815951335186897e-10,0.001
0.20736910290022312,0.24718748668645618,0.12131026788831548,3.3763572498640526,-105.03622502074072,2.806618629279478e-05,1.2537010442450348e-05,4.263939662482364e-10,0.001
0.3145163931956779,0.30508699882349755,0.1861012659085314,5.453795860965877,-66.85208849623329,3.010332673610814e-05,8.118410343113534e-06,4.44555961799152e-10,0.001
0.42495629911440636,0.11619597728288533,0.28491415275245047,7.629374251430507,-73.7279724682155,4.165874019873199e-06,2.7140831770202524e-06,4.731274745093049e-10,0.001
0.7027029318642816,0.2047031164773061,0.45914790996110966,9.938905606404429,-83.6236798310444,5.049280219069303e-06,3.235929711951217e-06,5.057006670909859e-10,0.001
0.5858528672033859,0.32777423196658284,0.34494709797931644,7.333311033063469,-71.48934350044817,2.045723144205335e-06,8.108806758956865e-06,5.109264845257331e-10,0.001
0.3977133291339465,0.0013608349545189968,0.2798814488752815,6.277841145221105,-58.59036630933237,1.5490613621114004e-06,1.5049129630255517e-05,5.111134171971006e-10,0.001
0.16920317772481736,0.022962814432807455,0.10751027351987284,3.292958893932703,-63.41165796359752,1.7516662382386987e-05,1.2193656734557971e-05,5.669510892315921e-10,0.001
0.28241476778902275,0.01629359945473663,0.20264252367192956,6.712622454904583,-46.36966812245582,2.7218212771668248e-05,1.1983161624274404e-05,5.928389502664649e-10,0.001
