beta,b,gamma,eta_0,phi,I0,Ii0,Error,Weights
0.4315211621230657,0.5657519075219434,0.2217485416189114,2.2694411853884833,-86.15541184557283,2.3278012157047795e-05,1.0964686234770328e-05,7.473864907509278e-11,0.001
0.5765870373888304,0.5558153708994314,0.35607819789631556,8.358850046878972,-73.3506148899568,2.3312006752802954e-05,5.398592067622162e-06,9.114248734803944e-11,0.001
0.41648959231393223,0.9591900806979432,0.1384013219214109,8.881899847616324,-79.31315298050029,8.531738689446308e-06,1.1810978946415986e-05,1.1190950304827464e-10,0.001
0.701567166410613,0.3641067722117557,0.47932910070964907,2.8324905155185904,-77.10171254531225,2.232072064916246e-05,4.395541134918904e-06,1.1386288901878318e-10,0.001
0.6440891871248147,0.6520260071971005,0.30859580646797846,4.114574577955713,-89.2995159932066,7.515590143144705e-06,1.018029512422209e-05,1.1578026438529902e-10,0.001
0.21337556921141046,0.8516030715614072,0.1135011063049797,1.031580899981954,-60.69834716534761,1.3334642687989753e-05,4.469028368603384e-06,1.2042332217662113e-10,0.001
0.28923574275600517,0.8667080008865613,0.19875442080402822,2.127600011391077,-53.35438517645454,1.681003923161278e-05,1.1991110917257946e-06,1.2298324236537948e-10,0.001
0.7084664865244757,0.32954378409655793,0.44592480760905695,5.378201631596067,-84.7478144557754,1.584898264989871e-05,6.312006804666796e-06,1.367750133307953e-10,0.001
0.27063249090534947,0.717055751074547,0.14175897128520348,1.8698565855707099,-72.999082049648,2.3207268459372652e-05,6.3798881058223776e-06,1.41995422393758e-10,0.001
0.32743020805436596,0.7444761104041798,0.20853061986145463,5.89308770968676,-54.38168123766391,1.0554216404769016e-05,6.211024906294411e-06,1.5095605747440512e-10,0.001
0.37929520687264506,0.7369091601397421,0.24956134363338534,3.596537323605425,-56.8358913382952,1.285213617941708e-05,1.3277225204390288e-06,1.5336832478777316e-10,0.001
0.5640704920421384,0.8478699040195181,0.25490498535923756,8.062236858893534,-80.60485350672654,1.2247165770091298e-05,2.5175227060082315e-06,1.5493365558338836e-10,0.001
0.6852229200531215,0.6047603790645542,0.3882694568548094,3.5785375833656525,-85.98139969428135,2.341232270552408e-05,8.987918747787459e-06,1.5587837392244392e-10,0.001
0.730703241197811,0.4594367677188551,0.46557800200559696,2.951887117926273,-83.1499936107366,1.7768955523288995e-05,3.389067195563992e-07,1.5782640695349158e-10,0.001
0.38956426677693956,0.9067620943636551,0.22157248723153367,7.788577778389797,-58.8166255177926,5.172756562298775e-06,9.15025755640801e-06,1.6275546294324343e-10,0.001
0.592794690567977,0.9914304797383965,0.1982126883838988,6.956708774059416,-90.7802734021913,1.0295934311840859e-05,5.323779110296237e-06,1.6456118144535746e-10,0.001
0.46562515922920356,0.5284197072179441,0.25500697386878884,9.198586291128295,-78.14111636836905,2.011511400938765e-05,8.275937659717379e-06,1.8038676527700877e-10,0.001
0.5694427140813706,0.4229552287199332,0.41198993676833684,5.088914655047931,-55.51911552189327,1.988974498292843e-05,9.505594958758615e-06,1.8173408410251816e-10,0.001
0.438280582435571,0.7328336714114972,0.2605712695898864,9.842050627759885,-62.97936926554769,1.8341473851610794e-05,1.053930316529433e-05,1.8930121195110909e-10,0.001
0.3330823687147292,0.49564352336420736,0.1744270511353371,1.4363126283034415,-83.85032694297574,1.9038600981995214e-05,4.469949920411521e-06,1.9414746118516278e-10,0.001
0.6909781011783225,0.3463184938299352,0.49201114572316273,8.83046839085041,-57.909882664563796,6.886386745865527e-06,5.098977654805232e-06,1.998938831981904e-10,0.001
