beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Weights
0.4526190273404537,0.983469214119799,0.25237783312034523,0.00629535559012221,6.458086375519654,0.7710037563811036,3201.5601243668407,0.0764532089416084,-72.38552808746849,1.4303727268987177e-07,0.5108222158333657,9.625622820443224e-06,1.770215225056337e-11,0.001
0.5219004238411323,0.4257247504465026,0.4160502010392225,0.005588477416628169,9.494915513349065,0.6878409792962115,4585.290102587277,0.11383600310919202,-80.4497841736205,1.827359668580093e-05,0.2596877203353849,5.844754795186901e-06,1.8936012494792126e-11,0.001
0.33990884102595254,0.24496774140981192,0.31071160012491955,0.00326561368628966,3.0669416097556965,0.20076032822173406,1499.384244515922,0.07941031006243898,-54.02733494010391,1.0132202986623623e-05,0.12288616422413323,8.817329653724606e-06,1.9731084175455824e-11,0.001
0.45441752033784366,0.21498025974969137,0.3825732740964606,0.0013426503748731888,4.971349605352462,0.16147818220974486,2061.8526427337683,0.11922638939237579,-82.22620899833858,4.281731909768417e-06,0.4197618827452628,1.1010188206619775e-05,2.0131130266806272e-11,0.001
0.20739025613171372,0.6630818221525084,0.12993519794998779,0.0076414745054493366,3.697665940509828,0.771526894651288,4896.2096151946425,0.15634034786020823,-80.60474332912854,2.0096759187052395e-05,0.31640626922021253,9.481226570358494e-06,2.0232217469412013e-11,0.001
0.5561575714350196,0.3982720222584727,0.421188039179188,0.0037066795078744973,1.662107934837497,0.7192988280441213,376.9229475608795,0.038425091307513905,-94.94020598430205,1.9961526984754236e-05,0.9410440258040274,1.267831361294142e-06,2.1221644323819168e-11,0.001
0.3074903621442846,0.23620803492135045,0.25116029513880067,0.005721477361226654,6.1450976530858075,0.6117780753702392,4424.1368281104915,0.12971738599999028,-80.26263665728729,8.608123786807954e-06,0.6026565758505981,6.694088730569737e-06,2.1336568938427332e-11,0.001
0.36666082024794855,0.9408712529638542,0.23918616322556052,0.005604391479974822,7.89753219690355,0.6174040145113708,3235.4201691183266,0.07107602572191943,-74.5683380893008,6.107487022982708e-06,0.14344971488535907,8.566395527790647e-07,2.187852645106597e-11,0.001
0.4436678769779435,0.46706907951985965,0.31051840138423886,0.004039170885760348,4.862628268565668,0.5805832531929873,1942.1331280324089,0.04387294145473959,-81.99087279003957,6.3646038774073055e-06,0.6864902557273497,9.913459899163521e-06,2.3070047330331407e-11,0.001
0.3003930436538388,0.2968679561554274,0.2788458821351721,0.009302359583052602,9.56266511119783,0.3115710530861577,1456.4337773683205,0.1983497625110815,-51.71317134263326,2.193334290397551e-05,0.3208348331776629,5.6889037398146026e-08,2.313793162178444e-11,0.001
0.46037040273137364,0.9369778858172031,0.3590951258101299,0.009334195383602358,5.757332243011605,0.3648796907319575,3502.5214987426175,0.010381342860566379,-68.28036644400244,1.4435936150522503e-06,0.05060542222322095,4.494149916494723e-06,2.3281162570111927e-11,0.001
0.555260208442665,0.4792345055068645,0.42048404299444897,0.009639353180669153,5.666122664152194,0.4574692952965861,1854.6494772380718,0.11564037118951148,-88.43872819815648,1.0520753205827863e-05,0.5036453212610661,4.354534755021339e-06,2.454842231261765e-11,0.001
0.2847601794983312,0.4873503088642097,0.18941635976581428,0.005410439198250484,5.932068920297635,0.5678147666590048,2661.518327070016,0.11713547537179825,-95.24629714993803,1.2414770703080438e-05,0.1190169372561719,2.1191158880476797e-06,2.5141818891645695e-11,0.001
0.19052066005276222,0.18216225600359026,0.16237364779082253,0.008225324473778413,1.3788575028218837,0.7301864175857903,689.4281095877013,0.01946910200975456,-53.97225570907342,9.248995308266317e-06,0.10228760672139747,2.4916248704647613e-06,2.5562648036954937e-11,0.001
0.47316073698996,0.31536786592800503,0.4657122593659434,0.00843029510408987,4.907449683911016,0.32198287296451455,2966.3270358710006,0.13966517540706358,-61.385708674985466,1.9310706622746654e-05,0.9595900110386997,1.0292604457083864e-05,2.5711081449069713e-11,0.001
0.27423335573034724,0.21551644571844752,0.24450451611400467,0.0023320713707638296,1.041449692372904,0.6380654148615393,2127.309502620722,0.10279427016432077,-130.09469605584434,1.1943313594526683e-05,0.3900015115562171,8.895145688590319e-06,2.630548814582956e-11,0.001
0.6635248222146142,0.5632229687047573,0.46727483719495233,0.004497424926185856,3.490848503749952,0.26637025005020964,4930.644868491652,0.04053311682009806,-82.81794745279996,2.9817764284498324e-07,0.2510878493158798,3.1286349068414334e-06,2.655852753987598e-11,0.001
0.19833788402169122,0.7092436408144052,0.12220787281884005,0.006762762005260483,9.360525326067757,0.2591272940167441,1138.1877916016754,0.04759620000434017,-76.46198523564418,2.0715432761082033e-05,0.13085925555526134,6.603015919643066e-06,2.7630406433888444e-11,0.001
0.45512760635353067,0.8010733885721797,0.4362306371268221,0.0008502897399605869,7.4311919408298035,0.1880993574179342,1661.504789668495,0.11399888398361008,-60.88139950508807,4.8903035521701145e-06,0.8804726165904146,1.1218531939749723e-05,2.820952505680054e-11,0.001
0.41491490536486575,0.41277056791431466,0.41248282190457564,0.005935089884988409,2.612659884538377,0.3336338932355323,4834.897079598628,0.06628673559229539,-58.44471312435917,2.0239247950101878e-05,0.7962875460382619,4.343294920386582e-06,2.8638883935350283e-11,0.001
0.25525372283835235,0.9634501978754684,0.24446684464153054,0.009594785084085618,3.5098461345309118,0.5443527069485045,893.1864290945534,0.015278159734995933,-61.31708295332122,1.1394322065796251e-05,0.32169703565419994,6.9178158970060745e-06,2.880087647070231e-11,0.001
0.2339008833834071,0.9323525197404847,0.15504936767100577,0.0012794859159026772,3.015076123662156,0.35379494059615735,3753.427153247074,0.05838637662602251,-78.2912588397682,1.2781200900811732e-05,0.16430905110301408,9.628971617284019e-07,2.917171504878677e-11,0.001
0.3659049887173149,0.11373474249657212,0.3654195643480501,0.009704988552311342,1.5772855176802727,0.7767573243864156,1878.4352002343487,0.13627932750810104,-62.571726006491275,1.0905744996899381e-05,0.628362051853294,6.938677679611216e-06,2.962623976835846e-11,0.001
0.5417459734742706,0.6234886285250748,0.40848588089906424,0.006876119415134476,8.977982662264305,0.3893432844888397,1150.6282600652485,0.160426639655245,-85.815768567497,2.106163459960293e-05,0.03248691050162511,3.5562372557219073e-07,3.004668333995804e-11,0.001
0.3458972074714586,0.7996844745109641,0.2508993143265146,0.004524226631945547,6.533258774060355,0.381956218479928,2156.7838552521525,0.13334149375483315,-80.6006765302642,1.7060193166964492e-05,0.19458638512373472,4.63722985076839e-06,3.0585635271390813e-11,0.001
0.4799499806678377,0.45048605819605414,0.37335483045268403,0.0013975437733526686,1.823224165690375,0.34451020286295053,361.28077519607154,0.1323073066705683,-94.3759062508592,1.870945930098082e-05,0.9110912858057131,9.259506074369144e-06,3.060817731317989e-11,0.001
0.5090491511062636,0.34246055648174056,0.38929763330863965,0.005443524103053289,8.818748314495096,0.4780472599891261,1976.6972801674283,0.0028198457497220497,-95.6757789656923,1.0158095519743384e-05,0.9620689000893392,2.761277826234453e-06,3.0762314314376516e-11,0.001
0.414316496926704,0.5499669674135291,0.34611610682756827,0.0012152957829520206,9.101909519129341,0.5475304951745718,3823.498537635047,0.10345029082978506,-74.7221288755685,1.1839406916163423e-05,0.5183787965043438,3.4475348184897616e-06,3.088777065478007e-11,0.001
0.30458194779752096,0.5634526510097773,0.27007275117447826,0.007843280733418345,3.8810429851403434,0.5121183197302274,4665.841942453136,0.11961314891856561,-72.66274570192611,1.756863499191689e-05,0.2713551719046067,9.168533863777222e-06,3.09352407530055e-11,0.001
0.38698902268374935,0.030148563399374106,0.3970484957073268,0.00665255276017263,2.6541936030587188,0.5528318585501957,2189.801358285172,0.0787659811556099,-47.060248188318965,1.9590092251404128e-05,0.21408000113924075,8.980376011512847e-06,3.147535922046268e-11,0.001
0.3715832153539377,0.8362187300857795,0.3726435612128054,0.004502815641382562,4.790715213963306,0.6267116559187506,1297.3635374275573,0.05304033904321388,-62.82929274757912,1.2796095995400811e-05,0.9210961289789371,6.685273538515972e-06,3.2079640001053046e-11,0.001
0.6019257436525156,0.24932223929411612,0.49247569694731685,0.0046974734393683115,7.472629519127261,0.27954902858085384,4169.443529718135,0.1077729004749076,-89.87007270432932,6.966469880931195e-06,0.5774589914651242,8.291325336899442e-06,3.345271418499106e-11,0.001
0.516315081498958,0.2979733752990341,0.4110734000045245,0.0018610779819268886,5.8178796230963465,0.6280254396650158,3099.30140541901,0.02581094969007294,-108.91537788694633,1.7403921543879521e-06,0.9347121013011793,8.186659107213704e-06,3.421798810813423e-11,0.001
0.186002741340326,0.8268679492252002,0.13650713883136492,0.0019449607138334103,1.0772331221271192,0.7538268923549727,4010.696223988671,0.12756963039010333,-83.8697326317702,1.3721818628437517e-05,0.9300989798769552,5.21120370399518e-06,3.4332488002605827e-11,0.001
0.5766269230287752,0.9272880363319634,0.4306393137119455,0.008281609683556623,7.7544944306985295,0.3399221125876536,241.51570229270854,0.18769192591660167,-80.41900519185864,7.44656212420967e-06,0.8438210556698018,1.157043536128121e-05,3.4401127690239256e-11,0.001
0.3930290165511623,0.8000723138884241,0.4421155486973797,0.0038907767927219917,7.486159246287913,0.385305630244548,4578.004451583245,0.03294441218835847,-57.22231213833099,2.1090899731044747e-05,0.497667443166144,1.7222188102218333e-06,3.470646167126281e-11,0.001
