beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
0.14544989982036452,0.6844350482787752,0.11187471217356065,4.906385347445142e-06,1.901668907356595,0.5140198580622971,3668.716351363491,0.04370217781813917,-65.75227096971258,0.00010461102107999061,0.07465119958476915,7.380278077256044e-05,1.2760757565352288e-09,0.06059364585790984
0.6102103346728268,0.1533539069666766,0.37837060214493023,8.657207388190758e-06,6.66739038863258,0.7869222719430589,4973.53702360731,0.002522529251307493,-100.53465374826578,8.272891330385038e-05,0.04195158757804025,5.450137938143906e-05,1.3437529369709853e-09,0.0625795090055487
0.49199507607027637,0.9728467084454632,0.20051933254213325,0.00017096447779680002,3.771491776925055,0.567210825496834,883.2999016050915,0.010802759854032607,-94.04398744096414,6.429055399951529e-05,0.0904016112293552,2.7465572219390814e-05,2.167503155005411e-09,0.15318396232356987
0.5896164546908118,0.6771870039062013,0.3317528657467129,1.6159305832023076e-05,2.830684482668709,0.7164433123938522,3989.1383501789533,0.15185705544285985,-89.02076844345247,0.00011121740599552621,0.04941129086356386,2.1472036353322978e-05,2.3740683095175936e-09,0.23972751944203033
0.6591961448558298,0.5676433189300487,0.185397772440545,1.1160156849914226e-05,2.5720184531277477,0.7685661346473364,3788.3412835299837,0.04978759930318364,-73.19133301651304,5.81041944252353e-06,0.041573062523354964,3.107999448138777e-05,2.5444548862990466e-09,0.23743153432073505
0.34723313128899963,0.008779810709439895,0.27884415681684743,4.0405029605400376e-05,2.0961658308389755,0.18061814910721363,2216.993956284388,0.022097410850787827,-120.33416203677761,0.00013454762201967345,0.09503847366634138,4.9853218926655415e-05,2.5585924676348205e-09,0.16288500865846042
0.5753984564046346,0.22260417654156095,0.18083933575676198,3.0018465896775037e-06,7.549922792692798,0.6736040521244425,1799.0050782968028,0.08739577741493065,-128.41242382627044,0.00012777677667780206,0.08706558793444419,7.526265496706723e-05,3.239632812574339e-09,0.20700078983179707
0.49872935106014926,0.8844884500771444,0.4108927489590425,5.661139025318174e-05,7.485456753883666,0.7076495148552354,3524.0031829674394,0.01449140218606846,-52.29228668186467,5.4661434294070796e-05,0.003688221164871464,8.889386703694315e-05,3.912676914376891e-09,0.13326847254597352
0.4258690302067717,0.533378597524567,0.2585240221842958,0.00018409552223607627,4.071868215467286,0.466584727313348,2860.460334349938,0.021708847912481177,-78.645648058896,4.451844158563151e-05,0.08466897568702236,1.5404814190725508e-05,4.582113440599716e-09,0.18841711054233015
0.4934745187777724,0.1487663399188095,0.3327792263665608,0.00011578750428730023,7.73127285791097,0.36399188601654375,2347.2912292388487,0.014883121977864967,-47.71826136615678,0.00015103240921446646,0.0554488164891666,8.165641034723685e-05,6.0685098609503225e-09,0.15853661281485
