beta,b,gamma,eta_0,phi,I0,Ii0,Error,Weights
0.5146124375943343,0.20145203780961463,0.34949614871832735,5.547267763813246,-86.19280355673143,0.00014288484154323478,8.312430383751516e-05,2.4599788493433563e-10,0.001
0.4444809991140717,0.08241585789653938,0.33698221189541766,1.1848528735782162,-106.71042178774408,0.00012401809099580634,1.7406047435870254e-05,3.2216250161056457e-10,0.001
0.2473095576683246,0.5372870810986894,0.1236212381480224,7.857736303309012,-77.84930581139821,0.0001671666223222342,4.726197494581233e-05,4.0732983828209764e-10,0.001
0.4488409103239944,0.02458392661842823,0.3528465750665294,1.5542302795419114,-52.929380301113255,0.0001505811215886552,8.284125825856551e-05,4.0782192088592084e-10,0.001
0.36112714287270264,0.4023438118171795,0.20414799622017743,7.2689931052586445,-87.05745929307506,0.0001379175478336656,5.014812381577666e-05,4.2466436492829974e-10,0.001
0.4954459720634342,0.2829988204087671,0.3236410054922255,6.375426870303866,-83.19346375576978,0.00016290663156507665,7.116462655694856e-05,4.487404083100685e-10,0.001
0.24189173078365966,0.20078731180501264,0.15595233284176213,3.8832079178124363,-76.87180596880086,0.00013920643413365078,3.4744785221523834e-05,4.963964866057358e-10,0.001
0.5846453426450892,0.3038361698142119,0.37123628879693316,6.1618714402908275,-95.93327700826197,0.00016787295722523498,8.677682752500024e-05,5.111094824499772e-10,0.001
0.6359908094495187,0.02412439303503855,0.4903881848205418,1.0326086658390912,-63.85810633145101,1.2690596377781976e-05,3.3448243402792295e-05,5.115682762807728e-10,0.001
0.3443083845052207,0.28375580171185844,0.23823963413517113,5.955083090610074,-60.06837354163834,0.00015876643205621106,1.5254388223612612e-05,5.37209190476169e-10,0.001
0.3655373453611188,0.3065190718184433,0.22025566972907396,8.216296926060657,-67.86533209694151,2.3119746996371175e-05,3.5916114225352456e-05,5.438743989917403e-10,0.001
0.15338065691233124,0.18471822476838928,0.1007825629152078,3.6675815695302707,-70.33031006460175,0.00018169752677357802,4.749740067937195e-05,5.505261590268995e-10,0.001
0.5243814211189766,0.16238892109242842,0.38349755422287946,3.101502046325036,-78.3968003269311,0.00010625367884039275,2.6436944125407234e-05,5.620918886440607e-10,0.001
0.31758591534089514,0.18037807204567635,0.2080370961710909,6.46361823922741,-59.531505273304504,2.6074178649933698e-05,6.338770059882514e-05,5.711026854347049e-10,0.001
0.6572159794882322,0.15601724132047523,0.4792207017295883,4.158630648027286,-89.46356055659663,0.00019391850600902885,5.0657228101229616e-05,5.885712260900272e-10,0.001
0.1637936009269107,0.2991676899806466,0.10234392779286546,4.1831679616089,-66.34588132723019,0.00017115281995564076,1.0401225161263258e-06,5.931668969196899e-10,0.001
0.2187862885821068,0.6880462850906778,0.12630277737982856,7.399931789818583,-57.11265752281105,0.00013315714939552288,2.5011319299103e-07,6.051541504866418e-10,0.001
0.4207288013670065,0.36422990452727466,0.30192153606273286,1.6013603696953291,-65.15999879534424,5.2079721165761556e-05,3.8176325685015234e-05,6.089145736744364e-10,0.001
0.2751114340261299,0.6984084135911334,0.12613315198606984,1.5058006283898484,-89.03400317824358,6.59652029607143e-05,9.326309336682244e-05,6.227512905296268e-10,0.001
0.25564591461159064,0.2825405254973228,0.16425047146224692,2.8616140096767753,-79.83897045770267,8.86514846249672e-05,1.6258264236346127e-05,6.253923323258182e-10,0.001
0.42747073918812617,0.47305111007254663,0.25238256005164655,6.021201162131224,-69.0017922478153,2.750954656431107e-05,2.9933041284457328e-05,6.254516134253937e-10,0.001
0.777514206097086,0.3910818252696828,0.4828309067245927,9.573840909014692,-86.87636619081282,7.613583328357753e-05,8.355891572152179e-05,6.27710334157376e-10,0.001
0.2066131284669182,0.36108736256624496,0.1355010314131314,3.197876937958404,-53.78444436792826,0.0001943922085835037,3.1160505254321325e-05,6.28380704211701e-10,0.001
