,beta,b,gamma,eta_0,phi,I0,Ii0,Error
0,0.6650235337315941,0.1683334855042982,0.4628199892880199,2.238746928577681,-88.11666922165048,2.913366357452093e-05,1.3596308381594728e-05,1.2925376082986408e-10
1,0.6087761344531464,0.174711349437177,0.4226136423810749,1.531106739783634,-90.4616451806787,2.654210726368025e-05,1.1067416171686718e-05,1.299657839386705e-10
2,0.6360414909914478,0.1414403037470851,0.4528456935971319,1.300468694917018,-89.67863897074812,2.3399527676652533e-05,1.435729761597744e-05,1.3004924708618283e-10
3,0.5756598177976442,0.1769554201937245,0.3976389577469886,1.4620342100347046,-89.07493632330812,2.3836192759012884e-05,9.80316926957464e-06,1.310145811026412e-10
4,0.6391032443431771,0.1814104770662656,0.4406361503794421,1.9774459366556725,-87.6940684123751,2.64308942095329e-05,1.0290613056681502e-05,1.3186859353842278e-10
5,0.539123516535056,0.1615276028667198,0.3777015132796233,1.0046401848079929,-91.4229239999888,2.332969837606509e-05,1.4128161588472084e-05,1.3191526210601396e-10
6,0.5508542227683051,0.2030937754429266,0.3734039673771336,1.0768498833007802,-86.90476183780652,1.864790158829746e-05,1.0427233123711902e-05,1.3338514628998742e-10
7,0.6477494227415913,0.1565575854840384,0.4571957254707949,1.3998242712094702,-92.8408232193486,2.830623898354789e-05,1.3275592702886486e-05,1.334577394731121e-10
8,0.6351117219069268,0.1346463449019621,0.4543850755688816,1.3501870133096858,-90.8749647539134,2.7494864064108425e-05,1.3878490572889764e-05,1.337287064730325e-10
9,0.533225777422234,0.1925747568883748,0.3630896658575139,1.3708604994438902,-87.27245592466018,2.097353857799219e-05,1.1665529453836268e-05,1.355334970968749e-10
10,0.657790108735299,0.1484380972961229,0.4653189656956296,1.653737592784247,-90.9898054537286,2.5155752715893395e-05,1.339715175127158e-05,1.359330002450371e-10
11,0.6381326926174082,0.1309339843553409,0.4598029801399717,1.0825012643117662,-91.72282474679253,2.7143874493394132e-05,8.670003964766366e-06,1.3619690406073574e-10
12,0.658887112336298,0.1723148664190665,0.4599451953540077,1.5601993710354134,-91.1953336801096,2.6876342926715217e-05,1.2927129628115838e-05,1.3654177485817034e-10
13,0.6429040317143251,0.1532749555583064,0.4520218031853048,1.6783802909225656,-88.83666350413249,2.233491661631451e-05,1.1873571952825282e-05,1.3659587098094452e-10
14,0.6840198034248272,0.1534206849001421,0.4827927108501562,1.350660809289829,-89.60919753140737,1.7425996235786764e-05,1.155805808542001e-05,1.3683706571442328e-10
15,0.6099532410506872,0.1644126075435794,0.4270978468643111,1.2611185320006897,-90.11837951720658,2.695355906974237e-05,1.3634697127677632e-05,1.3690876366123072e-10
16,0.5988283623966608,0.1564940008307997,0.4202870420764251,1.270888961893963,-89.5040833476273,2.1818851503519347e-05,1.146559974325622e-05,1.3693389489147092e-10
