,beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
15000,0.2132616088744989,0.3094067916965218,0.1112964435179129,3.813927298122428e-05,1.1663395925762794,0.6803293059398668,1832.8939556268133,0.0172391927274663,-67.90438420631453,7.21857107063701e-06,0.0184717400579197,6.484227833277527e-06,6.499501429012497e-11,0.1321637668230402
15001,0.2448216464662543,0.5072774020104823,0.1432994353602519,5.336863411803673e-06,4.474515119887391,0.6130641757422308,2317.9691332766643,0.0276571949894143,-48.104335184270354,9.488399474845992e-06,0.0300685915212119,3.9299750251134524e-06,6.559458920430442e-11,0.1279440590193953
15002,0.2791559285934412,0.6523714279144839,0.178455993211602,2.5188553329890726e-06,3.2453918350243915,0.4788393618579867,2346.0363619284158,0.024622331846406,-61.20768379298743,7.24568089295858e-06,0.0109267346912467,6.115416684791064e-06,6.599541381920026e-11,0.1293908815689626
15003,0.2612279438418783,0.7653042803483004,0.1721792849348865,2.403542301945535e-05,2.8768531582317367,0.7680088154619152,2252.689538672764,0.0285865890098821,-61.471049054988825,8.089714796127019e-06,0.0203126242141192,5.792642277053294e-06,6.761543728812756e-11,0.2398763257187346
15004,0.242199963968755,0.562182969102039,0.1223207659232028,4.596859148517387e-05,2.524721229441561,0.5901775044217751,2495.8724150271214,0.0120697905063177,-70.58255801777808,1.018022117636223e-05,0.0025645137562493,1.838143370350188e-06,6.873862147408488e-11,0.1497860991535367
15005,0.2080561233624946,0.7130019302713068,0.1193496829329836,1.6890846334467212e-05,2.7438446930626714,0.6155345796924452,845.0443763598544,0.0016102739150224,-52.12432489419966,8.80490312476283e-06,0.0140324239876413,5.443097137914695e-06,7.271970150541291e-11,0.1527451111618652
15006,0.2157162613886669,0.713660452868735,0.1212537871309681,3.134577228978294e-05,1.833532400872744,0.5933561741431576,1901.4672117154364,0.0154419417377948,-66.0188918501724,1.1392572600424956e-05,0.0027168522486676,5.640016429501694e-06,7.389996278709584e-11,0.1180440207951401
15007,0.4162295118321249,0.8485429603665708,0.1988197311267997,3.209676322768761e-06,5.212027673996451,0.6253797021047464,1420.3496036648512,0.0293340763387472,-81.33825540306685,4.324405206210504e-06,0.0144549819957379,4.267922029735733e-06,7.6730717257858e-11,0.0782176342123114
15008,0.2593631448364401,0.7378097995753601,0.172326348591416,7.554531854461249e-05,2.9445394393539357,0.7371069535797518,1238.400991695431,0.0031236355173575,-65.93413591325567,1.4317594170489343e-05,0.0096024549880641,3.907221395036434e-06,7.765026696518599e-11,0.2431702731492213
15009,0.3626082857563607,0.6237860228606712,0.2167231987186677,9.228312360259347e-06,2.325176469898392,0.7747769947622618,1077.0712041394,0.0089220423532693,-77.77745181094485,5.2565359627960325e-06,0.0098816079057619,3.1376940692436503e-06,7.772100081999249e-11,0.0790803136064555
