,beta,b,gamma,eta_0,phi,I0,Ii0,Error
0,0.2109401226584694,0.1036964138364337,0.1495274130132407,6.088014543688818,-130.2624068855734,8.396662467576136e-05,1.7873848073161037e-05,1.1313792056382486e-11
1,0.2261671437380964,0.0953773669113537,0.1611594560412059,4.200599607734271,-131.75613086345942,4.737120214513898e-05,2.8227896716339785e-05,1.1370739866350898e-11
2,0.1999949327418575,0.1190869013055534,0.142056561060056,3.5020785861467147,-129.7659963050313,7.364003082735603e-05,2.2898042739198265e-05,1.1421807424019678e-11
3,0.1960888592713309,0.111439275135169,0.1377554666936407,5.612074624565283,-125.80945588389385,9.307910744642048e-05,1.3455999547420672e-05,1.144994447789228e-11
4,0.212544782664517,0.1074727030271996,0.150582315378153,4.246524726323317,-126.25352472072582,6.769076757150633e-05,2.1814283370779486e-05,1.1497834495027885e-11
5,0.1742018763547125,0.1409101176115225,0.1215316602743945,1.3086288006224056,-129.83525454706373,3.394179937800289e-05,2.3230312715626204e-05,1.1539141120739054e-11
6,0.2300199837632159,0.1016022052578436,0.1634461857979013,2.623674040090363,-129.08705378475807,2.927474778723779e-05,1.3447202429046024e-05,1.1554502285339171e-11
7,0.1693249766068931,0.1120084465629562,0.1153775801941446,4.5035973411774535,-126.32967417777924,5.495031523090769e-05,2.185681115395029e-05,1.1625367815213991e-11
8,0.1513194244609539,0.1715709803066418,0.1014602159450859,2.736317332457467,-131.8659678203322,6.040521260008703e-05,1.075933621667582e-05,1.1680005890157954e-11
9,0.175341258277256,0.1018247917619679,0.1207451655409731,4.326009308275429,-121.80171287898123,5.937939686065421e-05,1.3656281681641658e-05,1.1683263966984251e-11
10,0.1903947178365397,0.1323873894259464,0.1318035692145345,4.336573660372062,-122.26244471683631,8.320352797166856e-05,1.0791070699621009e-05,1.1753213856112376e-11
11,0.1609114851775039,0.1004672159293779,0.1082692438320734,4.04408131650343,-131.33785349365107,3.640934467768346e-05,3.81050803589103e-05,1.176503249992706e-11
12,0.2957151039574898,0.086325092550056,0.2157608028002838,1.939381739325925,-130.3185712918197,1.784428765009534e-05,9.907271308132724e-06,1.1773453485687956e-11
13,0.2376045045595126,0.0600945453978767,0.1705860341223093,7.240300504564473,-132.0247525655985,5.36389479059803e-05,2.414073773630816e-05,1.178686484568026e-11
14,0.2897613941054668,0.0880542557936794,0.2127074427640455,1.8361228511547592,-125.29380496984176,2.670441976850632e-05,1.448935952180627e-05,1.1793324622222611e-11
15,0.2563076999796938,0.0955751411695645,0.1824236938534309,4.359865873526565,-122.941814293144,3.815515161776236e-05,1.1568265449226122e-05,1.1796485245690059e-11
16,0.2095274506259156,0.119738593322621,0.1474078626149901,4.583120809085545,-133.8333404332162,6.315310196744613e-05,2.122113038755335e-05,1.1800208138329166e-11
17,0.1903468864854895,0.126150184889931,0.1299672886865877,3.4650319042266013,-116.85743829972152,4.745379423774495e-05,1.907261243638556e-06,1.1804448183622875e-11
18,0.2183669058747753,0.0695548127079122,0.15678095199327,3.92220280133383,-132.01207978599442,4.286548353316073e-05,1.0853703848733314e-05,1.1806152108859491e-11
19,0.2731152539186243,0.0894477258092263,0.1965324160781796,4.693679479837615,-117.98564024581871,4.700916370941286e-05,1.0334750126902972e-05,1.1814305848387143e-11
20,0.2014589169513601,0.085817193611161,0.143629673327613,4.081130104052488,-133.99072887081803,5.906736994014478e-05,1.574128926604848e-05,1.1833698241386318e-11
21,0.1590783101880846,0.1191287250433138,0.105209385864825,3.911527807632323,-125.22208905218862,3.751296746284702e-05,3.1865816306420294e-05,1.1834192474707636e-11
22,0.1895877850096025,0.0648024011955356,0.1323668503822175,4.05234276602493,-131.44183403315105,3.0061814633086224e-05,7.87580728907757e-06,1.1856066558864884e-11
23,0.2407295313763395,0.0613484323741325,0.1744348758613265,4.54964039756788,-134.46553787067114,3.65036772768541e-05,1.494725660394702e-05,1.18612698500232e-11
24,0.262132934952367,0.0892602464237614,0.187862799516878,5.576876184173661,-117.0388304589862,5.580326187053793e-05,1.139558983936433e-05,1.1863280786930026e-11
25,0.186810128378203,0.0827987577476176,0.1274300336607199,6.221674023506896,-118.22384320751902,4.4361731061501054e-05,9.90325978954184e-06,1.1866609162639198e-11
26,0.2130600652883462,0.1064969466533096,0.1496314330390324,4.35097969914874,-122.732131998872,5.970941319248978e-05,1.83456376941519e-06,1.1866641143322783e-11
27,0.1815914857008422,0.0665777872303797,0.1235798294225882,6.62631256298368,-134.20966681205374,3.385504163222789e-05,1.338451409880609e-05,1.1878528891140598e-11
28,0.1762421560676747,0.0953929807001966,0.1223894152324292,6.2672118335413325,-122.96917812860195,9.17102044257103e-05,1.7862080382330064e-06,1.1879773156256744e-11
29,0.2701037088320839,0.0910651873558165,0.1968407238492755,2.4235642358559937,-123.20942535981337,3.572687955125152e-05,1.5728834277866154e-05,1.1895079184335768e-11
30,0.2174620978888201,0.1007433767132549,0.1512157317819759,6.709528622329421,-113.57175522027865,6.383118622293457e-05,4.531089142398053e-06,1.1914461046860589e-11
31,0.206256769195316,0.1381385923718843,0.1436227642849568,4.086333771410644,-119.0344018873487,7.990355839777574e-05,1.230867279138056e-05,1.1921464531700008e-11
32,0.1754154943510677,0.1243167539604402,0.1194797140961382,2.698661737333701,-123.39097140339392,4.0223580942487513e-05,9.441537200899072e-06,1.1926481064674147e-11
33,0.1929150984052698,0.1173631399362038,0.1334484778097512,2.682814595980627,-125.14415421705117,3.734408381339376e-05,1.0872253459331106e-05,1.192817921417818e-11
34,0.2524482503063348,0.1138611269496197,0.1793730019027037,4.641190919169956,-121.4179514577522,5.797277738881285e-05,9.761495926792532e-06,1.1943863780322015e-11
35,0.1562730979218579,0.1498306738318919,0.1041154084777941,3.622876646199964,-129.6268058386232,5.73428288728284e-05,2.0888830326113103e-06,1.1960567848951069e-11
36,0.1793357368604902,0.1020536642048352,0.1215817758943383,2.896932738079838,-118.47898571804758,2.554832467866746e-05,1.5151309506821593e-05,1.1979125401019382e-11
37,0.1921759166895892,0.0930450699332833,0.1310708290682648,3.623149874285912,-119.05281433108038,2.5480706321591577e-05,3.299855676823306e-05,1.1979822684817403e-11
38,0.157645969579163,0.0945304999934453,0.1039521052080868,5.685833963678439,-116.63202065757322,4.378367527342729e-05,8.444324528760685e-06,1.1987982286810888e-11
39,0.2003801748509662,0.1357029894928926,0.1422486664474363,2.482545891365341,-131.60338641547042,5.5112483459626055e-05,1.0931640612092367e-05,1.1990529157682156e-11
40,0.1703896263590578,0.0991909844233556,0.1131562025402047,3.839743514909799,-111.9375144736548,2.866651117621789e-05,1.0698111599816046e-05,1.200650281491785e-11
41,0.2323162064476635,0.1020729672265838,0.1632932788219215,3.909465989227412,-112.75509874538258,4.436367736163833e-05,3.6168916372634936e-05,1.201112718640334e-11
42,0.1591914130347372,0.0624370560722913,0.1055430961878304,6.266590946867361,-128.90620400405223,3.1211760141594285e-05,4.259658953562242e-06,1.202801345747134e-11
43,0.2059233178707975,0.0897964457872635,0.1422627279845036,4.68378726485104,-110.52460187605196,3.88017690813195e-05,1.5936431446515666e-07,1.2036921883685736e-11
44,0.2073105225722496,0.1156153083664526,0.1419902021421292,3.645257860741865,-108.58180386757348,3.760971415205802e-05,2.7481201234336493e-05,1.2040447939419584e-11
45,0.264209569499004,0.0720511196919958,0.1909013367206574,5.270464253719779,-119.60331563418916,4.999922691235951e-05,1.3539593309324476e-05,1.2041610169748538e-11
